Gene = ERR
index = 1145
Annotated 5SS: [1105 2188]
Annotated 3SS: [1628 2243]
SMsplice 5SS: [1105 2188]
SMsplice 3SS: [1628 2243]
top_k =  1000
Partition function (log Z): -5.783646427560736

Sorted 5' Splice Sites (High to Low Probability):
Position 2188: 0.9828724754380668
Position 1105: 0.6568271509670981
Position 493: 0.28193559057318535
Position 729: 0.023878051395940802
Position 31: 0.022931966592144293
Position 144: 0.02108435241044286
Position 497: 0.01745788557716217
Position 1323: 0.013274767482223884
Position 298: 0.012328392799644625
Position 883: 0.011385001133476026
Position 151: 0.01107140911946623
Position 746: 0.009819055200951983
Position 403: 0.008875305846007004
Position 1990: 0.007435286671681287
Position 1406: 0.0061316526394791316
Position 1328: 0.006120281719728154
Position 843: 0.0056083033548100765
Position 26: 0.005356876998303322
Position 877: 0.004864279246075925
Position 436: 0.003792304241499356
Position 380: 0.0032955233617584815
Position 994: 0.00289761018852288
Position 164: 0.002409519232789635
Position 2601: 0.001999146397430321
Position 1771: 0.0019124104586088712
Position 710: 0.001394994629745536
Position 255: 0.001346398892320591
Position 1178: 0.0010043137711238887
Position 1314: 0.0009044044684486308
Position 1477: 0.0008988840801781945
Position 1557: 0.0008779501599350599
Position 2024: 0.0007491856410066539
Position 2111: 0.0007370264874449514
Position 960: 0.0007206746249811649
Position 2502: 0.0006552904859227833
Position 1518: 0.0006139696314096419
Position 3220: 0.0005915881016260246
Position 444: 0.0005893708924645992
Position 1907: 0.0005830036346238752
Position 2379: 0.0005689640007181743
Position 36: 0.0005589304824966716
Position 783: 0.000487601710005094
Position 419: 0.0004664619469061749
Position 1135: 0.00045494408363667803
Position 453: 0.00043796614466431257
Position 501: 0.0004361743902199102
Position 1188: 0.00043467205544798425
Position 2265: 0.00041323919022532776
Position 311: 0.0003709517101560841
Position 1426: 0.0003657068877101123
Position 1035: 0.000322590352331168
Position 790: 0.0003030631226478606
Position 1270: 0.00028205115497686154
Position 1342: 0.000281609353425372
Position 1246: 0.00024107088087690765
Position 3: 0.0002237963403461209
Position 3202: 0.0002087089323416218
Position 626: 0.00016579518840660672
Position 236: 0.0001571313674341633
Position 1087: 0.0001563080462149083
Position 582: 0.00013588970331726005
Position 2248: 0.00012950618855068257
Position 12: 0.00012626268961914914
Position 3149: 0.00011953696275913448
Position 2036: 0.00011581992956958978
Position 867: 8.844543691532794e-05
Position 2578: 7.975485444522608e-05
Position 2009: 6.638306473399917e-05
Position 2301: 4.901684607496632e-05
Position 1492: 4.053343592637716e-05
Position 974: 3.919519717324019e-05
Position 5: 3.916323954747174e-05
Position 2607: 3.763226994029512e-05
Position 701: 3.682605490076978e-05
Position 187: 3.5141532602714056e-05
Position 10: 3.4310632044381644e-05
Position 1127: 3.264743141757706e-05
Position 681: 2.9659848062719867e-05
Position 447: 2.9278510256330525e-05
Position 1062: 2.8690261188610468e-05
Position 2741: 2.75348124158385e-05
Position 1502: 2.6864966889010723e-05
Position 2033: 2.615204772662997e-05
Position 2505: 2.4755918989348615e-05
Position 2165: 2.4265163307292804e-05
Position 665: 2.2513177053000495e-05
Position 1300: 2.1791598047975683e-05
Position 2357: 2.1555130082607913e-05
Position 2148: 2.0267928165736934e-05
Position 2285: 2.0187670643218376e-05
Position 1454: 1.935067470525864e-05
Position 633: 1.9280664017247774e-05
Position 2412: 1.905107035981651e-05
Position 1985: 1.7065997823947583e-05
Position 1182: 1.4341246517250883e-05
Position 1681: 1.2886050503495778e-05
Position 1047: 1.219915021886639e-05
Position 1368: 1.1002469614557472e-05
Position 2109: 1.0949634848643601e-05
Position 1871: 1.0496164168888342e-05
Position 1831: 1.048334509547782e-05
Position 1983: 1.0386955968087187e-05
Position 849: 9.542561029514044e-06
Position 2679: 9.180238702284923e-06
Position 2944: 8.981781354193744e-06
Position 1960: 8.310327196926781e-06
Position 1901: 8.151895007320427e-06
Position 2433: 7.565324567028072e-06
Position 2571: 6.236620737670573e-06
Position 2867: 5.340917301187288e-06
Position 2250: 3.838309829623461e-06
Position 2794: 3.706133655744597e-06
Position 169: 3.232835173161281e-06
Position 1904: 3.199501167630244e-06
Position 3213: 3.119821007651453e-06
Position 2760: 3.088458654473286e-06
Position 819: 3.011216008954051e-06
Position 1916: 2.2417967959470754e-06
Position 2150: 2.169981196681299e-06
Position 1913: 2.152180581057635e-06
Position 1868: 2.1198537883912207e-06
Position 3242: 2.118819578354505e-06
Position 1722: 2.033786000127386e-06
Position 2269: 1.924491250561143e-06
Position 2085: 1.7107214709313544e-06
Position 3179: 1.5038275896700606e-06
Position 3253: 9.347325133185916e-07
Position 275: 8.545324665899095e-07
Position 174: 4.031695256189526e-07
Position 801: 8.347148192280319e-08
Position 293: 7.812187449921141e-08
Position 623: 2.068643576985116e-08
Position 589: 5.643086139215202e-09
Position 2495: 2.626234579258284e-09
Position 1937: 2.3432588286776414e-09
Position 1739: 2.2981573067073733e-09
Position 977: 8.342164690070911e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 2243: 0.991152033896539
Position 1628: 0.9046657261906149
Position 211: 0.0319811225607346
Position 955: 0.027869680868986228
Position 977: 0.025185329804844565
Position 1677: 0.020566530185416137
Position 986: 0.018788378134457356
Position 1245: 0.013563859220902584
Position 162: 0.010544123968253397
Position 453: 0.010249583530834732
Position 801: 0.008699625516790873
Position 2074: 0.008336054452845375
Position 773: 0.006851299126580825
Position 1557: 0.006651205269314068
Position 1231: 0.006198711306552407
Position 1841: 0.0050709435634880215
Position 1633: 0.005023161037039676
Position 1008: 0.004994673308280217
Position 881: 0.0048645130329347756
Position 1364: 0.004432316269542033
Position 699: 0.004298502987879881
Position 812: 0.0038209125040694113
Position 2663: 0.002744915386789678
Position 104: 0.0019494983371991393
Position 1047: 0.001851514478320534
Position 675: 0.0016730715186936951
Position 824: 0.0015976174247286183
Position 2318: 0.001380549759287057
Position 1569: 0.0013152033052467435
Position 508: 0.0012463877789372362
Position 777: 0.0011717422987778331
Position 2246: 0.0009315254338999461
Position 3278: 0.0008204650480407822
Position 732: 0.0007581381637587177
Position 2643: 0.0005582641045556682
Position 1658: 0.00048272491230290794
Position 1391: 0.00038910591543402936
Position 251: 0.0003656797659981036
Position 2050: 0.0002517007706422279
Position 1709: 0.00023789797612505388
Position 481: 0.00022786612960154
Position 1680: 0.00020926204541030436
Position 1784: 0.0001661146503957267
Position 831: 0.0001503230841435406
Position 379: 0.00014693477850353736
Position 366: 0.0001464926911653671
Position 575: 0.0001190964774069307
Position 2825: 0.00011685244813792073
Position 2678: 0.000108466945282734
Position 1260: 0.00010119160582281683
Position 891: 7.648645042731941e-05
Position 129: 7.344180639269493e-05
Position 403: 6.89957438423957e-05
Position 1856: 6.233929428031871e-05
Position 1300: 5.8339334284700186e-05
Position 2578: 5.663349390310112e-05
Position 1305: 5.5463443272934655e-05
Position 376: 5.514340078492169e-05
Position 1715: 5.487946364611988e-05
Position 2482: 5.4600025488790175e-05
Position 3298: 5.395962508037019e-05
Position 577: 5.0017981699897736e-05
Position 311: 4.8750615823451064e-05
Position 2369: 4.538729820629481e-05
Position 715: 4.3486999976874705e-05
Position 3303: 3.624730609371086e-05
Position 230: 3.565357916521708e-05
Position 1864: 3.518253715893628e-05
Position 2594: 3.352779729244393e-05
Position 749: 3.1614516120902946e-05
Position 518: 2.777057167853954e-05
Position 3050: 2.250914049697016e-05
Position 2561: 2.2320264865838392e-05
Position 2327: 2.069929920432039e-05
Position 580: 2.0012908217471587e-05
Position 2446: 1.9111477532861243e-05
Position 108: 1.5021083504202138e-05
Position 473: 1.4729410962542616e-05
Position 497: 1.3207186212132054e-05
Position 298: 1.190963415457707e-05
Position 113: 1.1766973755093286e-05
Position 285: 1.1683735259894857e-05
Position 2433: 1.1038427029497348e-05
Position 2741: 1.0990899972433431e-05
Position 3240: 1.008066737225946e-05
Position 2834: 9.419107634383657e-06
Position 2627: 8.58963177474855e-06
Position 187: 7.653766464333909e-06
Position 1087: 7.508809205979276e-06
Position 2669: 6.8995539813444695e-06
Position 3014: 5.810428491016305e-06
Position 2708: 5.33605518487529e-06
Position 2924: 5.335770571103844e-06
Position 3256: 4.102905182340448e-06
Position 2860: 3.706133655744597e-06
Position 3213: 3.7039881998642274e-06
Position 2569: 2.819695443203044e-06
Position 3219: 1.5888535778573365e-06
Position 458: 1.9244311678930661e-07
Position 589: 1.7968016473442308e-07
Position 746: 1.604094459612153e-07
Position 582: 1.1820809943008311e-07
Position 334: 1.1593068003750405e-07
Position 351: 1.1153144322387016e-07
Position 255: 7.960627139184454e-08
Position 49: 1.0159055896121002e-08
Position 510: 1.4062400256227565e-09
Position 131: 3.0982495598921384e-10
Position 424: 1.254377278079136e-10
Position 164: 4.914255649249527e-11
Position 427: 2.6865223749855365e-13
