Gene = msb1l
index = 1799
Annotated 5SS: [274]
Annotated 3SS: [338]
SMsplice 5SS: [274]
SMsplice 3SS: [338]
top_k =  1000
Partition function (log Z): -4.881872391773321

Sorted 5' Splice Sites (High to Low Probability):
Position 274: 0.991002588320151
Position 498: 0.0980926313298853
Position 552: 0.011898794329362207
Position 293: 0.008480444432881968
Position 756: 0.005616680568304436
Position 1361: 0.0007294296083990857
Position 1002: 0.0005554703182537006
Position 556: 0.0004865483672154456
Position 594: 0.00019039082962405757
Position 59: 0.0001708629587130801
Position 1317: 0.00016262327431472087
Position 424: 0.00015512585124686127
Position 125: 8.127765981474683e-05
Position 1165: 7.922806056285351e-05
Position 278: 6.77116058078029e-05
Position 1095: 5.6199464304430144e-05
Position 1129: 5.610601815787577e-05
Position 486: 5.3872358736312454e-05
Position 635: 3.533479037895157e-05
Position 502: 3.5168153365972224e-05
Position 725: 3.0185443643677472e-05
Position 1088: 2.064483163808741e-05
Position 394: 1.4842826045732545e-05
Position 1299: 1.180167430768706e-05
Position 78: 1.047549295936302e-05
Position 669: 7.666337795951729e-06
Position 1139: 7.169950583036037e-06
Position 796: 6.254583867729467e-06
Position 1012: 6.031559801168128e-06
Position 1170: 3.0757194511541477e-06
Position 975: 3.0704367050613e-06
Position 573: 2.1904431268464233e-06
Position 384: 1.4488108585848983e-06
Position 1336: 1.2383404060729152e-06
Position 1021: 9.993200199985218e-07
Position 1024: 8.660392101557539e-07
Position 66: 6.242609736522837e-07
Position 980: 3.206262868684001e-07
Position 822: 2.7519015696431477e-07
Position 1006: 7.794113042732111e-08
Position 318: 3.333900099192191e-08
Position 332: 1.2295533949019418e-09
Position 350: 1.2095163876459143e-09
Position 540: 9.64696142468962e-10
Position 335: 5.228578959767783e-10
Position 363: 3.1597625556358503e-10
Position 338: 2.369149364147921e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 338: 0.627529713891987
Position 347: 0.3512419135525844
Position 550: 0.0702459122756255
Position 318: 0.014769643550757864
Position 1417: 0.014534248920281307
Position 716: 0.009760025799467926
Position 1244: 0.005596779250843614
Position 814: 0.005334766972808423
Position 689: 0.0037335728290947643
Position 780: 0.002249861743253086
Position 1165: 0.002236690497221755
Position 467: 0.0021086116842309885
Position 731: 0.001638486642539869
Position 603: 0.001244643121618985
Position 922: 0.0009205596857544625
Position 566: 0.0009113705307924885
Position 665: 0.0005626166455489511
Position 1211: 0.00043259452594157497
Position 594: 0.00042625938005257525
Position 1151: 0.00026233262598232874
Position 371: 0.0001686875100389267
Position 1223: 0.00013764091229384904
Position 561: 0.00012114217141986994
Position 785: 0.00011481413297251547
Position 1220: 0.000114254668977934
Position 1175: 0.00010727940647183566
Position 931: 0.00010723900495956341
Position 1129: 0.00010562002634942918
Position 1361: 0.00010248801629182284
Position 1312: 9.894190795882332e-05
Position 108: 9.872194793071606e-05
Position 374: 9.208684233427632e-05
Position 368: 8.723960355450928e-05
Position 1281: 8.362308414816884e-05
Position 1229: 7.904265954219913e-05
Position 377: 7.581020905938557e-05
Position 860: 6.36486822646977e-05
Position 124: 5.979724350868583e-05
Position 693: 4.403034553743792e-05
Position 755: 4.060141383753891e-05
Position 962: 3.9315035823455475e-05
Position 394: 3.836500401612048e-05
Position 1048: 3.4086678463661715e-05
Position 749: 3.3840026564202e-05
Position 173: 3.266323870678169e-05
Position 573: 3.2446549989792804e-05
Position 857: 3.176387953848377e-05
Position 1080: 2.8460522522517495e-05
Position 434: 2.6460832608685425e-05
Position 1019: 2.3128306616400614e-05
Position 788: 2.1545691436981256e-05
Position 1064: 2.0593635444517833e-05
Position 1181: 1.4873736429573648e-05
Position 734: 1.418855340084276e-05
Position 965: 1.3048778780946032e-05
Position 934: 1.1928142128680553e-05
Position 1121: 1.1608650632093058e-05
Position 619: 1.1551297766635328e-05
Position 497: 1.1151694812862897e-05
Position 1040: 7.851088866173924e-06
Position 180: 7.79511119463999e-06
Position 959: 7.325782011960997e-06
Position 605: 4.196628078389044e-06
Position 1082: 3.098301755521279e-06
Position 1317: 2.8271141690208163e-06
Position 380: 2.069341360743668e-06
Position 1002: 1.7331425001608232e-06
Position 184: 1.287122554710952e-06
Position 1320: 9.858213718282738e-07
Position 1291: 9.274731879752755e-07
Position 863: 5.725794690083625e-07
Position 998: 4.2865971027058307e-07
Position 568: 3.268514991745481e-07
Position 285: 2.12867871988034e-08
Position 214: 3.4274564972363455e-09
Position 103: 1.2404602158852715e-09
Position 746: 2.9533274643229283e-10
Position 710: 2.242347512843576e-10
Position 292: 6.845973614277648e-11
Position 278: 1.611058859725179e-12
Position 216: 1.459812265570112e-13
