Gene = tomb
index = 1914
Annotated 5SS: [201]
Annotated 3SS: [262]
SMsplice 5SS: [201]
SMsplice 3SS: [262]
top_k =  1000
Partition function (log Z): -3.8148017487991144

Sorted 5' Splice Sites (High to Low Probability):
Position 201: 0.9653506967934233
Position 471: 0.45348242791784305
Position 197: 0.0314158588657696
Position 418: 0.015241507743206645
Position 481: 0.0025334284267536067
Position 184: 0.0009092329115974579
Position 804: 0.0004918775270414364
Position 438: 0.00013689417546413512
Position 506: 8.185556384413483e-05
Position 280: 3.8179172140013366e-05
Position 104: 2.864090203491756e-05
Position 739: 2.8190097724139452e-05
Position 133: 2.453858897184139e-05
Position 189: 2.1323703693455203e-05
Position 619: 1.3579613778019029e-05
Position 717: 6.006779418109967e-06
Position 288: 5.634521117142204e-06
Position 127: 4.8316576009793465e-06
Position 87: 3.5429757353238647e-06
Position 254: 3.4230556290288882e-06
Position 751: 3.2700785956761028e-06
Position 601: 2.9784710854437343e-06
Position 762: 2.84590203573784e-06
Position 571: 2.6913934369312586e-06
Position 163: 1.9457234072481757e-06
Position 328: 1.9070380093143405e-06
Position 397: 1.2720808781781087e-06
Position 664: 1.0826591616216898e-06
Position 54: 5.266386668288294e-07
Position 292: 2.9705227513194896e-07
Position 741: 2.385650469448691e-07
Position 655: 1.347966389257344e-07
Position 684: 9.555168549805653e-08
Position 509: 7.789098985608796e-08
Position 56: 4.765561825535922e-08
Position 5: 3.817387653936876e-08
Position 307: 7.319166165715856e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 262: 0.9929169108830112
Position 544: 0.47048234608816075
Position 660: 0.0021781676704401595
Position 562: 0.001876003698574547
Position 566: 0.0007779569794123219
Position 855: 0.0005089638537247537
Position 269: 0.0004512998006126642
Position 315: 0.0002567222715783793
Position 323: 0.00011684574360936601
Position 638: 6.332254083059201e-05
Position 699: 5.825141105929254e-05
Position 862: 5.654757973009013e-05
Position 868: 1.8940534657691958e-05
Position 481: 1.7447881100531295e-05
Position 335: 1.555288184626505e-05
Position 509: 1.2885035764421755e-05
Position 471: 8.930284290961983e-06
Position 339: 5.358155992607021e-06
Position 684: 5.334459065665043e-06
Position 277: 2.4349594438740947e-06
Position 506: 2.170326314518639e-06
Position 571: 1.998011039263386e-06
Position 163: 1.37536633680724e-06
Position 717: 1.193557036865719e-06
Position 809: 8.143468463706807e-07
Position 402: 8.09235998775022e-07
Position 288: 7.883413850139554e-07
Position 780: 5.0079904100815e-07
Position 221: 3.838945580450213e-07
Position 576: 1.287856606385514e-07
Position 813: 1.0528726411776839e-07
Position 408: 1.0151094397566573e-07
Position 342: 9.095895003128128e-08
Position 747: 7.444955033618504e-08
Position 417: 5.936261504961989e-08
Position 184: 5.359422801393824e-08
Position 450: 4.765014484164354e-08
Position 804: 4.2412065925400456e-08
Position 363: 3.51165366161612e-08
Position 792: 1.739541697620021e-08
Position 376: 1.6026358711741598e-08
Position 739: 1.5808368685296648e-08
Position 370: 1.4148245364810288e-08
Position 65: 1.2532905308502095e-08
Position 367: 9.646777429772706e-09
Position 79: 6.546717368026969e-09
Position 133: 5.645042446530235e-09
Position 709: 5.49947658683468e-09
Position 51: 5.469510087450776e-09
Position 760: 5.442509839981811e-09
Position 732: 4.713873440277245e-09
Position 279: 4.577416881804722e-09
Position 142: 2.919031658543314e-09
Position 54: 2.814494120364599e-09
Position 762: 1.4205357181660567e-09
Position 124: 4.658341957895546e-10
Position 76: 4.5337838642239443e-10
Position 98: 3.1600648651070863e-10
Position 109: 2.94872052696645e-10
Position 384: 5.449160735371117e-11
Position 356: 3.465706904779369e-11
Position 85: 2.3969119904184663e-11
Position 95: 1.0535918748497009e-11
Position 92: 3.5117142685085356e-12
