Gene = sky
index = 1876
Annotated 5SS: [  133  2027 15916 36670 36945 41379 41783 42020 42345 43294 44658 44975]
Annotated 3SS: [ 1788 15371 36466 36739 41253 41453 41847 42314 43206 44498 44753 45040]
SMsplice 5SS: [  293 36670 36945 41379 41783 42020 44658 44975]
SMsplice 3SS: [36466 36739 41253 41453 41847 44498 44753 45040]
top_k =  1000
Partition function (log Z): 10.151019942041252

Sorted 5' Splice Sites (High to Low Probability):
Position 44975: 0.9997891229007089
Position 36670: 0.9994323326013831
Position 41783: 0.9748783941813115
Position 42020: 0.9703856974925115
Position 41379: 0.9649722164080263
Position 36945: 0.951397999000157
Position 44658: 0.8132736043234238
Position 293: 0.6869715812705388
Position 39412: 0.6618983003398418
Position 15916: 0.6501223494850533
Position 40789: 0.5763230037981097
Position 41078: 0.4963484590022519
Position 43294: 0.43149126147112554
Position 38226: 0.3466862558484172
Position 3750: 0.3297641372077642
Position 2027: 0.24331819866026094
Position 45493: 0.22726657356748167
Position 39596: 0.22016835772410803
Position 42219: 0.2090145297109027
Position 42345: 0.1778546557363652
Position 37079: 0.17518418944707564
Position 44678: 0.17373268431469452
Position 17748: 0.1494556664041718
Position 40941: 0.13042046923343814
Position 46651: 0.11033228604203622
Position 37966: 0.10581789252713382
Position 45590: 0.09578956797166349
Position 37105: 0.09497712938766349
Position 37128: 0.08057502027434253
Position 14315: 0.08001923589960758
Position 519: 0.06367505609498322
Position 46210: 0.058334850033318404
Position 40965: 0.056333009493368565
Position 58: 0.05572310358353516
Position 133: 0.039938863221735225
Position 39230: 0.029451797478495884
Position 46548: 0.027820499861566556
Position 47080: 0.024152787054933678
Position 42152: 0.02374237958944718
Position 37854: 0.022792778795014335
Position 37269: 0.021316130568376463
Position 47053: 0.017702975516071015
Position 45403: 0.01756446565270125
Position 640: 0.017408783285153114
Position 37302: 0.01677204089430919
Position 45328: 0.0166054726619877
Position 43280: 0.01627512554132012
Position 46581: 0.016070457665677662
Position 46541: 0.014460902636170454
Position 46672: 0.013890869730375236
Position 3227: 0.013786555956631572
Position 46185: 0.013319277034450322
Position 43852: 0.013163320243799114
Position 45317: 0.01294408127855257
Position 39718: 0.012876230444926194
Position 5227: 0.01111611254737067
Position 45124: 0.01094483602305207
Position 37578: 0.009830705243980144
Position 45563: 0.00912645590828352
Position 594: 0.009067072930122556
Position 45936: 0.008154818586937162
Position 47047: 0.00720938911536843
Position 37407: 0.007166797063117274
Position 45734: 0.00710350511195724
Position 41073: 0.006679971964187105
Position 5070: 0.00655000151020702
Position 37459: 0.006342926092722544
Position 45150: 0.0055007622804377375
Position 37451: 0.005445790232337915
Position 37155: 0.005141818612209632
Position 3012: 0.005020284079891946
Position 43938: 0.00501207884478573
Position 37828: 0.005000685031610889
Position 38408: 0.004946858811958616
Position 805: 0.004721607418577449
Position 37419: 0.004365265841403784
Position 41767: 0.004233047583777789
Position 45348: 0.003780229303952839
Position 46028: 0.0037716464053521915
Position 992: 0.0035541896882634208
Position 37557: 0.003405339525268912
Position 700: 0.0032829085612300743
Position 4188: 0.003191677790762473
Position 45738: 0.0030917907827278817
Position 904: 0.0028354896885110776
Position 42670: 0.002686248311156629
Position 37009: 0.002572336165166611
Position 838: 0.002565226143570399
Position 44696: 0.0024171995200041496
Position 45769: 0.0023344360625311826
Position 40265: 0.0023113098765244105
Position 41786: 0.002237992499381033
Position 1658: 0.0021863083106493804
Position 37322: 0.0020885818990897323
Position 42939: 0.0019954446093594837
Position 36857: 0.0019744802104099536
Position 3352: 0.0019288600317427036
Position 41794: 0.001803253713812124
Position 47118: 0.0017992487827207032
Position 1418: 0.0016891975880080849
Position 338: 0.001661004234860337
Position 45159: 0.0015552326084540857
Position 1966: 0.0014982064533151883
Position 37210: 0.0014737466164568148
Position 45171: 0.001448865142343621
Position 1299: 0.0013913010928280523
Position 571: 0.0013908957078913882
Position 41383: 0.0013873615877731341
Position 45228: 0.0013752643696681465
Position 40565: 0.0013619506590095043
Position 36907: 0.001335281625106129
Position 44710: 0.001264516688205009
Position 931: 0.001220192153560103
Position 981: 0.0011662306492761054
Position 45128: 0.001103075873006576
Position 40797: 0.00103688469988779
Position 1114: 0.0010320403825864338
Position 286: 0.0009957163115538671
Position 104: 0.0009948916648888399
Position 41397: 0.0009933321057770418
Position 44688: 0.0009457277802480248
Position 1706: 0.0009303806288019182
Position 45866: 0.0009265022413952635
Position 46373: 0.0009159718457007109
Position 42698: 0.0009057899127603175
Position 38719: 0.0008223377380524428
Position 403: 0.0007961257120747805
Position 38629: 0.0007937921033853522
Position 42156: 0.0007860324887108823
Position 42136: 0.0007851878217264019
Position 45859: 0.0007569489111154816
Position 505: 0.0007555937186603572
Position 45436: 0.0007531652445417437
Position 40394: 0.0007312176200212387
Position 544: 0.0006935492023652452
Position 1231: 0.0006554152306577236
Position 41405: 0.0006082911536872604
Position 517: 0.0005783240816933117
Position 1581: 0.0005438552208349061
Position 174: 0.0005410145306979669
Position 42024: 0.000506407073741974
Position 1122: 0.000498791297402518
Position 1770: 0.0004555989321991047
Position 41562: 0.0004351072515187777
Position 525: 0.00040887094215441794
Position 573: 0.0003910298087274343
Position 41352: 0.0003874998505650311
Position 45783: 0.0003869980602783524
Position 45429: 0.0003708239788427251
Position 391: 0.0003706078034944122
Position 36902: 0.00035692671639595133
Position 41967: 0.00034610100442041447
Position 44796: 0.0003433208881943834
Position 1444: 0.00033974598545029495
Position 44707: 0.0003348773564347555
Position 41304: 0.00031813503700389603
Position 829: 0.0003085568282991244
Position 580: 0.0002841206992931004
Position 275: 0.00027023072390712206
Position 4: 0.0002676817989273926
Position 1171: 0.000258448338627422
Position 942: 0.00025732562903666594
Position 39164: 0.000255259399221814
Position 42403: 0.00024579758821208735
Position 45260: 0.000242572715986788
Position 45540: 0.00024011842788566269
Position 486: 0.0002338354292480875
Position 758: 0.00023261150384837855
Position 41601: 0.00021814817903626814
Position 1212: 0.00020170972722956753
Position 41606: 0.00017942030576352972
Position 4134: 0.00017094462945422913
Position 199: 0.00016958897546843287
Position 3077: 0.0001680460239171126
Position 42096: 0.00016406989222981721
Position 3587: 0.00015917048058275093
Position 549: 0.0001443125434466444
Position 41747: 0.00013821135001405494
Position 539: 0.00013477124747739746
Position 45198: 0.00012595451312498725
Position 817: 0.00012287013792793908
Position 45423: 0.00012091466504902676
Position 1478: 0.00011917432905639335
Position 44670: 0.00011602383679132565
Position 3687: 0.000102524147258289
Position 979: 9.634969764176324e-05
Position 2248: 9.519122292205173e-05
Position 4284: 9.142334634226168e-05
Position 1014: 8.599476228029972e-05
Position 46194: 8.53727668310322e-05
Position 41919: 8.443511397301374e-05
Position 1698: 7.574092704536883e-05
Position 1173: 7.066569838504763e-05
Position 45346: 7.054331169408247e-05
Position 1236: 6.962963701149128e-05
Position 4223: 6.474006754741058e-05
Position 996: 5.798161598502608e-05
Position 4336: 5.686234663626632e-05
Position 3754: 5.596187438506964e-05
Position 45744: 5.1766473560516287e-05
Position 3627: 5.171273446341395e-05
Position 41978: 4.59343018140652e-05
Position 1702: 4.106341695612039e-05
Position 45250: 3.542241981523193e-05
Position 4036: 3.50970545812229e-05
Position 4111: 3.462879222767991e-05
Position 4129: 3.379183818409651e-05
Position 3575: 3.323176795905252e-05
Position 41822: 3.2475279071667315e-05
Position 44968: 3.168060776256109e-05
Position 41714: 3.0316124636036395e-05
Position 3664: 2.7756926069510732e-05
Position 44833: 2.459540320712533e-05
Position 1278: 2.442909517773571e-05
Position 1595: 1.8979194307189607e-05
Position 1712: 1.714722595268028e-05
Position 45380: 1.7087792234464894e-05
Position 3705: 1.5001425787258622e-05
Position 380: 1.4845534321408946e-05
Position 1085: 1.4144678294465878e-05
Position 1710: 1.3238101623453977e-05
Position 1714: 1.2733353774184167e-05
Position 1049: 1.2193730262161278e-05
Position 41818: 1.1675676109544906e-05
Position 1220: 1.1156404754460382e-05
Position 1718: 1.0742229219369461e-05
