Gene = mtRNApol
index = 1802
Annotated 5SS: [ 358  562 1001 1213 2018 3215 4495]
Annotated 3SS: [ 423  615 1056 1266 2074 3271 4552]
SMsplice 5SS: [ 358  562 1001 1213 2018 3215 4495]
SMsplice 3SS: [ 423  615 1056 1266 2074 3271 4552]
top_k =  1000
Partition function (log Z): 17.015276851289112

Sorted 5' Splice Sites (High to Low Probability):
Position 562: 0.9992126555117328
Position 358: 0.9970936619018888
Position 4495: 0.9949803749145382
Position 3215: 0.9928959971516867
Position 1001: 0.9724372342353681
Position 1213: 0.8973975226277883
Position 2018: 0.8747838447243917
Position 1355: 0.057206629720527286
Position 1418: 0.056681431884530994
Position 1576: 0.049830216947833836
Position 70: 0.030381253670642767
Position 2294: 0.02315427571810003
Position 3476: 0.020763051635976516
Position 1006: 0.016321028396826327
Position 2022: 0.015626453443679245
Position 778: 0.013770546413183062
Position 2540: 0.010209855092461091
Position 1357: 0.010130950839210078
Position 4667: 0.006481954751945481
Position 2327: 0.006295371538827533
Position 759: 0.005027966752830252
Position 897: 0.004605812230563597
Position 4835: 0.004327240839437776
Position 4843: 0.004082344581203105
Position 2397: 0.00395979403728832
Position 2162: 0.003621598380860144
Position 2510: 0.0034096771489972957
Position 786: 0.003213738667114596
Position 74: 0.003165417559325122
Position 3872: 0.0029555982715938913
Position 3196: 0.0028300132207745407
Position 273: 0.0025987050711448576
Position 3493: 0.0022714372908642
Position 1201: 0.002268299260604353
Position 2878: 0.0018443928631436159
Position 1220: 0.0013719057488322227
Position 3178: 0.001154603499464076
Position 918: 0.001126654171959839
Position 2467: 0.0009326562891134975
Position 2200: 0.0008789221069325595
Position 1529: 0.0008147049184035774
Position 2298: 0.0008002837189639897
Position 2820: 0.0007514902039779246
Position 4951: 0.0004937523006768982
Position 3617: 0.0004858393618390373
Position 4117: 0.0003598076847639362
Position 3017: 0.00033429036907786864
Position 1602: 0.00031047491738901196
Position 3556: 0.0003012751894960071
Position 1705: 0.0002929923707241636
Position 2963: 0.00029052280918303994
Position 60: 0.0002902875477074283
Position 1996: 0.000258608170075347
Position 94: 0.0002507171509744431
Position 3595: 0.0002446590620272469
Position 32: 0.00023353798170028624
Position 1699: 0.00022609155653873723
Position 3166: 0.00022193496896170638
Position 362: 0.00020976759777852657
Position 4716: 0.00020650216243415858
Position 4499: 0.00020064303608606222
Position 4653: 0.00019912734185262
Position 757: 0.00018975477513086757
Position 4700: 0.0001769977260291899
Position 1157: 0.00017054012675972
Position 379: 0.0001627661761728942
Position 1361: 0.00016262180111626724
Position 37: 0.0001604659284692875
Position 4036: 0.0001600673826255439
Position 96: 0.0001583434172710398
Position 2406: 0.00015786185781008308
Position 3675: 0.00015625863411099355
Position 644: 0.00014588324495029185
Position 2996: 0.00014573850015069207
Position 3651: 0.0001367554844078599
Position 3423: 0.00013203057389646927
Position 2687: 0.00012262713801754034
Position 843: 0.00012098227979690662
Position 2949: 0.0001056010202658672
Position 2941: 9.963471650226731e-05
Position 3908: 8.933663642482176e-05
Position 4015: 7.870465477646053e-05
Position 4732: 7.830557826724828e-05
Position 1471: 7.117250572701913e-05
Position 3410: 7.008499564657913e-05
Position 1594: 6.722316167397727e-05
Position 3559: 6.700200675552335e-05
Position 884: 6.236761681565383e-05
Position 3372: 5.5349855932224906e-05
Position 1649: 5.209914092689179e-05
Position 4417: 5.049146652941148e-05
Position 1280: 4.906173081394602e-05
Position 4225: 4.548833319541716e-05
Position 2714: 4.267026666675795e-05
Position 4665: 4.192452975787769e-05
Position 1286: 3.966615121633232e-05
Position 3175: 3.8509014253365103e-05
Position 1832: 3.816693980434831e-05
Position 4719: 3.7780562023903756e-05
Position 2699: 3.759908260794051e-05
Position 1359: 3.1252213928142086e-05
Position 3887: 3.1164425314703285e-05
Position 3732: 3.061882456523079e-05
Position 4953: 2.9933105012495223e-05
Position 2554: 2.719708625885592e-05
Position 3562: 2.4345505874468388e-05
Position 3980: 2.322627998684621e-05
Position 2132: 2.3038419920306235e-05
Position 1975: 2.249766132181666e-05
Position 323: 2.2396579524271725e-05
Position 4726: 2.219255172089796e-05
Position 3899: 2.1646298325872017e-05
Position 5022: 1.983695110385666e-05
Position 3782: 1.8611922663537246e-05
Position 3219: 1.8102188637438966e-05
Position 1444: 1.4970730227415604e-05
Position 546: 1.2922169645380081e-05
Position 2413: 1.2590887812591774e-05
Position 566: 1.1717052218150409e-05
Position 173: 1.0243962438923339e-05
Position 1841: 1.0201872198997158e-05
Position 4978: 9.605457895942907e-06
Position 275: 8.565596403510274e-06
Position 3486: 7.464236460203865e-06
Position 836: 7.150177803428788e-06
Position 1951: 6.967920036790352e-06
Position 651: 6.961892877538472e-06
Position 72: 5.605655835987292e-06
Position 1190: 4.841431307265395e-06
Position 595: 4.683713031747383e-06
Position 117: 4.679683586260767e-06
Position 3105: 4.170140195951446e-06
Position 1561: 3.872736905536532e-06
Position 277: 3.6374514822628744e-06
Position 1428: 3.6298852536442125e-06
Position 4462: 3.603728821339186e-06
Position 1558: 3.3890158226082807e-06
Position 1172: 2.8304503476026384e-06
Position 144: 2.7286395027542684e-06
Position 4199: 2.5371798322477696e-06
Position 4342: 2.427975104475967e-06
Position 1677: 2.31030226157444e-06
Position 2984: 1.684219209500657e-06
Position 649: 1.453373724946657e-06
Position 2254: 1.409842405653126e-06
Position 1123: 1.3823288101264633e-06
Position 592: 1.3341873895494395e-06
Position 187: 1.0616139475798201e-06
Position 4916: 9.26807060803497e-07
Position 309: 7.807302181902009e-07
Position 4744: 5.161914634952575e-07
Position 5037: 4.693936139158971e-07
Position 137: 4.4307706001392135e-07
Position 161: 4.336418947337629e-07
Position 3777: 4.3024727875132283e-07
Position 4145: 4.2082741262153374e-07
Position 207: 3.2607353894834706e-07
Position 225: 2.7773860790327575e-07
Position 4516: 2.3772683858114257e-07
Position 4903: 2.2791301551599157e-07
Position 5032: 2.168578816675729e-07
Position 1772: 1.9406154353904819e-07
Position 1073: 1.2112629662010545e-07
Position 384: 1.1530865307862688e-07
Position 128: 1.0881066621872008e-07
Position 146: 8.611965337794989e-08
Position 1273: 7.723948530429465e-08
Position 1225: 6.658926597349573e-08
Position 1152: 5.98494187342269e-08
Position 585: 5.401798081194909e-08
