Gene = UTP11L
index = 1541
Annotated 5SS: [  124  3679  5029  5836  6411  6642 10068]
Annotated 3SS: [ 3616  4925  5721  6316  6510  9956 10802]
SMsplice 5SS: [  124  3679  5029  5836  6411 10068]
SMsplice 3SS: [ 3616  4925  5721  6316  9956 10802]
top_k =  1000
Partition function (log Z): 8.811615167756564

Sorted 5' Splice Sites (High to Low Probability):
Position 5836: 0.9971958765811995
Position 10068: 0.9744778253134415
Position 124: 0.973865120837766
Position 5029: 0.9466462597336106
Position 3679: 0.8523508956211612
Position 6411: 0.8365729115198336
Position 6642: 0.47714924753708937
Position 10982: 0.3314250753174389
Position 434: 0.22441617605659284
Position 5274: 0.16617924946614457
Position 9529: 0.16543894335107617
Position 4103: 0.09566465359075044
Position 1580: 0.09023020266989344
Position 7503: 0.07906237471305332
Position 10256: 0.07704118712972433
Position 3697: 0.07389885837975366
Position 738: 0.06455781281954386
Position 10298: 0.053783803809116654
Position 3492: 0.053495925600084517
Position 10720: 0.05030355598185186
Position 391: 0.049273343979313065
Position 9745: 0.04258416155928738
Position 5607: 0.036010440619801076
Position 5260: 0.031379477926974486
Position 7161: 0.02929244414052005
Position 6668: 0.028478824128791706
Position 10941: 0.022896735756800488
Position 9841: 0.020352803275919592
Position 5609: 0.019840212045408288
Position 1555: 0.01922911167661228
Position 549: 0.018282340137619042
Position 4275: 0.017263093049546676
Position 742: 0.016214008045384806
Position 11003: 0.014784511514409415
Position 3193: 0.014584044746309182
Position 10839: 0.0137793312253294
Position 3423: 0.012318280908574161
Position 11552: 0.0120278796869046
Position 10824: 0.011628269378102248
Position 4107: 0.01156392861974346
Position 5017: 0.010955375141107764
Position 3113: 0.00976927965655138
Position 5048: 0.008998771531721484
Position 446: 0.008679823737115367
Position 6428: 0.008429160065933148
Position 4052: 0.007899752508058733
Position 10730: 0.007439469694182164
Position 10986: 0.00740468154553655
Position 5156: 0.006218553657234095
Position 7355: 0.0060641757586156276
Position 7022: 0.005531122403041814
Position 10914: 0.005393097828211336
Position 243: 0.005219878382427831
Position 6130: 0.004720451114592324
Position 10508: 0.004102235386479138
Position 8323: 0.0038990048030491764
Position 9789: 0.0035604818438801844
Position 9431: 0.0033586808834331124
Position 3461: 0.0030747961176048576
Position 1584: 0.00279904173396482
Position 4785: 0.0027896484176062
Position 7667: 0.0026771164278306518
Position 1116: 0.00266343797770516
Position 10308: 0.0024990484442921424
Position 10882: 0.0024634843919484595
Position 5147: 0.0021856218778363396
Position 10025: 0.002129004122825915
Position 3542: 0.002072407146062703
Position 3434: 0.002005160249659332
Position 11259: 0.001989416008294859
Position 546: 0.0019823897610846235
Position 1449: 0.0018890504293677896
Position 383: 0.001767538198699904
Position 4279: 0.0017320519916332595
