Gene = ISCA1
index = 718
Annotated 5SS: [  152  8341 10523]
Annotated 3SS: [ 8286 10416 16337]
SMsplice 5SS: [  152  8790 10523 11366 16419]
SMsplice 3SS: [ 8696 10416 11306 16337 17293]
top_k =  1000
Partition function (log Z): -1.687388804043135

Sorted 5' Splice Sites (High to Low Probability):
Position 10523: 0.9931380716337543
Position 152: 0.8899790800665021
Position 16419: 0.8798551666263691
Position 11366: 0.8481060360173668
Position 8790: 0.6799419821102133
Position 4795: 0.5286974482138731
Position 1224: 0.46145406811091766
Position 8341: 0.3657241965238126
Position 2829: 0.3231658270796193
Position 16878: 0.2589717019231738
Position 16072: 0.21795504135904592
Position 11092: 0.17658695154393317
Position 12518: 0.1669622759433379
Position 13915: 0.14067802816626435
Position 6610: 0.13720475304265975
Position 10154: 0.08769011592967757
Position 3333: 0.08181715245143861
Position 4723: 0.050711668655043333
Position 1462: 0.04636019979876116
Position 561: 0.043329401408412606
Position 107: 0.04217569071679553
Position 16703: 0.03294225624223052
Position 2474: 0.031119346438164542
Position 17049: 0.028928483120579947
Position 15430: 0.02295386907191968
Position 13923: 0.02249979868062299
Position 8766: 0.021720226093592324
Position 1727: 0.020668278844724948
Position 1491: 0.013712585539831987
Position 16839: 0.013122738561078293
Position 1434: 0.012845894491788058
Position 16889: 0.012292588107818296
Position 2631: 0.011533764874907817
Position 787: 0.011376543593238133
Position 10329: 0.01072124448392944
Position 9590: 0.01036594078063528
Position 9156: 0.010280880669148404
Position 7829: 0.00996088016726858
Position 16696: 0.009286797147620167
Position 8009: 0.00924689595730619
Position 14402: 0.00875157968228526
Position 8785: 0.008531922720673385
Position 3324: 0.007871048093758215
Position 16508: 0.007683103352548256
Position 1839: 0.007013850296255431
Position 13927: 0.006243304197682698
Position 493: 0.00563672921237168
Position 10926: 0.0052858864629998755
Position 10771: 0.0042024104787685744
Position 16610: 0.003761308403576956
Position 11025: 0.003397067524086007
Position 16892: 0.0029455924219456008
Position 16881: 0.0024990504108760494
Position 3549: 0.0022697777385880307
Position 16585: 0.002115972633799998
Position 10958: 0.002060125315642549
Position 7266: 0.0017939696387262148
Position 6019: 0.0017525951479736195
Position 1468: 0.0017285965019371984
Position 712: 0.0017221089639151922
Position 15672: 0.0015852453120491924
Position 669: 0.0012201074130814423
Position 429: 0.0008351220893985173
Position 11546: 0.0008348380910148584
Position 11838: 0.00046633099231677887
Position 3158: 0.0004386395586048512
Position 98: 0.00042921298744547787
Position 404: 0.0002509704214559035
Position 73: 0.0002449473318120868
Position 951: 0.00022992609449663768
Position 2796: 0.00022202447690826665
Position 11403: 0.00019983076296559187
Position 3969: 0.00018711840121585528
Position 2387: 0.00017275585417132587
Position 1383: 0.0001296534498365731
Position 703: 0.00012257543782472606
Position 12711: 0.00010970924252729698
Position 338: 0.0001069346538963161
Position 216: 9.962940233647252e-05
Position 534: 8.683559350456082e-05
Position 518: 8.380523238769619e-05
Position 479: 7.5342102800812e-05
Position 816: 5.302427861573166e-05
Position 2415: 4.52206914178433e-05
Position 894: 3.948588431839209e-05
Position 1286: 3.6006564438313174e-05
Position 195: 3.304735782635818e-05
Position 256: 2.556469237319991e-05
Position 1203: 2.432697581286748e-05
Position 570: 2.3673545046927512e-05
Position 1191: 2.202135901490833e-05
Position 156: 1.540640621050339e-05
Position 86: 1.3554926090589278e-05
Position 1841: 1.0275507487188334e-05
Position 527: 1.000790510424002e-05
Position 383: 9.989373599738282e-06
Position 1754: 8.398593253950534e-06
Position 809: 5.756696168381557e-06
Position 1216: 3.6169007056883514e-06
Position 705: 2.990793079443427e-06
