Gene = RGS7BP
index = 1136
Annotated 5SS: [  491  1579 69606 88559 92137]
Annotated 3SS: [  1411  69474  88410  92065 102861]
SMsplice 5SS: [  224   491  9370 29564 36763 41507 56471 69606 84141 88559 92137]
SMsplice 3SS: [   391   9250  29426  36643  41389  56359  69474  84005  88410  92065
 104199]
top_k =  1000
Partition function (log Z): -46.49056441981431

Sorted 5' Splice Sites (High to Low Probability):
Position 491: 0.9899357686846633
Position 9370: 0.9738601743664127
Position 10385: 0.47475104525049755
Position 1579: 0.46975563115631697
Position 224: 0.39560374140157456
Position 11473: 0.3395486366451677
Position 20557: 0.30038026034828413
Position 206: 0.243740905922937
Position 12915: 0.16153370205029938
Position 6325: 0.14178702271192675
Position 12322: 0.1346857089169341
Position 6318: 0.11449331031002245
Position 5045: 0.09430246517198923
Position 6298: 0.08730788236527802
Position 10024: 0.08623151472409239
Position 4748: 0.07497709037176142
Position 817: 0.07204668175806361
Position 968: 0.05853822115614778
Position 7996: 0.0552695515577996
Position 5748: 0.04991828279030846
Position 729: 0.049780452925244814
Position 8814: 0.043640004354841846
Position 175: 0.03857061237373976
Position 67: 0.034651614227502466
Position 320: 0.03220584055778303
Position 2935: 0.02889386364956125
Position 18920: 0.025830281705633805
Position 4646: 0.023696390516293676
Position 12000: 0.022834293308637465
Position 12413: 0.021428349366903163
Position 14493: 0.01970810519043225
Position 6273: 0.017059813789004508
Position 3210: 0.017020663572841835
Position 7409: 0.015942206490352075
Position 19490: 0.015610728870017469
Position 1481: 0.013991368623226625
Position 1601: 0.01348451888514538
Position 13311: 0.012583482481696542
Position 14509: 0.01254843218314112
Position 1320: 0.012382658710134737
Position 20528: 0.010396241779996008
Position 13511: 0.008584953623350395
Position 495: 0.006368236818053891
Position 2097: 0.0059242282339346
Position 4723: 0.004929463344618125
Position 5056: 0.00436843052056407
Position 675: 0.004070723326605184
Position 312: 0.0032338770416203634
Position 3761: 0.0029576405840685657
Position 12350: 0.0023897441811554544
Position 4506: 0.0021054356996565017
Position 1164: 0.002022798573970612
Position 4739: 0.0019228816180358473
Position 2449: 0.0018295251886869702
Position 742: 0.0015541675326304503
Position 4316: 0.001462895770737075
Position 733: 0.0014267492187874618
Position 21900: 0.001199103996075374
Position 1381: 0.0011532592129374526
Position 948: 0.0010817321839946953
Position 1174: 0.0010406109269710943
Position 760: 0.0008953199522350037
Position 3194: 0.0007439403871373249
Position 12005: 0.00054922288744443
Position 552: 0.0005238139003094066
Position 975: 0.0005182791169068593
Position 661: 0.0004012074506605034
Position 318: 0.000252589985700669
Position 895: 0.00023326317773984267
Position 1114: 0.0002275306302368969
Position 778: 0.00021504200721664797
Position 5260: 0.00016867356588966156
Position 672: 0.00014767490873211634
Position 538: 0.00010235692219931014
Position 30: 9.566830453534614e-05
Position 696: 5.6054258616141695e-05
Position 2238: 4.5730214672653505e-05
Position 1257: 4.227608822143531e-05
Position 1284: 3.4376985364447e-05
Position 1178: 2.862165586206044e-05
Position 1048: 2.424677580536802e-05
Position 330: 2.3188421946649125e-05
Position 710: 1.889988971314127e-05
Position 1644: 1.176632921371493e-05
Position 2525: 1.1643094391303432e-05
Position 912: 8.843057241170435e-06
Position 2305: 7.757295483339296e-06
Position 2347: 7.669894565307332e-06
Position 927: 7.318291489796257e-06
Position 919: 7.227434684234709e-06
Position 935: 6.553663063620766e-06
Position 2518: 5.154704458142404e-06
Position 1069: 4.70428394129326e-06
Position 117: 4.660836077579048e-06
Position 736: 4.419067510991707e-07
