Gene = PHAX
index = 1021
Annotated 5SS: [  791  3916  8217 17066]
Annotated 3SS: [ 3301  8095 16981 24306]
SMsplice 5SS: [  165   791  3916  8217 17066]
SMsplice 3SS: [  675  3822  8095 16981 24306]
top_k =  1000
Partition function (log Z): 0.30546168834343135

Sorted 5' Splice Sites (High to Low Probability):
Position 17066: 0.9966858429315781
Position 8217: 0.9947246006923662
Position 3916: 0.9512044296443348
Position 791: 0.9395944483876532
Position 3402: 0.4932607139738393
Position 47: 0.36784937470785545
Position 165: 0.36664885297725186
Position 6708: 0.29784558047530363
Position 16823: 0.21774142750385525
Position 430: 0.19137886299603307
Position 2218: 0.1829535794478535
Position 266: 0.1667944871893188
Position 4140: 0.15722299591928907
Position 9388: 0.09455701151834282
Position 15032: 0.09076652641573527
Position 9599: 0.09063416152379992
Position 16883: 0.08784689541138241
Position 6742: 0.06700176584075182
Position 287: 0.06484110896006569
Position 13773: 0.06320654857430388
Position 19699: 0.05521837531585461
Position 3609: 0.05371136689786036
Position 19970: 0.05150969303838923
Position 6051: 0.04881392814519811
Position 15638: 0.04719182621588089
Position 10057: 0.04348345458566676
Position 10045: 0.04001290429629979
Position 19780: 0.03976290971664179
Position 181: 0.034531893159701094
Position 3390: 0.03243622700554648
Position 808: 0.029631947067553874
Position 14124: 0.022549958403009253
Position 10581: 0.020698637009637307
Position 22501: 0.020082702897598968
Position 12013: 0.018276432281141848
Position 6194: 0.014699583944738095
Position 19250: 0.01183841556967638
Position 9783: 0.011597320042917445
Position 12029: 0.009942913312670599
Position 4277: 0.008907475142387742
Position 5708: 0.008833269578393439
Position 22631: 0.008776744472630882
Position 6868: 0.007367260946190008
Position 18937: 0.006862051776841113
Position 5037: 0.0061608054235984385
Position 2522: 0.0052513662825259665
Position 20943: 0.005127542887816776
Position 20061: 0.004968589425332398
Position 13635: 0.00466412217331803
Position 9819: 0.004534104530636249
Position 2023: 0.004314418839892361
Position 12292: 0.0038114618048347318
Position 3248: 0.0037531910647006467
Position 16848: 0.003752599438743806
Position 7111: 0.003457752386455993
Position 3159: 0.0031890559093555888
Position 497: 0.003157025396768831
Position 2554: 0.0030839317744508765
Position 6865: 0.002804314998530653
Position 865: 0.0026678727222792095
Position 24082: 0.002334925481209397
Position 24577: 0.0022621829474555348
Position 18047: 0.0022401855882982504
Position 28: 0.0019471142896114858
Position 1677: 0.0018813776299722788
Position 2679: 0.0018634594065264395
Position 5039: 0.001557643382806794
Position 543: 0.0015420688659006404
Position 13775: 0.0013557151618725004
Position 4537: 0.0013308035822872685
Position 10717: 0.001313959766080661
Position 5232: 0.0013078376543399065
Position 5409: 0.0013059373953739934
Position 362: 0.001012017539161857
Position 3411: 0.0009397070750126508
Position 3365: 0.0009076961135996776
Position 707: 0.000860718676992382
