Gene = PAM
index = 997
Annotated 5SS: [   275   1384  35404  48012  59033  60659  80876  82436  83608  83969
  84811  94050  95220 108427 124392 137140 139217 141002 141648 143857
 151424 153834 159325 162229]
Annotated 3SS: [  1262  35345  47923  58946  60574  80826  82367  83526  83891  84706
  93864  95147 108105 124261 137022 139143 140790 141446 143740 151323
 153779 159120 162171 162876]
SMsplice 5SS: [   275   1384   3755  21031  21222  35404  48012  48706  59033  59724
  60659  64028  72470  80876  82436  83608  83969  84811  85904  91827
  94050  95220  97749 108427 137140 143857 153834 159325 162229]
SMsplice 3SS: [  1262   3672  20938  21116  35345  47923  48534  58946  59549  60574
  63878  72349  80826  82367  83526  83891  84706  85803  91539  93864
  95147  97629 108105 137022 143740 153779 159120 162174 162876]
top_k =  1000
Partition function (log Z): -78.26085304710507

Sorted 5' Splice Sites (High to Low Probability):
Position 1384: 0.9694171387213262
Position 3755: 0.8882366806383507
Position 275: 0.717149787841415
Position 5022: 0.4185216636082032
Position 3175: 0.35911463219193385
Position 526: 0.11306472441319404
Position 172: 0.07858780314962051
Position 4536: 0.04392857939513736
Position 3216: 0.041092052590959695
Position 4316: 0.031881589651797826
Position 48: 0.03147058861023251
Position 5496: 0.03047999464490672
Position 640: 0.02227799315448353
Position 4591: 0.019874828246177114
Position 1686: 0.014432657242417834
Position 91: 0.012547712220660583
Position 1177: 0.012392090564934292
Position 7493: 0.011792205464699008
Position 1068: 0.011697462527592574
Position 294: 0.011103055535717572
Position 3278: 0.01102210548406832
Position 11652: 0.010983047493592966
Position 3891: 0.008776310843278807
Position 1105: 0.00874947469929215
Position 4963: 0.007891451369623645
Position 5832: 0.006919044288422028
Position 3586: 0.006540561160475414
Position 1556: 0.006062356316266564
Position 153: 0.0058988408547233605
Position 1441: 0.005832807993638282
Position 1884: 0.005507706372389462
Position 855: 0.005278435902762586
Position 4232: 0.003791905979206552
Position 2403: 0.003143597728109012
Position 8510: 0.0030396542134185395
Position 488: 0.0029351174975391276
Position 6295: 0.0026155253920223573
Position 4958: 0.002555848015036491
Position 169: 0.0024592312182256876
Position 4283: 0.002409829400889897
Position 3837: 0.0023552674712751997
Position 281: 0.0023157410393453252
Position 13364: 0.0021977304799397886
Position 9462: 0.0021288359525880674
Position 322: 0.0018238606322831701
Position 784: 0.0015463750830197317
Position 2058: 0.001514790318928065
Position 4200: 0.0015052217709612566
Position 7413: 0.0014833883209652585
Position 2918: 0.0013930072331077663
Position 668: 0.0011769942837632661
Position 807: 0.0011768678946279653
Position 404: 0.0010391305288949067
Position 449: 0.0009663659717317772
Position 905: 0.0009584813308877935
Position 900: 0.0009240678571457076
Position 5452: 0.0008390767484326399
Position 5484: 0.0008267680134914728
Position 1482: 0.0008138116923636115
Position 6592: 0.0008066652863860857
Position 6677: 0.0007898101770165505
Position 1852: 0.0007349138365482063
Position 4815: 0.0005131924413052217
Position 312: 0.0005086537334214587
Position 3204: 0.000453616567553222
Position 6974: 0.00041035961428812065
Position 3220: 0.0004015654872436272
Position 707: 0.0003859956565448428
Position 890: 0.0003566371002099372
Position 3939: 0.0003419512676823489
Position 6214: 0.000337026255740137
Position 3728: 0.0003146116385938988
Position 3759: 0.0003043409097445909
Position 1024: 0.0002940833618722056
Position 5287: 0.0002737042842916772
Position 2846: 0.0002545966616329233
Position 1874: 0.00022401081522586134
Position 5518: 0.0001938854929624002
Position 491: 0.00018345187293768178
Position 721: 0.0001798038409673676
Position 238: 0.0001731438947498821
Position 713: 0.00017042567541883047
Position 6849: 0.0001680747679035443
Position 2125: 0.00015382696664033508
Position 4163: 0.00013381082074560366
Position 303: 0.00013031559642954477
Position 1304: 0.00011736430969894994
Position 3647: 0.00011337029680950341
Position 364: 0.00010350303662812961
Position 1032: 9.925098318947252e-05
Position 288: 9.016541590980813e-05
Position 7354: 8.213941745440968e-05
Position 3218: 7.448364392097893e-05
Position 1914: 6.543117468787094e-05
Position 3285: 6.354855823374219e-05
Position 7782: 6.331729753059249e-05
Position 849: 6.17676877420623e-05
Position 3261: 5.771863790882874e-05
Position 1155: 5.6172541271528666e-05
Position 460: 5.427503197371895e-05
Position 3489: 5.306200730603748e-05
Position 2431: 4.556765365381157e-05
Position 615: 4.122880527805106e-05
Position 279: 4.114382792082542e-05
Position 5223: 3.754964084796226e-05
Position 2015: 3.670309742805861e-05
Position 1045: 2.7652216712983566e-05
Position 346: 2.7597996863342924e-05
Position 2282: 2.7351629448437657e-05
Position 414: 2.177855886107806e-05
Position 419: 1.815608279259902e-05
Position 50: 1.802531807927971e-05
Position 2266: 1.6357302623116544e-05
Position 2049: 1.4363487436301916e-05
Position 2191: 1.2469841626382138e-05
Position 52: 1.0751486303905335e-05
Position 2496: 1.0608419612925214e-05
Position 3774: 9.5527392955104e-06
Position 3868: 8.93140827659314e-06
Position 2608: 7.948724783960358e-06
Position 4952: 6.688341266651317e-06
Position 1541: 6.486580597006097e-06
Position 2558: 6.191247388863149e-06
Position 213: 6.1223289211078095e-06
Position 198: 5.992666470526864e-06
Position 370: 5.6570402549177745e-06
Position 180: 4.918083222840758e-06
Position 3818: 4.692720145316134e-06
Position 5661: 3.0884634337108287e-06
Position 5324: 2.0780230288251295e-06
Position 1464: 6.853729058658995e-08
Position 75: 5.924940415020991e-08
Position 344: 4.223543718161619e-08
Position 426: 3.122710548252186e-08
Position 1369: 2.9439244442712144e-08
Position 613: 2.719915847989196e-08
Position 1923: 1.6219958054624634e-08
Position 222: 1.3735974052501563e-08
Position 999: 4.778772899917378e-09
Position 556: 4.386406065464026e-09
Position 264: 4.166511522268064e-09
Position 1754: 3.89846636818339e-09
Position 1670: 3.4286368044557065e-09
Position 1787: 1.278848693942062e-09
Position 285: 3.8381771278519706e-10
Position 829: 2.142389222713532e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1262: 0.9486728803739486
Position 3672: 0.5890629084350028
Position 4878: 0.4258889169338428
Position 3066: 0.39014537669647464
Position 21857: 0.25486838287322927
Position 3728: 0.22048807079269836
Position 21730: 0.21718185782420307
Position 7282: 0.17909783011357092
Position 12939: 0.14619084979891833
Position 4112: 0.05601348474879673
Position 15698: 0.04186907085568642
Position 4406: 0.041791366825449226
Position 3517: 0.02878474463623586
Position 5365: 0.026602621662350234
Position 7872: 0.025424111395081953
Position 3614: 0.022179615405285413
Position 11466: 0.018109481030660936
Position 3040: 0.016083721841012026
Position 3603: 0.015859875710497347
Position 6079: 0.015628923859067733
Position 583: 0.015220941200271936
Position 9932: 0.014722289918179459
Position 4489: 0.01300014491048443
Position 1067: 0.0127495733013785
Position 3641: 0.01251542964624758
Position 13503: 0.011009505297328496
Position 8431: 0.01086957439384497
Position 1485: 0.009547920826773573
Position 10154: 0.009103725829090584
Position 4687: 0.008589139090919393
Position 5772: 0.0076231879859595935
Position 760: 0.007379940838999728
Position 1313: 0.0071382122648950014
Position 938: 0.006976900956556229
Position 5185: 0.006642694569846128
Position 1218: 0.006399151164450808
Position 9736: 0.005783799350343127
Position 3101: 0.005609326394395415
Position 5373: 0.005014199933135572
Position 3448: 0.0048355549392503465
Position 3650: 0.004624448226094487
Position 404: 0.004614386537772757
Position 5317: 0.004286703775394425
Position 6167: 0.004187495414034152
Position 1461: 0.00393585236800795
Position 7165: 0.0035449449241926273
Position 1213: 0.0032519357006680237
Position 358: 0.003183432846526305
Position 5344: 0.003143846699775263
Position 6151: 0.0029870837533276344
Position 3676: 0.0029724214790650847
Position 7350: 0.0029552330309961616
Position 9394: 0.0028629326344394813
Position 8476: 0.002829022899299704
Position 3501: 0.002812386366662458
Position 12238: 0.002751717206629678
Position 1664: 0.0027182036850108187
Position 2266: 0.0025035600474258768
Position 803: 0.002275610444923761
Position 10061: 0.0022709465392150036
Position 2014: 0.002129310869627514
Position 4530: 0.0020601789710606696
Position 4840: 0.0019167062890831671
Position 1678: 0.0018396727685431105
Position 6456: 0.0018201596628057554
Position 9204: 0.001819509353006008
Position 12180: 0.0017458922498665558
Position 2795: 0.0017194791337703159
Position 9991: 0.0016607143089728627
Position 431: 0.0016291047849582708
Position 6029: 0.0014868844610433105
Position 1235: 0.001476627440868521
Position 9368: 0.0014765741843856585
Position 9228: 0.0014092182703781075
Position 9208: 0.001357039381893925
Position 1645: 0.0013292227864149131
Position 8153: 0.0013289454317754633
Position 1339: 0.0012916138178507438
Position 3073: 0.0012096775620653246
Position 10219: 0.0011518063016324786
