Gene = ECM1
index = 478
Annotated 5SS: [ 195 1497 1678 1918 2098 3114 3747 4488 4728]
Annotated 3SS: [1445 1575 1836 2016 2790 3371 4266 4639 5151]
SMsplice 5SS: [ 195 1497 1678 1918 2098 3114 3747 4488 4728]
SMsplice 3SS: [1445 1575 1836 2016 2790 3371 4266 4596 4873]
top_k =  1000
Partition function (log Z): 12.939779622397612

Sorted 5' Splice Sites (High to Low Probability):
Position 1678: 0.9685471624447373
Position 1918: 0.967325155650895
Position 1497: 0.9663368649079251
Position 4488: 0.9613577810558886
Position 195: 0.8897311950528691
Position 4728: 0.857718161301843
Position 3114: 0.8061851562237267
Position 3747: 0.7106143929041762
Position 2098: 0.5598975075449439
Position 2213: 0.40910121349968487
Position 2481: 0.17033743434352222
Position 110: 0.09202013799616875
Position 3846: 0.0644693995880172
Position 3025: 0.061145557525476256
Position 3119: 0.05787389769506581
Position 2576: 0.046912129109100496
Position 1019: 0.044250326287133886
Position 2970: 0.03826633184979193
Position 2178: 0.03264504468133566
Position 452: 0.031321361218928784
Position 1275: 0.029124279937334623
Position 2589: 0.01971236301592732
Position 2870: 0.0165834851590414
Position 1041: 0.012771823590289152
Position 5086: 0.01237814294559696
Position 3850: 0.010907509937983183
Position 1315: 0.01058380241474457
Position 5245: 0.009543237098875144
Position 5404: 0.009182612747425437
Position 3461: 0.0052705104269167875
Position 4972: 0.004297905674107525
Position 1178: 0.0038712573256584233
Position 4210: 0.0036482236233294904
Position 2959: 0.003062699617589409
Position 1683: 0.0026644558399253598
Position 865: 0.002607151753314255
Position 1750: 0.002458167511131628
Position 3161: 0.002168576504671109
Position 1011: 0.0020359972559295552
Position 465: 0.0018454862463840847
Position 1718: 0.0018134041399139999
Position 1062: 0.0015751325150645515
Position 4230: 0.0014754496813552491
Position 3434: 0.0014613212888414716
Position 4962: 0.001376210315896952
Position 1032: 0.0012565594886022942
Position 2497: 0.001229889415475521
Position 4732: 0.0008844197049068048
Position 1806: 0.0008100949807158572
Position 1221: 0.0007322861808088401
Position 2834: 0.000619530181702053
Position 837: 0.0005505840347090916
Position 327: 0.0005295492328734801
Position 3397: 0.0005152774031482692
Position 778: 0.0004977397969265259
Position 3544: 0.00048803984586241094
Position 5189: 0.00046025676763418113
Position 3098: 0.0002630827638509627
Position 498: 0.00025277397739031964
Position 2967: 0.0002039103443885927
Position 490: 0.000182713095815941
Position 505: 0.00016182184565211152
Position 3880: 0.00015562159350456203
Position 4259: 0.00013600309867420498
Position 5009: 0.0001305643130763668
Position 4266: 0.00011658957490362781
Position 4113: 0.00010320792692474267
Position 225: 9.709434297457072e-05
Position 28: 9.588330862843875e-05
Position 3214: 8.914493908806213e-05
Position 3344: 8.845696172020237e-05
Position 3832: 8.619157854776539e-05
Position 456: 8.569471013404023e-05
Position 445: 7.681498027657182e-05
Position 3178: 6.987336076047496e-05
Position 2977: 6.631901394066258e-05
Position 2631: 6.398173912393794e-05
Position 3751: 5.472033138595159e-05
Position 602: 4.961065022621351e-05
Position 100: 4.543574075030325e-05
