Gene = NPPA
index = 956
Annotated 5SS: [222 671]
Annotated 3SS: [ 343 1768]
SMsplice 5SS: [222 671]
SMsplice 3SS: [ 343 1768]
top_k =  1000
Partition function (log Z): -6.141303451151693

Sorted 5' Splice Sites (High to Low Probability):
Position 222: 0.9334040181053427
Position 671: 0.795149490455442
Position 458: 0.2906008974780569
Position 504: 0.05452871616797009
Position 411: 0.04352897140124781
Position 123: 0.020262978471623238
Position 160: 0.012863298739681651
Position 479: 0.007836108803034609
Position 1668: 0.006448368441534417
Position 240: 0.0020720667130411357
Position 1654: 0.001984060170807654
Position 969: 0.001433443405441313
Position 1665: 0.0011030684825881739
Position 389: 0.0009985679819932633
Position 1322: 0.0008160235953087758
Position 1009: 0.0006956550486023073
Position 1644: 0.0004624108166087047
Position 404: 0.0004343359543158045
Position 300: 0.0003232778567882074
Position 182: 0.0002682130020577163
Position 1680: 0.0001446660715129756
Position 1733: 0.000138569369363486
Position 1597: 0.00011908686631731918
Position 1672: 0.00010700435796409804
Position 15: 9.63316226408272e-05
Position 1092: 9.02550415720193e-05
Position 304: 7.68903538261933e-05
Position 1127: 5.802418767423574e-05
Position 1231: 5.276838424144785e-05
Position 1630: 4.731101121931888e-05
Position 1263: 4.58194770964514e-05
Position 657: 4.199550166143881e-05
Position 309: 3.104390308133681e-05
Position 1845: 2.9070006979254134e-05
Position 1963: 2.5526568090716324e-05
Position 1388: 2.4817251255942653e-05
Position 1881: 1.6271492420178567e-05
Position 192: 7.235073353679138e-06
Position 937: 6.535475705479747e-06
Position 194: 4.290231850266876e-06
Position 245: 3.2181548222894754e-06
Position 1768: 3.1374003274791503e-06
Position 1884: 3.048893851399577e-06
Position 273: 4.7003070514254505e-07
Position 325: 4.0705209381388866e-07
Position 392: 7.156661066923259e-08
Position 802: 5.174696164131948e-08
Position 73: 5.0399888738112437e-08
Position 800: 2.2936771148949356e-08
Position 768: 9.211894751160563e-09
Position 789: 2.305897446944444e-09
Position 1578: 4.291791944217028e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 343: 0.7586846976838942
Position 1768: 0.5617601865280623
Position 558: 0.34793365807177074
Position 1552: 0.11575786111846477
Position 2004: 0.08767252761483002
Position 562: 0.05080234566900135
Position 1723: 0.045828394975847744
Position 591: 0.04405394341856665
Position 903: 0.03590651281315599
Position 621: 0.031189812656964074
Position 300: 0.01377627055359673
Position 1728: 0.012050673343113922
Position 1664: 0.007207872898118261
Position 606: 0.005699353102250079
Position 829: 0.005676744589512478
Position 365: 0.005441740643164149
Position 787: 0.005354456700185942
Position 2008: 0.004080837053590964
Position 768: 0.003879088852783118
Position 1197: 0.0028411924677276355
Position 1503: 0.0025536652215974623
Position 2029: 0.00250256682629292
Position 1532: 0.0022312268411987853
Position 404: 0.00196365950851826
Position 1946: 0.0018835755335844852
Position 1535: 0.0016121854185618446
Position 1901: 0.0015404159814221127
Position 1621: 0.0013778414728492392
Position 1710: 0.0012788195593142556
Position 1036: 0.0011535060593556013
Position 304: 0.001074936602539673
Position 920: 0.0008560062468925845
Position 1881: 0.0007643864704162703
Position 1661: 0.0007556450442243531
Position 457: 0.000726379667162365
Position 204: 0.0006720078500067152
Position 881: 0.000645456218172893
Position 1907: 0.0006185627222415938
Position 600: 0.0005760242405911433
Position 1214: 0.000563105948617899
Position 806: 0.0005222948395909342
Position 370: 0.0004892784345002468
Position 862: 0.00045062865545660166
Position 411: 0.0003544425238671908
Position 444: 0.0003120097594607991
Position 479: 0.000229190030555974
Position 663: 0.00022492291863897152
Position 383: 0.00020897200557282235
Position 2066: 0.00020777142162160532
Position 630: 0.00020720161487653682
Position 2054: 0.00016965057741395232
Position 567: 0.00012721086415439704
Position 2069: 0.00012205618431266258
Position 1776: 0.0001054782597597668
Position 924: 9.251779453135432e-05
Position 1732: 8.124260744508076e-05
Position 749: 8.06969926338971e-05
Position 1085: 7.95322191132655e-05
Position 643: 7.883900830888843e-05
Position 483: 7.287714830458854e-05
Position 1353: 6.717702786149025e-05
Position 2040: 6.691406861358609e-05
Position 1076: 6.248241313933302e-05
Position 1299: 5.700029032728747e-05
Position 1164: 5.642770384726481e-05
Position 1561: 5.614566456307906e-05
Position 1315: 5.21201704448919e-05
Position 1952: 5.181014908210618e-05
Position 503: 5.0862702975002586e-05
Position 833: 4.498980955698903e-05
Position 1079: 4.1118743884281e-05
Position 1332: 3.782092140100996e-05
Position 914: 3.5772106739264646e-05
Position 1417: 3.3150149511610686e-05
Position 980: 3.308522915964955e-05
Position 1685: 3.2991740937501915e-05
Position 732: 3.2546249386641176e-05
Position 1745: 3.180621313084128e-05
Position 1626: 2.9592128324013237e-05
Position 428: 2.6600792594265044e-05
Position 1478: 2.6290498662896573e-05
Position 1812: 2.3965713724986025e-05
Position 1004: 2.2533885220765518e-05
Position 789: 2.1565477190862723e-05
Position 152: 2.14791464277752e-05
Position 1343: 2.055278950209873e-05
Position 1680: 2.04025682788115e-05
Position 380: 1.9411845411521927e-05
Position 97: 1.8052168789363457e-05
Position 1230: 1.598510699341865e-05
Position 1375: 1.4328268733687832e-05
Position 221: 1.3834376069022521e-05
Position 1208: 1.2106267537790035e-05
Position 1783: 1.0939066732997693e-05
Position 729: 9.639438565456638e-06
Position 425: 6.009376542716165e-06
Position 1244: 4.940790354309652e-06
Position 1235: 4.818809804257179e-06
Position 1326: 4.766937201511037e-06
Position 1797: 4.680974539450695e-06
