Gene = BEND5
index = 132
Annotated 5SS: [  313 15582 18019 34296 40680]
Annotated 3SS: [15447 17633 34146 40465 48874]
SMsplice 5SS: [  313   954  2536  3324  3859 10153 18019 23777 24789 30892 34296 40680
 45081]
SMsplice 3SS: [  756  2412  3118  3781 10083 17849 23647 24668 30804 34146 40465 44922
 48874]
top_k =  1000
Partition function (log Z): -14.405164873694403

Sorted 5' Splice Sites (High to Low Probability):
Position 24789: 0.9876033295995249
Position 313: 0.9845202313415732
Position 3859: 0.8532408609488215
Position 34296: 0.8287344638653507
Position 18019: 0.7855811202880526
Position 954: 0.7836701778944345
Position 30892: 0.7053222264510701
Position 2536: 0.6286166712458194
Position 10153: 0.6140808597792615
Position 23718: 0.5592695582405537
Position 5281: 0.3133771568432527
Position 15582: 0.27987369029220205
Position 12589: 0.1464148541927854
Position 15609: 0.14428532134713906
Position 27214: 0.12797295746330142
Position 1366: 0.09850604493638426
Position 1432: 0.052931294942976506
Position 23733: 0.04870610447617472
Position 25908: 0.04451230836151153
Position 18999: 0.037321972032444355
Position 15852: 0.03180628547819055
Position 19861: 0.026507439600977928
Position 962: 0.02188207659726851
Position 4132: 0.021373444727229116
Position 2349: 0.01778015506377742
Position 19083: 0.016100263857152273
Position 22789: 0.014094171029266822
Position 20084: 0.013770110866311223
Position 2690: 0.013725888682158497
Position 13192: 0.013179411193141099
Position 4871: 0.01308298005302787
Position 11790: 0.013028643612598784
Position 3194: 0.010122695563955324
Position 2284: 0.008858099111830374
Position 945: 0.00773063501807611
Position 4004: 0.007342462550652361
Position 17748: 0.0069882680327652165
Position 17907: 0.006606903191723667
Position 338: 0.005598666798367587
Position 812: 0.0035581503528907435
Position 143: 0.00326215444502186
Position 1725: 0.0029076312460351882
Position 195: 0.0026799318789817762
Position 2234: 0.0022761762328157714
Position 2834: 0.002204051519997392
Position 2238: 0.002126988574729937
Position 4067: 0.0020131772706157036
Position 3578: 0.0017889050541215364
Position 197: 0.0017329681117011005
Position 2955: 0.0016656296253900209
Position 2304: 0.0014046167389653434
Position 4514: 0.0011897350867700921
Position 4523: 0.0011528047096497475
Position 2228: 0.0011364520648347238
Position 2827: 0.0011349613247754393
Position 1323: 0.0011022818322684686
Position 3083: 0.0010849304888346488
Position 89: 0.000924861764908136
Position 2725: 0.0009084408182310114
Position 3569: 0.0008480014362384854
Position 1154: 0.0007852307572247866
Position 2798: 0.0007843014302411367
Position 2495: 0.0007204148455154805
Position 550: 0.0006830023629854034
Position 3237: 0.00048651152636255463
Position 1387: 0.00047283188634156465
Position 546: 0.0004078652607802059
Position 1061: 0.0003198319024778221
Position 206: 0.00031978312867152745
Position 2712: 0.00030185911878582305
