Gene = LRWD1
index = 799
Annotated 5SS: [ 232 1123 1342 2551 2895 3259 3449 3726 4134 4718 4954 7381 7681 7876]
Annotated 3SS: [ 887 1224 2409 2789 3132 3333 3624 3925 4644 4812 7288 7524 7762 7979]
SMsplice 5SS: [ 250 1123 1342 2551 2895 3259 3449 4134 4730 4954 5637 5818 7381 7681
 7876]
SMsplice 3SS: [ 887 1224 2409 2789 3132 3333 3970 4644 4812 5446 5746 7288 7524 7762
 7979]
top_k =  1000
Partition function (log Z): 33.85523248706209

Sorted 5' Splice Sites (High to Low Probability):
Position 7876: 0.9981732216572567
Position 7681: 0.9898982471819732
Position 4954: 0.9886848904570467
Position 1342: 0.9867410951843206
Position 1123: 0.9545640403825562
Position 2551: 0.9059641306686789
Position 3449: 0.9005986870263227
Position 7381: 0.8984269658724361
Position 250: 0.8814516790500231
Position 5818: 0.7672260322882128
Position 3259: 0.6975792575361444
Position 4134: 0.6794178211455896
Position 2895: 0.6746575662811164
Position 5320: 0.640172253240881
Position 4730: 0.6265036801891096
Position 3726: 0.46499689073542694
Position 4466: 0.3856544903723305
Position 4718: 0.37031483062883963
Position 5637: 0.3234262910999075
Position 5582: 0.28714858238287244
Position 7209: 0.18486626286443358
Position 4040: 0.08243842421424913
Position 1767: 0.07711468272145976
Position 232: 0.0719339637987338
Position 5532: 0.05405708492008949
Position 7102: 0.051202466049890774
Position 2650: 0.029426366541260896
Position 2142: 0.02892789189541925
Position 2790: 0.0212231140774697
Position 7385: 0.020383651882668493
Position 6551: 0.0180999371570557
Position 3220: 0.015357488099629949
Position 2835: 0.013714904438362048
Position 7228: 0.011880373525611228
Position 6611: 0.011682292102091884
Position 5700: 0.011445022451022127
Position 819: 0.011326680342314304
Position 4367: 0.010687094779775442
Position 1309: 0.008643845015086095
Position 801: 0.008265166767708297
Position 5688: 0.00644803050039113
Position 753: 0.005547083626599157
Position 2190: 0.005338012058829367
Position 699: 0.004603435231147577
Position 2998: 0.004582676696598677
Position 3456: 0.004567468299070616
Position 4400: 0.004389301362914312
Position 3058: 0.003825028471572148
Position 126: 0.0037647134469849853
Position 5668: 0.0032829238507021707
Position 7377: 0.0031672903139103375
Position 6733: 0.0030984596038557623
Position 4925: 0.0027005462895820587
Position 6539: 0.0024641239527416034
Position 1268: 0.0022361311222064157
Position 338: 0.001982081389162788
Position 3017: 0.0018822604305019873
Position 2591: 0.0018755022934719369
Position 7290: 0.0017098487419479824
Position 2150: 0.001697054682202782
Position 277: 0.0015993470148680093
Position 2148: 0.0015825574206973564
Position 3506: 0.00153313196187271
Position 2152: 0.0014411539519877104
Position 2146: 0.0014185600658338344
Position 5660: 0.001366496160541612
Position 2154: 0.0013664124848262976
Position 2156: 0.0011649593355350545
Position 2158: 0.0010804147214503131
Position 2160: 0.0010281269564131803
Position 3668: 0.0010251758955520537
Position 5325: 0.0009811331119618035
Position 439: 0.0009562672510700084
Position 8117: 0.0009510832795796622
Position 5477: 0.0009420335718178613
Position 2162: 0.000897399735639971
Position 785: 0.0008480348842025349
Position 2824: 0.0008006789293324872
Position 3414: 0.0008006073862364115
Position 3759: 0.0007530199218727726
Position 5046: 0.0007224341980108388
Position 2144: 0.0007011936674785538
Position 4099: 0.0006653280425768917
Position 2322: 0.0006647722849052156
Position 2166: 0.0006580044727873219
Position 2232: 0.0006517531029527248
Position 1273: 0.0005974811145211665
Position 2660: 0.0005550479629772378
Position 3269: 0.0005214345425681763
Position 5555: 0.0005090828058520081
Position 550: 0.0004886790790814553
Position 3650: 0.0004803838260715498
Position 3053: 0.00046724068231684176
Position 4025: 0.0004513090216798677
Position 7637: 0.0004441031991232325
Position 5258: 0.0004352761843756107
Position 5288: 0.0003904364086681651
Position 6416: 0.00038622114984482726
Position 2611: 0.00038320379456897234
Position 4222: 0.000363549656508602
Position 2243: 0.000356628086099492
Position 1581: 0.00035346520366641177
Position 258: 0.0002448082508478993
Position 2194: 0.00023401399093701946
Position 5252: 0.00022671242355818674
Position 2506: 0.00022647081701596602
Position 2196: 0.0001983999731696117
Position 2374: 0.0001816601594601268
Position 1432: 0.0001763361255796563
Position 2198: 0.00017143716256751376
Position 2204: 0.00015898836540931255
Position 464: 0.0001483507561929606
Position 4371: 0.00014359433628412637
Position 2569: 0.00013962173395579047
Position 2192: 0.00012417614107415075
Position 2200: 0.00012252812774351848
Position 2202: 0.00012070843397400788
Position 5218: 0.00011960585032197702
Position 3283: 0.00011246481586215174
Position 3707: 0.0001103438791886794
Position 2208: 0.00010993296713798682
Position 3422: 9.780126806582318e-05
Position 4064: 8.071336231265283e-05
Position 2410: 7.560027338412973e-05
Position 8034: 6.366211952387753e-05
Position 1613: 6.28277283981459e-05
Position 1587: 5.735100904559299e-05
Position 2535: 5.450878653353516e-05
Position 796: 5.111315196277552e-05
Position 8016: 4.216662505334808e-05
Position 114: 3.8877182714229726e-05
Position 2132: 3.8671751239007264e-05
Position 5772: 3.8544076624802825e-05
Position 7649: 3.658824626185846e-05
Position 1725: 3.506059387811259e-05
