Gene = DTWD2
index = 474
Annotated 5SS: [   252  43987  49350  60009 140456]
Annotated 3SS: [ 43895  49254  59815 140326 147457]
SMsplice 5SS: [   252  19058  33220  38127  43987  49350  55435  60009  93688 115123
 129458 140456]
SMsplice 3SS: [ 18946  33131  37995  43895  49254  55265  59815  93602 115019 129288
 140326 147457]
top_k =  1000
Partition function (log Z): -72.6455743070123

Sorted 5' Splice Sites (High to Low Probability):
Position 252: 0.8279661141140074
Position 19058: 0.6062169836739322
Position 6914: 0.38878373521147525
Position 6639: 0.24536286455447331
Position 8518: 0.19484442132193702
Position 539: 0.14979529396692226
Position 14142: 0.11504932545148475
Position 8895: 0.09785114495695237
Position 6732: 0.09681978067816457
Position 5480: 0.09501602526189216
Position 8578: 0.08921127041636019
Position 2443: 0.08031053710544477
Position 8456: 0.0784171457243631
Position 6952: 0.07443527413141963
Position 10251: 0.06590740127027514
Position 5706: 0.06039667351359467
Position 5070: 0.04840803488391385
Position 5440: 0.04773694782305171
Position 14698: 0.03763942001967115
Position 416: 0.026030932878643123
Position 5316: 0.019929285718281106
Position 4710: 0.010143503430484245
Position 3223: 0.00901778807788967
Position 2743: 0.008314243260314252
Position 2937: 0.007656837749917071
Position 185: 0.005768889532985196
Position 306: 0.005518074861982608
Position 8557: 0.00542749056309663
Position 7063: 0.004567244261996566
Position 1818: 0.0028386140946853877
Position 2900: 0.0018819857995643948
Position 4656: 0.0013473424464715122
Position 8165: 0.001237369071850912
Position 6922: 0.0009932898153303543
Position 1186: 0.0008422160693514009
Position 1326: 0.0007017799121913632
Position 3928: 0.0005945545502207099
Position 738: 0.0005656627282038015
Position 2749: 0.0005608828550419046
Position 2674: 0.0004662355119737425
Position 11839: 0.00045319296339469783
Position 4641: 0.0004500744154573612
Position 763: 0.00041066673573901655
Position 2385: 0.0003603725066360633
Position 2475: 0.0003330118976085986
Position 436: 0.0003319080073517706
Position 4721: 0.0003316535268232957
Position 4831: 0.00031230621460951775
Position 8424: 0.0003065993508004642
Position 1720: 0.0002869494031384212
Position 211: 0.0001734434951556321
Position 2525: 0.00016687426809127158
Position 2774: 0.000163223035117158
Position 374: 0.00014028232802434167
Position 546: 0.00013578657400601206
Position 5624: 0.00012719779356142166
Position 841: 0.00012339302762759738
Position 5492: 0.00010326709155200369
Position 4614: 9.929995513770909e-05
Position 860: 8.921196022887104e-05
Position 694: 8.511895386671158e-05
Position 2447: 5.126242458861878e-05
Position 5658: 4.820970867993427e-05
Position 5115: 4.492220775630411e-05
Position 555: 4.418513488865728e-05
Position 5876: 3.8015221145141785e-05
Position 4835: 3.364751366668212e-05
Position 707: 2.6925079864332796e-05
Position 198: 2.687193293213188e-05
Position 3008: 2.086380999419659e-05
Position 3328: 1.9851722883741375e-05
Position 4210: 1.764220478330116e-05
Position 4334: 1.5961938135475196e-05
Position 2755: 1.5236449658385563e-05
Position 237: 1.5017030060525795e-05
Position 3350: 1.448310744174927e-05
Position 4892: 1.3007166144747843e-05
Position 3418: 1.0662868159993648e-05
Position 4477: 9.24137333421405e-06
Position 2257: 8.475047925531539e-06
Position 952: 8.149974449972649e-06
Position 3640: 7.762002158358818e-06
Position 1957: 5.396988114725366e-06
Position 2998: 4.801219057228462e-06
Position 1143: 4.7329108390722215e-06
Position 1264: 4.481461224955015e-06
Position 2989: 4.219267061030327e-06
Position 1936: 4.101680709975851e-06
Position 1511: 3.0678061211541026e-06
Position 477: 3.932912741285736e-07
Position 27: 3.74400802725772e-07
Position 525: 2.5009473463118026e-07
Position 1112: 2.417780738036542e-07
Position 564: 1.9172877309946468e-07
Position 501: 1.7622876151048438e-07
Position 2206: 1.6910197260887815e-07
Position 1854: 1.3472495283788038e-07
Position 366: 9.672901155362196e-08
Position 328: 9.636495114500152e-08
Position 785: 8.455223402048276e-08
Position 142: 5.8942324799724016e-08
Position 25: 3.4271635939038576e-08
Position 380: 1.1672566638083745e-09
Position 506: 1.0172800387288043e-09
Position 39: 5.599138775753674e-10
Position 610: 2.830151518964136e-10
Position 1308: 1.7011243716730136e-10
Position 1241: 1.356001631939553e-10
Position 1215: 1.071258785618326e-10
Position 696: 8.658169589414527e-11
Position 73: 7.067232030530939e-11
Position 1655: 6.264381202047397e-11
Position 1330: 5.0828749090867104e-11
Position 1366: 4.601467367853699e-11
Position 1353: 3.2217077700305704e-11
Position 625: 3.0655127777447185e-11
Position 572: 2.8053845241153527e-11
Position 977: 2.1885265985867857e-11
Position 646: 3.6075155224634004e-12
Position 994: 2.784993209348901e-12
Position 900: 2.357507229218986e-12
Position 852: 2.293703839871831e-12
Position 1021: 2.0778159829534646e-12
Position 1003: 1.9174728530199968e-12
Position 599: 5.5628876744238085e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 18946: 0.8197414977883528
Position 26313: 0.4366243385626538
Position 8375: 0.33260110612630517
Position 6846: 0.2970478719319075
Position 6500: 0.23998735696802168
Position 19532: 0.17480858701611626
Position 6765: 0.15451294935857643
Position 14423: 0.12294283534883133
Position 14013: 0.1088229674202694
Position 5216: 0.07785389575412452
Position 10103: 0.07077430222715161
Position 5378: 0.06733353932195399
Position 8755: 0.06721859084398667
Position 4971: 0.06579226320634549
Position 2352: 0.06204387776883411
Position 6230: 0.05638762097750754
Position 5562: 0.05020131792646617
Position 6639: 0.042666815523587066
Position 8351: 0.038784036485915434
Position 8808: 0.0331232498314032
Position 18022: 0.022562348128193653
Position 2302: 0.017955774390545208
Position 13994: 0.013286609544415125
Position 6731: 0.01181891020368878
Position 17556: 0.01118893420019262
Position 435: 0.010497639626040686
Position 2673: 0.008970781153434155
Position 5196: 0.008161755370782616
Position 14702: 0.006917363286765742
Position 4588: 0.006716104152553328
Position 6264: 0.006652558030981271
Position 5584: 0.0055965270244735105
Position 6482: 0.005150543151998486
Position 2875: 0.004832769020659111
Position 4613: 0.004325800661914296
Position 356: 0.0042010499494875946
Position 3117: 0.004131225115904912
Position 8703: 0.0037776270588597044
Position 2826: 0.0034183267901400174
Position 18542: 0.0031219759229969184
Position 3141: 0.00293777150963564
Position 1719: 0.002875558263302606
Position 10663: 0.002713822272495729
Position 17790: 0.002244156907146468
Position 9082: 0.0021255996030833074
Position 8053: 0.0020302873663943168
Position 2652: 0.001703107726165124
Position 2383: 0.0014667536909658046
Position 344: 0.0014332356044896492
Position 5315: 0.0011269386390387053
Position 11680: 0.0010346391555514094
Position 7415: 0.0010134726395207609
Position 4283: 0.0009399487859284032
Position 15891: 0.000885540572878196
Position 8621: 0.0008065448971722751
Position 1176: 0.0007592244633873579
Position 15685: 0.0007093031334408464
Position 3172: 0.0006388834645253578
Position 5490: 0.0006218723554151477
Position 328: 0.0005558486508528185
Position 8549: 0.0005279381714565295
Position 3826: 0.0005260021197575027
Position 402: 0.0005157845289137995
Position 14499: 0.00046670080649140747
Position 10954: 0.00045779205443803573
Position 2521: 0.0004125721716596747
Position 1589: 0.00033367826641351637
Position 2631: 0.0003100698265838734
Position 8638: 0.00027936524681031205
