Gene = HEMK1
index = 646
Annotated 5SS: [  122  2181  2650  3057  8035  8422  8724  9775 10788 11078]
Annotated 3SS: [ 1778  2557  2962  7899  8356  8673  9668 10691 10963 11228]
SMsplice 5SS: [  122   394  8035  8422  9775 10589 10788 11078]
SMsplice 3SS: [  227  7899  8356  9668 10352 10691 10963 11228]
top_k =  1000
Partition function (log Z): -3.9444080233431777

Sorted 5' Splice Sites (High to Low Probability):
Position 12172: 0.9147894750960314
Position 11078: 0.7855507617389405
Position 10788: 0.7071563035976207
Position 2650: 0.6579040765295007
Position 8035: 0.6550465841621068
Position 122: 0.6385337083716295
Position 9775: 0.5795959004321711
Position 3057: 0.5301879403782762
Position 8724: 0.5032721472128853
Position 394: 0.49796490524222653
Position 11677: 0.48147371450123455
Position 8422: 0.47473363161537724
Position 10589: 0.45719198160182517
Position 12567: 0.4281289509264917
Position 1654: 0.42076005160385815
Position 11319: 0.38087953752693005
Position 2143: 0.3314110222985438
Position 17768: 0.2958891319055842
Position 10494: 0.2897404356220084
Position 5767: 0.27778758275008486
Position 3855: 0.2718439012946593
Position 12523: 0.25917427163929424
Position 11344: 0.20480288268582542
Position 423: 0.17935554936431844
Position 1619: 0.1506075091890145
Position 398: 0.14629603641446076
Position 11482: 0.1414262548245893
Position 8569: 0.1413819949695733
Position 9787: 0.1348569457134127
Position 832: 0.13400316338627133
Position 15944: 0.12519636527215844
Position 15184: 0.12195213008030134
Position 11581: 0.11820434429862142
Position 16854: 0.08882819553671953
Position 16139: 0.0872067883960505
Position 10812: 0.08507245092076958
Position 14790: 0.08293355879178381
Position 15329: 0.07937371215746514
Position 1650: 0.07488675378517066
Position 3485: 0.07075620999658552
Position 17281: 0.06775457377810185
Position 5806: 0.057746314664570614
Position 11289: 0.05144291002619784
Position 9581: 0.050591008544437335
Position 8769: 0.040025679066984274
Position 3527: 0.033189050953825995
Position 16204: 0.030501107853365853
Position 4664: 0.029165726165041237
Position 660: 0.026190647521373567
Position 12203: 0.023737422679842857
Position 10869: 0.022417788819550664
Position 2181: 0.02203526215551995
Position 11253: 0.01866383784854065
Position 3460: 0.01766937455815152
Position 12168: 0.017395404384643823
Position 1077: 0.01586170792191261
Position 12187: 0.014284041340896792
Position 487: 0.013947478088392626
Position 3651: 0.013706436275950048
Position 10030: 0.013105196159810003
Position 11501: 0.012164271407923706
Position 11527: 0.011868879369548987
Position 1331: 0.011345904106348425
Position 358: 0.010149172175921073
Position 16096: 0.00933232337834563
Position 561: 0.008775204747090606
Position 3766: 0.007592687382977631
Position 9571: 0.007363704848957773
Position 2085: 0.0070501942668472215
Position 11557: 0.006947432776426565
Position 11465: 0.00675742673193771
Position 11506: 0.006067763078949693
Position 3583: 0.0057958149507827
Position 14414: 0.0052050504249965554
Position 169: 0.004972700649094252
Position 14801: 0.004911148047129464
Position 8858: 0.004146742528442389
Position 15039: 0.0038119778128859697
Position 402: 0.003493281076371771
Position 5857: 0.003481352465022798
Position 8426: 0.003337840122943808
Position 7121: 0.0030374323529093585
Position 138: 0.00288978818633624
Position 8915: 0.0028398603039817955
Position 3061: 0.0019061111585223689
Position 14776: 0.0018872676467802086
Position 436: 0.001716731368404953
Position 9632: 0.0017007313249884101
Position 968: 0.0016339060274800483
Position 11461: 0.0013782565875730488
Position 2119: 0.0012142186411973918
Position 838: 0.001137811233231623
Position 4686: 0.0010406924159150407
Position 12182: 0.0010269120152325343
Position 4441: 0.0009787808720395647
Position 1361: 0.0009405799987403363
Position 1503: 0.0009404763579269599
Position 3282: 0.0009274982282713004
Position 2011: 0.0008842424668518283
Position 8246: 0.0008216287896437976
Position 521: 0.0008110105861987613
Position 15569: 0.0007241575193609048
Position 842: 0.000680290931981983
Position 2616: 0.0006167300814392961
Position 10499: 0.0005342221141781864
Position 371: 0.0005047970831011483
Position 10718: 0.00046719769641935906
Position 10432: 0.00040800358193481185
Position 11055: 0.00029563037672770574
Position 99: 0.0002534952073377725
Position 187: 0.00023774277367502011
Position 2758: 0.00020306666378481898
Position 1322: 0.00010235058246601912
Position 10803: 5.5939883119985296e-05
Position 1421: 3.788563091981646e-05
Position 1279: 3.688577750382516e-05
Position 328: 3.68222918685409e-05
Position 571: 2.866531818677823e-05
Position 1051: 2.725149877987674e-05
Position 816: 1.486007641534238e-05
Position 45: 9.893458237246129e-06
Position 1426: 9.77198856999426e-06
Position 1342: 9.504976983883358e-06
Position 625: 7.009598011705291e-06
Position 230: 3.8979545364435226e-06
Position 366: 1.9708186670547813e-06
Position 784: 1.9468143622756393e-06
Position 546: 1.8619155996340872e-06
Position 1859: 1.2978399411696048e-06
Position 502: 1.2211785111315446e-06
Position 453: 1.0392553177686152e-06
Position 650: 9.536538055505541e-07
Position 455: 6.957921610214347e-07
Position 282: 3.0081785780047776e-07
Position 1144: 1.6753970273276593e-07
Position 645: 6.017349566640495e-08
Position 579: 5.7382421075201004e-08
