Gene = S100A8
index = 1221
Annotated 5SS: [120 582]
Annotated 3SS: [418 732]
SMsplice 5SS: [120 582]
SMsplice 3SS: [418 667]
top_k =  1000
Partition function (log Z): -6.320538526940869

Sorted 5' Splice Sites (High to Low Probability):
Position 120: 0.8342493906023397
Position 582: 0.823753697556013
Position 173: 0.0953282259970387
Position 246: 0.014370583136388731
Position 65: 0.013407912442074833
Position 116: 0.006224429080290385
Position 40: 0.005443220189741894
Position 494: 0.005246483818638453
Position 572: 0.005039716840434381
Position 419: 0.004469573050153087
Position 96: 0.002458890035151872
Position 72: 0.001984478794645884
Position 597: 0.0018546634871283566
Position 165: 0.001521890352726323
Position 563: 0.0012274321410119908
Position 405: 0.0008155649329986811
Position 814: 0.0007293949331565207
Position 294: 0.0005905587658264178
Position 197: 0.0004954135167912645
Position 195: 0.00045369114961022
Position 428: 0.0003699914029172882
Position 299: 0.00012888355122152266
Position 133: 7.22482910789134e-05
Position 782: 6.894690340799651e-05
Position 356: 6.220967951599045e-05
Position 217: 4.064606177792372e-05
Position 170: 2.2144777421861123e-05
Position 199: 2.1035872727584744e-05
Position 740: 1.7346808109479398e-05
Position 565: 1.4931104590671144e-05
Position 244: 1.4594488261027317e-05
Position 182: 1.0250740892732505e-05
Position 432: 6.311341334305635e-06
Position 787: 6.294702174937011e-06
Position 620: 6.00736364825249e-06
Position 753: 5.823289679360749e-06
Position 311: 5.612588383485142e-06
Position 215: 5.104926849950036e-06
Position 201: 2.1516285548027275e-06
Position 599: 1.0143891998561535e-06
Position 645: 8.400469898899021e-07
Position 762: 5.632221293514078e-07
Position 483: 5.501817681275465e-07
Position 209: 4.564480700732236e-07
Position 748: 1.9514389831377813e-07
Position 525: 1.113126662691675e-07
Position 443: 9.496282161149911e-09
Position 410: 3.6726424275300994e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 418: 0.8884962092532822
Position 667: 0.7450767584343737
Position 732: 0.11874486365759455
Position 275: 0.02530326483233072
Position 693: 0.008656195650292964
Position 401: 0.007634218230386701
Position 494: 0.005786619200736535
Position 787: 0.004037487379986288
Position 920: 0.003397868827855851
Position 532: 0.002164436742482151
Position 404: 0.0018529585546808475
Position 822: 0.0014148182632491464
Position 738: 0.001369125513064342
Position 371: 0.0009620924985904373
Position 277: 0.0009226757400048396
Position 462: 0.0009022011594395972
Position 458: 0.0008067657849217842
Position 509: 0.000681032411435094
Position 316: 0.0003788422312488806
Position 760: 0.00036787594709555073
Position 642: 0.00022658420818607084
Position 428: 0.0002236851239843651
Position 452: 0.00021850466026841168
Position 798: 0.00019703657574123988
Position 141: 0.00016609791734301175
Position 311: 0.0001365824920925133
Position 309: 0.00013540010133112468
Position 283: 9.178165135171606e-05
Position 161: 6.714615948829811e-05
Position 745: 4.5214600260966256e-05
Position 891: 1.895225892497153e-05
Position 835: 1.3625258423128492e-05
Position 580: 1.1097310615541425e-05
Position 116: 9.572145456833914e-06
Position 893: 8.34117963699704e-06
Position 801: 5.81059012051858e-06
Position 163: 3.75759699653861e-06
Position 848: 2.935743252796066e-06
Position 321: 2.1890404246126918e-06
Position 873: 1.8277750466631633e-06
Position 762: 1.5339965183696038e-06
Position 555: 1.4641168259409581e-06
Position 856: 1.0265726433840462e-06
Position 572: 9.547402682144305e-07
Position 158: 8.081292833300198e-07
Position 327: 5.992095399301231e-07
Position 930: 1.7370857531801588e-07
Position 545: 1.2655886629262763e-07
Position 868: 1.0691186462227758e-07
Position 860: 8.037258865482302e-08
Position 182: 6.665586240443085e-08
Position 177: 4.529990677812698e-08
Position 106: 2.435867208711723e-08
Position 557: 1.5621930024952843e-08
Position 124: 7.630735140477665e-09
