Gene = BTBD8
index = 147
Annotated 5SS: [  385  8560 22334 27666 49441 59095 60876 66933]
Annotated 3SS: [ 8361 22136 27547 49350 59013 60778 66843 67347]
SMsplice 5SS: [  385  8560  9079 22334 27666 38703 49441 59095 66933]
SMsplice 3SS: [ 8361  8954 22136 27547 38554 49350 59013 66843 67347]
top_k =  1000
Partition function (log Z): -18.879360718761372

Sorted 5' Splice Sites (High to Low Probability):
Position 27666: 0.9995761598419515
Position 49441: 0.9549354605699936
Position 385: 0.8416919730565217
Position 8560: 0.774289128499965
Position 9079: 0.7254498591363713
Position 22334: 0.5571412918459673
Position 22339: 0.4428473353026379
Position 7335: 0.4392104422833064
Position 9264: 0.25053876073673437
Position 8581: 0.2126169117873377
Position 25466: 0.18998711730027443
Position 27354: 0.18847300034524947
Position 14143: 0.18729975260192402
Position 11348: 0.13801996083002893
Position 12283: 0.13330194180738758
Position 21504: 0.1028312933059695
Position 9270: 0.09845323955309383
Position 135: 0.09217590140645432
Position 11691: 0.0789728985605136
Position 11075: 0.07440980773752395
Position 6904: 0.06418659290909837
Position 4292: 0.0634329943673964
Position 14531: 0.059173287011778035
Position 698: 0.056887347776204474
Position 27273: 0.04980622959940878
Position 49814: 0.04543121725481377
Position 4091: 0.04360886611845512
Position 22829: 0.040505595586155504
Position 4596: 0.036705954708749274
Position 3248: 0.03202416138164448
Position 190: 0.0306701711691774
Position 14452: 0.0303266602405268
Position 5043: 0.030123546237906588
Position 2608: 0.028880869954394518
Position 1200: 0.02754533610708
Position 713: 0.017032389466175964
Position 18739: 0.016902890961826757
Position 25470: 0.016171890524304466
Position 18642: 0.015505882957754829
Position 22773: 0.015483871714522918
Position 229: 0.014481783468765054
Position 23355: 0.01384728064338155
Position 25871: 0.0132467421657058
Position 13865: 0.012614132184496628
Position 12401: 0.012006290487682036
Position 7955: 0.011811764555009659
Position 6966: 0.009260131500981475
Position 7189: 0.008194126539590143
Position 272: 0.00750048977205473
Position 300: 0.007440951487860533
