Gene = PAEP
index = 995
Annotated 5SS: [ 140  676 1136 2597 3757 4044]
Annotated 3SS: [ 535 1061 2485 3651 4026 4794]
SMsplice 5SS: [ 140 1136 1456]
SMsplice 3SS: [1061 1258 2485]
top_k =  1000
Partition function (log Z): -0.6763503363999845

Sorted 5' Splice Sites (High to Low Probability):
Position 1136: 0.9387879311606159
Position 140: 0.868160212893349
Position 2191: 0.47992716264111357
Position 2597: 0.3945337056434621
Position 2628: 0.3715894929729034
Position 3757: 0.3544472581399428
Position 1456: 0.22040903132050774
Position 1464: 0.20377143328756683
Position 676: 0.18252106658713665
Position 4044: 0.18056995529305678
Position 1472: 0.16867497450136923
Position 916: 0.11567288148640865
Position 2624: 0.08697451572977044
Position 1476: 0.06239554859654686
Position 1395: 0.0578904887475652
Position 1484: 0.03103734470810208
Position 3728: 0.02842817536877495
Position 1361: 0.028334048169517425
Position 933: 0.02652830616930335
Position 4073: 0.02517746624127525
Position 1480: 0.019840040068210243
Position 2222: 0.01678654413923518
Position 2698: 0.016341032045396317
Position 3848: 0.015230649021210317
Position 325: 0.010297360950096604
Position 1504: 0.008810011454234956
Position 2646: 0.007649751201657018
Position 80: 0.004947513667395439
Position 3476: 0.004626769147016665
Position 1516: 0.004028651091222192
Position 985: 0.003542807449103418
Position 744: 0.0032904096778676264
Position 498: 0.0028326341011433807
Position 1528: 0.0022486106452740203
Position 1365: 0.002132205114364576
Position 1584: 0.0019748854153516294
Position 3912: 0.0017991529936985697
Position 188: 0.001621349832450849
Position 4994: 0.001598298840275449
Position 2405: 0.0012975502527448968
Position 1552: 0.0012296575725276218
Position 955: 0.0011038650309929568
Position 1736: 0.0010920688504251032
Position 1090: 0.001072947579155221
Position 2589: 0.0010035391774573291
Position 1672: 0.0009102474064312749
Position 1532: 0.0008892164585062184
Position 1556: 0.0007926905320870605
Position 1616: 0.0006919992743853092
Position 2376: 0.0006693072519453157
Position 412: 0.0005448007695041444
Position 2601: 0.0005365703369669097
Position 3460: 0.0005000264032416612
Position 503: 0.0004977129258094048
Position 1740: 0.0004299270945904513
Position 2704: 0.0004253025480718173
Position 1724: 0.0003783086056588347
Position 1576: 0.00037037021454476733
Position 481: 0.00036321577306773603
Position 1648: 0.0003359910232400431
Position 3328: 0.0003126467375061265
Position 2124: 0.0003029346696003542
Position 1760: 0.0002877293542707684
Position 170: 0.0002566956031459231
Position 260: 0.00025424954612583765
Position 443: 0.00024842929843887614
Position 1620: 0.0002475365567090899
Position 1608: 0.00023341444489163377
Position 296: 0.00021043261740010224
Position 1752: 0.00019425516310267113
Position 1652: 0.0001929484569698164
Position 1688: 0.00019014404111886797
Position 4394: 0.00018902551410419932
Position 614: 0.0001762023006585082
Position 1712: 0.0001756658080022471
Position 1168: 0.00016545534921754714
Position 1776: 0.00013865058358486564
Position 1628: 0.00013308159457187693
Position 383: 0.00013206367026713148
Position 1768: 0.00013030196191444275
Position 1664: 0.0001220195177951867
Position 1520: 0.00011906335239854335
Position 1488: 0.00011623568693001848
Position 2195: 0.00010626388466947289
Position 2212: 0.0001049172269437123
Position 1140: 0.00010035623071863837
Position 1988: 9.893287843429975e-05
Position 3026: 9.317186580257923e-05
Position 1536: 9.01728643846875e-05
Position 1624: 8.785824424936643e-05
Position 1728: 7.987055566006578e-05
Position 2583: 7.39667254423346e-05
Position 373: 7.123901990558947e-05
Position 820: 6.092680863067567e-05
Position 1784: 5.79360448977675e-05
Position 455: 5.55885174776796e-05
Position 2245: 4.5661338691343474e-05
Position 680: 4.3473046482694486e-05
Position 716: 4.202877738668067e-05
Position 1374: 3.9712384394684975e-05
Position 2348: 3.743742255884632e-05
Position 87: 3.641044672880555e-05
Position 1122: 3.581851256756085e-05
Position 732: 3.414808333077009e-05
Position 976: 3.12546508952879e-05
Position 748: 3.105783157085375e-05
Position 2491: 3.0136045815530454e-05
Position 1568: 2.7169925300389695e-05
Position 359: 2.609552264731616e-05
Position 308: 2.5002418984996304e-05
Position 1544: 2.2503364985284496e-05
Position 1692: 1.992951669958047e-05
Position 1410: 1.8529852063912416e-05
Position 2206: 1.4421039427835491e-05
Position 982: 1.4388569746275452e-05
Position 1029: 1.2204595414879548e-05
Position 1008: 1.0936605937096541e-05
Position 1997: 1.0471172729933625e-05
Position 1142: 8.972252071404885e-06
Position 1600: 7.693767359898235e-06
Position 631: 5.077695892700134e-06
Position 904: 3.116407229591652e-06
Position 89: 2.245098580470144e-06
Position 1078: 2.2374009205249816e-06
Position 84: 1.736266678350859e-06
Position 1280: 1.6531029597220701e-06
Position 49: 1.6160066038920498e-06
Position 535: 1.357265432740355e-06
Position 1002: 2.9025408334201076e-07
Position 470: 8.573786282439006e-08
Position 71: 4.4696654024719977e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 2485: 0.9748942098101007
Position 1061: 0.8319315691623959
Position 1258: 0.8020101777920974
Position 2104: 0.4850683110126694
Position 3579: 0.3507639092937935
Position 3955: 0.20757117426756136
Position 4875: 0.20304501397633498
Position 4844: 0.17164269258957712
Position 877: 0.11014108675522837
Position 3651: 0.09176782460694341
Position 4026: 0.08288434516576168
Position 4734: 0.08027873883332834
Position 3978: 0.05809959592881121
Position 999: 0.05647180927328415
Position 4195: 0.04439645019214453
Position 788: 0.037439327017091587
Position 455: 0.031360158647095515
Position 4043: 0.02551689439806638
Position 4775: 0.020621755110093395
Position 294: 0.016637678992110088
Position 3840: 0.016522152615090928
Position 3655: 0.01424482063522589
Position 4433: 0.012718504519969248
Position 1381: 0.010946663855109739
Position 818: 0.010783630622670709
Position 2553: 0.010609158671120012
Position 459: 0.010331343194487454
Position 4144: 0.00969853932545414
Position 3381: 0.009205294815512851
Position 4811: 0.009090948254326665
Position 892: 0.009049374210689775
Position 535: 0.008718910118471241
Position 519: 0.008292528647570352
Position 2770: 0.007560719064914054
Position 542: 0.007423115014637588
Position 3899: 0.007253742455721185
Position 4128: 0.0068888624862865925
Position 2790: 0.0059146755788953434
Position 4596: 0.0057760304697080135
Position 3296: 0.0054269919685432915
Position 3749: 0.004601139028905799
Position 4794: 0.0044505330188970285
Position 1301: 0.004279409544499668
Position 2036: 0.004236843942034386
Position 2075: 0.004010848473093146
Position 4163: 0.003921447214978897
Position 1029: 0.003795474467975677
Position 792: 0.003704615441182798
Position 4849: 0.0035835556341784966
Position 388: 0.0035190792221943957
Position 4456: 0.0033574046686465284
Position 2840: 0.003293838526610485
Position 5059: 0.0031670596249856763
Position 4246: 0.003150726575519262
Position 601: 0.0029816282059320093
Position 5105: 0.0028944600713901106
Position 5084: 0.00276817795493177
Position 2123: 0.002574638967769441
Position 3620: 0.0025061665996956466
Position 4663: 0.002487998039060973
Position 5036: 0.0024596325825659527
Position 4308: 0.0021145382832222556
Position 4886: 0.0017880961323159057
Position 3009: 0.0017283808160945928
Position 4149: 0.0015546378782562277
Position 1981: 0.001470515453209047
Position 3602: 0.0014248319285920267
Position 1325: 0.001356106735528203
Position 2429: 0.0013513853463539146
Position 316: 0.0011974763544334154
Position 2766: 0.001163076069880385
Position 3614: 0.00114795161895097
Position 729: 0.0010892471364523108
Position 2283: 0.0010268539667300746
Position 3718: 0.0010256504988855944
Position 1985: 0.0009793863640364874
Position 525: 0.0009587050119291951
Position 1387: 0.0008695471825815269
Position 836: 0.0008173994186601046
Position 904: 0.0007948991453789034
Position 646: 0.0007005920381073532
Position 383: 0.0006846786410358321
Position 235: 0.0006806084900229423
Position 3151: 0.0006028417504879084
Position 737: 0.0005387249342387299
Position 2045: 0.0004848036085492121
Position 909: 0.0004527601650315224
Position 2931: 0.0004508676760519619
Position 774: 0.00044889062128803276
Position 915: 0.00044403950539043504
Position 3628: 0.00043348285525907386
Position 1266: 0.00040878752991833504
Position 415: 0.0003959004389327683
Position 1844: 0.0003577752927733157
Position 1303: 0.0003552829515313436
Position 612: 0.00033031542351730757
Position 492: 0.00029075158985599706
Position 1089: 0.0002602285359179154
Position 1002: 0.0002589577086817781
Position 3312: 0.00025625643670882715
Position 844: 0.00025547032120609166
Position 1086: 0.0002458326281686266
Position 1008: 0.00023282919787080724
Position 204: 0.000232218091521446
Position 400: 0.00022004169759144295
Position 4687: 0.0001895330746136525
Position 976: 0.00016995817910129638
Position 324: 0.0001534587266933107
Position 1073: 0.00013906594110970545
Position 4279: 0.0001289135936071834
Position 1320: 0.00012235485268614739
Position 672: 0.00010172723884685002
Position 768: 9.670652732628903e-05
Position 1262: 9.37538582345549e-05
Position 363: 7.310998535543773e-05
Position 405: 7.202916053446795e-05
Position 264: 6.984349396895487e-05
Position 1104: 6.749121706045078e-05
Position 3815: 6.686375548802984e-05
Position 1856: 6.439127390515058e-05
Position 2355: 4.724473749560974e-05
Position 490: 4.7031933286893207e-05
Position 3706: 4.579374865197807e-05
Position 2574: 4.352502484904266e-05
Position 208: 3.9710430071122254e-05
Position 3174: 3.86424432027043e-05
Position 422: 3.687401053249404e-05
Position 465: 3.551150961463875e-05
Position 2111: 3.505402731587045e-05
Position 1065: 2.6874866264678497e-05
