Gene = CTH
index = 419
Annotated 5SS: [  312  4766  6761 10404 13145 18580 19123 20964 22678 23906 27555]
Annotated 3SS: [ 4683  6664 10293 13012 18521 19044 20810 22555 23852 27415 27828]
SMsplice 5SS: [  312  6583  6761 10404 13145 18580 19123 20964 23906 27555]
SMsplice 3SS: [ 6487  6664 10293 13012 18521 19044 20810 23852 27415 27828]
top_k =  1000
Partition function (log Z): 3.0653682209526867

Sorted 5' Splice Sites (High to Low Probability):
Position 27555: 0.9743839621920192
Position 10404: 0.9395146291686377
Position 6761: 0.8949840285474749
Position 19123: 0.8548972418498133
Position 312: 0.811787602875982
Position 23906: 0.7971689470015094
Position 13145: 0.7254968179665531
Position 20964: 0.6470899646088002
Position 6583: 0.6433762978331138
Position 18580: 0.6204534108334027
Position 15411: 0.5678157533633456
Position 12863: 0.5159718448212703
Position 14130: 0.4705650617930227
Position 562: 0.44516815192615394
Position 4766: 0.38632691378051565
Position 22712: 0.3723754904271386
Position 24655: 0.36032941491476944
Position 22678: 0.35378730096406436
Position 2897: 0.24601235799081464
Position 6592: 0.21131057059197794
Position 13983: 0.20066215098417245
Position 10930: 0.1915338539086684
Position 23624: 0.16031163207272084
Position 25484: 0.1451896364130015
Position 385: 0.13150864487321337
Position 20951: 0.1188532481322944
Position 4599: 0.10868953438646878
Position 11682: 0.095217649193158
Position 16098: 0.0788638185173116
Position 4948: 0.07533364880797885
Position 5264: 0.07004016649270042
Position 15928: 0.049510258200285734
Position 12001: 0.04843759225916103
Position 12752: 0.046284302307084996
Position 16006: 0.04159118761081142
Position 23608: 0.04144790750983588
Position 27097: 0.036339807414678904
Position 15156: 0.03418674884751251
Position 24662: 0.030402774224891675
Position 350: 0.030374315384587975
Position 2921: 0.030082316815327484
Position 23071: 0.029967391428644786
Position 22961: 0.02988547107868198
Position 22000: 0.02640180624758829
Position 13642: 0.02617381746981561
Position 4258: 0.023727476056498588
Position 10214: 0.02122318043671246
Position 23398: 0.02100977352296248
Position 2821: 0.018035002772499673
Position 12958: 0.01788063400090252
Position 24645: 0.016944786177596698
Position 25528: 0.016370532702458123
Position 11156: 0.01598417313262738
Position 20942: 0.013119358586781066
Position 6815: 0.012463663387413016
