Gene = DNALI1
index = 458
Annotated 5SS: [ 157  830 2578 4817 5327]
Annotated 3SS: [ 683 2407 4637 5161 8106]
SMsplice 5SS: [ 157  830 2578 5327 8912]
SMsplice 3SS: [ 683 2407 5161 8852 9660]
top_k =  1000
Partition function (log Z): 2.8239246201812596

Sorted 5' Splice Sites (High to Low Probability):
Position 5327: 0.976804496352839
Position 157: 0.9394925619187812
Position 830: 0.9198460491051946
Position 8912: 0.6256399165606105
Position 2064: 0.5225216850338228
Position 2578: 0.4986027048030316
Position 4817: 0.4062363757554616
Position 2591: 0.386083028553181
Position 5637: 0.32400263742724444
Position 2857: 0.27986972649818004
Position 5980: 0.19197151897771897
Position 4741: 0.11778513945506994
Position 8752: 0.10413743861449956
Position 4170: 0.0851442351990685
Position 9452: 0.0850377638380534
Position 3057: 0.08460766738603136
Position 1610: 0.06572065320998345
Position 9076: 0.06529790148088395
Position 1933: 0.0627801581959015
Position 5885: 0.04717456674376698
Position 2136: 0.03797135882967672
Position 6104: 0.036477209941657054
Position 4955: 0.0313744182690152
Position 4974: 0.030685210284114188
Position 3016: 0.029028024289592242
Position 569: 0.026509579707829557
Position 5835: 0.022213003089380363
Position 124: 0.021185506314177215
Position 9165: 0.019127240280304502
Position 299: 0.017851902109583703
Position 2285: 0.01630980833061262
Position 8794: 0.013112612498392762
Position 5354: 0.0102952624422165
Position 3078: 0.00994264239717025
Position 8340: 0.007998783783070949
Position 3610: 0.007867926393470328
Position 5343: 0.00685158726185576
Position 6866: 0.006734545309555591
Position 3350: 0.006718536878206531
Position 2582: 0.006554914178242237
Position 4912: 0.006276791913270288
Position 2786: 0.005768878461329453
Position 2072: 0.0057081199603904184
Position 2036: 0.004435356084415872
Position 105: 0.004160684030473573
Position 4303: 0.004128237213474731
Position 6097: 0.004046541203265771
Position 620: 0.003819203301182625
Position 13: 0.003036420904307712
Position 3214: 0.0030206866890735836
Position 3834: 0.0027061418584362765
Position 838: 0.0026877938240613686
Position 5264: 0.0025410073580943112
Position 2908: 0.0023992061778923975
Position 2289: 0.002363380518931785
Position 9340: 0.002192547179951678
Position 2782: 0.0019749675039660818
Position 9063: 0.0017154284226403927
Position 3521: 0.001680193029254722
Position 4144: 0.0013890244834449236
Position 4991: 0.001355562341288669
Position 4157: 0.001333336248746296
Position 3599: 0.0011728560299412282
Position 407: 0.001113219938288931
Position 229: 0.001061321371055133
Position 2238: 0.0007512479175550684
Position 9219: 0.0007482334361044011
Position 2445: 0.0007329107949673644
Position 5674: 0.0006820262205409577
Position 9465: 0.0006548193714791782
Position 459: 0.0006495837908046237
Position 4969: 0.00044606373010639127
Position 2242: 0.00043133209076599675
Position 3827: 0.0004019177271528587
Position 2185: 0.0003482340473929834
Position 2495: 0.00034630795311181545
