Gene = CPT2
index = 405
Annotated 5SS: [  667  4371  6001 14891]
Annotated 3SS: [ 4289  5893 13585 16834]
SMsplice 5SS: [ 667 4371 6001 7645 8167]
SMsplice 3SS: [ 4289  5893  7520  8093 13585]
top_k =  1000
Partition function (log Z): 1.1209704325118222

Sorted 5' Splice Sites (High to Low Probability):
Position 667: 0.9417084499623423
Position 6001: 0.878683402617035
Position 4371: 0.7684628814964224
Position 8167: 0.7662553649682186
Position 7645: 0.6299309601616936
Position 13848: 0.3820314054707331
Position 1723: 0.29264490948195443
Position 1079: 0.2620807928608235
Position 57: 0.2465163072524482
Position 4391: 0.20582034083703157
Position 22: 0.2010193145932939
Position 1385: 0.1804585126329999
Position 6142: 0.16665426743006959
Position 5414: 0.14775272799413824
Position 2139: 0.1345406149447274
Position 14891: 0.1326430418482274
Position 6005: 0.1025500120187046
Position 5283: 0.09404676870118099
Position 4731: 0.09400384464507457
Position 13872: 0.08801001214960269
Position 8456: 0.07923564697473431
Position 12056: 0.0618043918364143
Position 7677: 0.053807602967999996
Position 16388: 0.05265512477881231
Position 7539: 0.04601923087222373
Position 16395: 0.04168418008564997
Position 7711: 0.03688687868483262
Position 14822: 0.03258516669055968
Position 8288: 0.030180447966288514
Position 16765: 0.027124193556808007
Position 10742: 0.01970156791253023
Position 1039: 0.014963942593501435
Position 3039: 0.014429997123342132
Position 8176: 0.013209755918166014
Position 9432: 0.011758006749284709
Position 14035: 0.010835385151701632
Position 12554: 0.010684018970977741
Position 14679: 0.01010104795180484
Position 5711: 0.009949272496822313
Position 12213: 0.009293948799533958
Position 317: 0.008957765490386528
Position 9539: 0.008872590144785674
Position 6021: 0.008032463124048294
Position 13373: 0.007707542072298408
Position 3144: 0.007072386230984911
Position 2482: 0.006336337364258914
Position 7803: 0.005826844510681053
Position 16685: 0.005563694372905488
Position 7658: 0.005397328685209138
Position 6915: 0.005392511442169899
Position 8828: 0.00511252859860389
Position 14778: 0.004481849505621488
Position 6098: 0.004413937915589649
Position 3247: 0.0037662529199362295
Position 2332: 0.0035879786274473596
Position 8127: 0.0035128198946838382
Position 13728: 0.003340242370472467
Position 2080: 0.0031484013666858044
Position 560: 0.003145327726858081
Position 10578: 0.0030112388330142633
Position 6116: 0.002887528981881153
Position 6055: 0.002715218416682056
Position 13134: 0.0021767258309613423
Position 5098: 0.002015446509924055
Position 1027: 0.001984576789084724
Position 14941: 0.001865775937998324
Position 71: 0.0018030389359972076
Position 1342: 0.0017043547284707966
Position 3216: 0.0017015863879789634
Position 5757: 0.0016751922088736062
Position 9901: 0.0016537135758957224
Position 9478: 0.0016451278799103455
Position 5669: 0.001515312747277138
Position 5543: 0.0013929793327953893
Position 8200: 0.0013920524171502817
Position 6178: 0.0013074912671870395
Position 14479: 0.0012786035299532038
Position 3080: 0.0012583387005012398
Position 313: 0.0011722131584014184
Position 3683: 0.0011415322450022856
Position 401: 0.0011158148183873391
Position 1558: 0.0010949604600523613
