Gene = AP5Z1
index = 88
Annotated 5SS: [  135  5691  6133  7839  8177  8750  9427  9831 10063 10807 12155 12673
 13330 14308 14970 15266]
Annotated 3SS: [ 5552  5945  7693  8066  8580  9285  9792  9899 10627 12011 12531 13217
 14209 14836 15050 15492]
SMsplice 5SS: [  135  5691  7839  8177  8750  9427  9831 10063 10807 11051 12155 12673
 13330 14308 14970 15266]
SMsplice 3SS: [ 5552  7693  8066  8580  9285  9792  9899 10627 10877 11973 12531 13217
 14209 14836 15050 15492]
top_k =  1000
Partition function (log Z): 31.359289061142785

Sorted 5' Splice Sites (High to Low Probability):
Position 12673: 0.9867406159168641
Position 12155: 0.9859659364813976
Position 5691: 0.964330160426076
Position 135: 0.9520591807434744
Position 13330: 0.9443828575965458
Position 11051: 0.9375002213405413
Position 8177: 0.9339279291807817
Position 8750: 0.9258874143786285
Position 14308: 0.9099594485313274
Position 14970: 0.7609743901808478
Position 10807: 0.7028563866162026
Position 10063: 0.6889583566533248
Position 13695: 0.676040960154455
Position 9427: 0.648048522576845
Position 9831: 0.6093217635092882
Position 7839: 0.5560232348236162
Position 15266: 0.5276641331455534
Position 6133: 0.31653297989986295
Position 9999: 0.2918178432155904
Position 7076: 0.21304184537843682
Position 7344: 0.19554622851706552
Position 13044: 0.13392077427402121
Position 15188: 0.10959991318457744
Position 10322: 0.10771633373386898
Position 274: 0.10398848081037484
Position 10503: 0.09113121309735109
Position 14287: 0.08577381937489649
Position 302: 0.07430595607611518
Position 365: 0.05836057256085278
Position 10846: 0.05330061634687759
Position 14538: 0.050167507261957026
Position 14670: 0.049496561721829244
Position 15153: 0.04664153263427997
Position 6016: 0.04100229183744432
Position 15201: 0.040439257138742135
Position 13881: 0.032390622286913404
Position 7805: 0.03167083455491915
Position 8427: 0.030012213562231604
Position 15719: 0.029766954216950414
Position 15273: 0.02681290242877007
Position 12430: 0.026173773092082044
Position 8790: 0.025553923413453482
Position 15369: 0.02314447986642108
Position 326: 0.02027176046610536
Position 2045: 0.01936471879107647
Position 14548: 0.016988685982370647
Position 15376: 0.016523558928672986
Position 15659: 0.016386949695057756
