Gene = MXRA8
index = 901
Annotated 5SS: [  80 1855 3086 3292 3854 4182 4343 4506 4688]
Annotated 3SS: [1830 2782 3189 3382 4025 4302 4428 4606 4905]
SMsplice 5SS: [  80 3086 3292 4182 4343 4506 4688]
SMsplice 3SS: [2782 3189 4025 4302 4428 4606 4905]
top_k =  1000
Partition function (log Z): 2.4527927590658942

Sorted 5' Splice Sites (High to Low Probability):
Position 80: 0.953944685070533
Position 4688: 0.9376979863192378
Position 3292: 0.9266450513121053
Position 4182: 0.8943088484349592
Position 3086: 0.7783002072334263
Position 4506: 0.7517667490828002
Position 4343: 0.5282410150151069
Position 2833: 0.16080755571559022
Position 3854: 0.1450459694218435
Position 1855: 0.08373949762870339
Position 3514: 0.07566840836897425
Position 4224: 0.0455578663929464
Position 1640: 0.03734776159920722
Position 3421: 0.027645964382215216
Position 1411: 0.015072417298173345
Position 105: 0.014145243071755995
Position 394: 0.01231803248450063
Position 5064: 0.011370230375393406
Position 186: 0.008548938188198003
Position 4286: 0.007761893126080119
Position 5286: 0.005569830109321062
Position 3662: 0.00506573910459101
Position 2164: 0.004686540935047427
Position 2566: 0.004273068412959043
Position 208: 0.004115550319919882
Position 4488: 0.004089187556728442
Position 2887: 0.003019050919638965
Position 1119: 0.002956191509053873
Position 3115: 0.0025271651100057164
Position 1026: 0.001963867507432424
Position 1683: 0.0018736696994922513
Position 3463: 0.001842593373001187
Position 541: 0.0018355399546437395
Position 1679: 0.0017846424217891053
Position 427: 0.0014755975234066684
Position 3006: 0.0013293960232064258
Position 133: 0.0012936230310077684
Position 5396: 0.001256842401448935
Position 1155: 0.001139977497138696
Position 1715: 0.001038452717023369
Position 3677: 0.0010125192662075303
Position 3478: 0.0010052806940974662
Position 3279: 0.0009601656215910727
Position 4145: 0.0007503944755034483
Position 3496: 0.0007257930419407702
Position 390: 0.0006605864806810595
Position 2250: 0.0005862293829525485
Position 2661: 0.0005667640088458954
Position 3694: 0.0005632917722873139
Position 3585: 0.00047714844881894565
Position 2860: 0.0004521680746135205
Position 2615: 0.0004504202784399152
Position 1008: 0.0004335060203371366
Position 1932: 0.00042464247502754766
Position 4668: 0.0004237921522233714
Position 1240: 0.00040072756232010733
Position 3127: 0.0003940596854746266
Position 991: 0.00037403934941676164
Position 5035: 0.00036826151024384527
Position 1416: 0.00034408435029547295
Position 4401: 0.0003344725062677384
Position 2791: 0.00032218280432684413
Position 86: 0.00030791146356921536
Position 119: 0.0003013275619223295
Position 3517: 0.00029299664147308863
Position 1767: 0.00027767356533452375
Position 1541: 0.0002714629234621497
Position 3544: 0.0002461167746499761
Position 947: 0.00021902415891808004
Position 3296: 0.00021779186291554027
Position 257: 0.00021390120738177482
Position 3637: 0.00020475009743847782
Position 704: 0.00020464780766511683
Position 127: 0.0001472032921515419
Position 1689: 0.00011224612090863821
Position 1555: 0.00010978224020998024
Position 3430: 0.00010341190509338546
Position 3775: 0.00010209645317975721
Position 84: 9.797023185523838e-05
Position 4834: 7.270872948788203e-05
Position 3990: 5.203767476312425e-05
Position 1787: 5.133364228044733e-05
Position 4325: 4.985613838635397e-05
Position 5145: 2.3463322098213148e-05
Position 5470: 2.2959552985990225e-05
Position 3267: 1.9395593740727404e-05
Position 4334: 1.7088169222688237e-05
Position 4976: 1.6318943687224828e-05
Position 1324: 1.5610656002317064e-05
Position 1107: 1.5049256259341534e-05
Position 5390: 1.4397404976952175e-05
Position 4514: 1.2098007602027296e-05
Position 5105: 1.1450705998634464e-05
Position 1440: 1.1296863363133317e-05
Position 3480: 1.0832182840646507e-05
Position 803: 1.05723504110744e-05
Position 5716: 9.457900834712885e-06
Position 1522: 8.385550161245667e-06
Position 613: 7.360854042909062e-06
Position 1159: 6.17815474591545e-06
Position 4450: 6.084515923149159e-06
Position 1341: 5.446732883442567e-06
Position 67: 4.998585493345545e-06
Position 1662: 4.330992241771396e-06
Position 398: 3.9917724815351445e-06
Position 245: 3.5007939256368823e-06
Position 337: 2.9140994309057874e-06
Position 642: 2.7889869415878657e-06
Position 4347: 2.3130687677529194e-06
Position 1201: 1.8652931201200445e-06
Position 1513: 1.6468871531424383e-06
Position 112: 1.5576635110316934e-06
Position 422: 1.2363309640665086e-06
Position 1719: 1.1787134381155375e-06
Position 3182: 1.0728209195052472e-06
Position 1123: 1.0108079283149172e-06
Position 178: 7.82374646066089e-07
Position 1531: 6.722542268764292e-07
Position 1423: 6.323191933795383e-07
Position 4821: 1.607313799574826e-07
Position 4907: 1.2594245825984096e-07
Position 289: 2.9232676819046635e-08
Position 4980: 2.8910250981342408e-08
Position 835: 6.764720517107127e-09
Position 381: 2.599149073081516e-09
Position 809: 1.4489852983873456e-09
Position 137: 6.558233131224324e-10
Position 4236: 4.319639593252241e-10
Position 5429: 2.965700196153827e-10
Position 250: 1.4598696962213565e-10
Position 561: 1.1377533762782942e-10
Position 1774: 3.736693429777235e-11
Position 431: 1.6617596078667046e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 4606: 0.9705125435692848
Position 4025: 0.9423988619905294
Position 3189: 0.9241514288261766
Position 2782: 0.7431073134481524
Position 4428: 0.5583937337084421
