Gene = EQTN
index = 503
Annotated 5SS: [  160   527  2824  4739  6121  7468 10931]
Annotated 3SS: [  400  2736  4651  6075  7407 10776 12166]
SMsplice 5SS: [  280   527  2824  4917  6121  7468 10931]
SMsplice 3SS: [  400  2736  4651  6075  7407 10776 12166]
top_k =  1000
Partition function (log Z): -0.453833368914081

Sorted 5' Splice Sites (High to Low Probability):
Position 10931: 0.93274365053449
Position 7468: 0.8782155511991653
Position 2824: 0.7440138794241392
Position 6121: 0.7135767075035392
Position 527: 0.7112845759086225
Position 4917: 0.4715765758888378
Position 280: 0.44796955830684676
Position 5360: 0.35725837656752796
Position 4739: 0.2783847990729822
Position 160: 0.18949669661139978
Position 5884: 0.18291019350962784
Position 196: 0.10243048015351765
Position 229: 0.08451019151174878
Position 6274: 0.07921855853741519
Position 7932: 0.06562097283327352
Position 8652: 0.057141084578725
Position 6139: 0.04474871249806722
Position 11537: 0.029922290232958483
Position 10380: 0.02817845300034528
Position 1919: 0.02349841221797588
Position 6598: 0.013870050574297502
Position 8799: 0.0137343024414338
Position 3672: 0.013627416905809406
Position 5661: 0.013591398210995786
Position 4891: 0.013020052589754106
Position 2377: 0.010505943206946712
Position 8855: 0.00944228594573445
Position 1099: 0.009358093185083268
Position 192: 0.008362735868074789
Position 4905: 0.007197275047819995
Position 2681: 0.0067121996238568
Position 1568: 0.006335229632885582
Position 3269: 0.0063106737173527295
Position 7628: 0.006236346358216445
Position 2026: 0.006071119779971304
Position 1999: 0.005971403796149441
Position 10003: 0.005468837772749173
Position 5373: 0.005104849884523165
Position 4758: 0.004916737397495553
Position 751: 0.004465383596690955
Position 8658: 0.0044456719234723585
Position 5946: 0.004109895524068096
Position 8371: 0.0038260850517411677
Position 9773: 0.0038097832207850874
Position 380: 0.0031771591070025402
Position 12241: 0.0026385451086137534
Position 42: 0.0023790410346917062
Position 12292: 0.002323965695119648
Position 10582: 0.002228713356811459
Position 11962: 0.0021419224602120773
Position 11318: 0.002077453424958369
Position 2068: 0.0020231793849825783
Position 1932: 0.0020141603658271135
Position 6507: 0.0014823723533740338
Position 3943: 0.001454733004881381
Position 8715: 0.0013613662740548957
Position 7320: 0.0011028933482834784
Position 2784: 0.0009575519219091929
Position 11797: 0.0009110303226035657
Position 6242: 0.0007598752946931199
Position 1645: 0.0007545321480622258
Position 2852: 0.0006720423932159529
Position 814: 0.0006700852390529371
Position 540: 0.0006367211585050786
Position 3077: 0.0006009102355987616
Position 8617: 0.0005696750896652697
Position 4785: 0.000561850188713381
Position 3390: 0.0005555613667729418
Position 7156: 0.00040732845622579324
Position 6490: 0.0003558825938639836
Position 5121: 0.000348720552782181
Position 5929: 0.0003057228536800117
Position 11920: 0.0002932937791126526
Position 3361: 0.0002856328165125745
Position 9858: 0.0002799327653323682
Position 5274: 0.00027673032365355555
Position 8673: 0.00024699538938689443
Position 2095: 0.000233595184400265
Position 5710: 0.0002325650816507239
Position 5586: 0.0002259558952510066
Position 5899: 0.00022086674045856136
Position 3892: 0.00015712313552736795
Position 3604: 0.00015415152014461065
Position 1133: 0.00014559976186847868
Position 1977: 0.00014486682466664766
Position 1983: 0.0001338279297861939
Position 9696: 0.00012389258138733748
Position 1385: 0.0001199422236998861
Position 7545: 0.00011965639538022092
Position 2293: 0.00011352089045884012
Position 2951: 0.00010921243166475765
Position 4093: 0.0001071360837708937
Position 5160: 0.0001066484003404787
Position 11154: 9.878121530081132e-05
Position 2896: 8.465662230517863e-05
Position 1962: 8.369354538070628e-05
Position 4079: 8.209980894571093e-05
Position 11753: 8.030026151472245e-05
Position 1633: 7.822733278463367e-05
Position 3750: 6.710307934905288e-05
Position 757: 4.1371487052291626e-05
Position 2365: 3.5763696916051096e-05
Position 2277: 3.4212362683646316e-05
Position 631: 2.8088848065689867e-05
Position 332: 1.883895982414162e-05
Position 349: 1.4119305347838783e-05
Position 552: 1.276807814423186e-05
Position 133: 1.2071456463311185e-05
Position 268: 8.472656303098288e-06
Position 8078: 5.451280845105291e-06
Position 564: 2.532867677485364e-06
Position 1551: 2.4828513980345954e-06
Position 914: 2.316432356567203e-06
Position 946: 2.0865511989532427e-06
Position 690: 1.2261283522716457e-06
Position 98: 1.1132429396971227e-06
Position 819: 8.286877501299027e-07
Position 318: 7.702029921507763e-07
Position 1175: 6.464227915289728e-07
Position 1711: 5.284850296390145e-07
Position 412: 4.946323889775469e-07
Position 10910: 3.8353347193744555e-07
Position 10881: 3.827996253697175e-07
Position 1783: 3.7749485242610675e-07
