Gene = MRTO4
index = 883
Annotated 5SS: [ 325 3302 4513 5607 5983 6446 7015]
Annotated 3SS: [3242 4408 5524 5914 6293 6937 7141]
SMsplice 5SS: [ 325 4513 5607 6018 6446 7015]
SMsplice 3SS: [4408 5524 5914 6293 6937 7141]
top_k =  1000
Partition function (log Z): 8.219617040669526

Sorted 5' Splice Sites (High to Low Probability):
Position 4513: 0.9930946312895625
Position 7015: 0.981725722030615
Position 5607: 0.9784719836311715
Position 325: 0.9428033230038145
Position 6446: 0.926987872640175
Position 6018: 0.5411856785029504
Position 3302: 0.2390603676667189
Position 6185: 0.21409437590906666
Position 7311: 0.11927807835176388
Position 5843: 0.11903450817695999
Position 3350: 0.10521493181181117
Position 710: 0.09908355311535236
Position 5983: 0.09727290649185116
Position 6845: 0.035262723263995974
Position 386: 0.02766619248456531
Position 500: 0.02106832282229434
Position 4701: 0.01991345031914518
Position 6355: 0.017522611350871877
Position 2090: 0.016527219618927298
Position 4119: 0.015168234673912196
Position 6335: 0.015161341589290616
Position 555: 0.014723882765434532
Position 8314: 0.011700439575945756
Position 514: 0.010376923004107596
Position 7493: 0.01011373381402265
Position 7509: 0.010074059988838698
Position 2603: 0.009781647058337428
Position 5975: 0.009423629703874
Position 3586: 0.009289937141752325
Position 6471: 0.008993524411657176
Position 4262: 0.008944204152694195
Position 7153: 0.007802501775323545
Position 7175: 0.007789887774097063
Position 946: 0.0068156160884147166
Position 3582: 0.006809110463658821
Position 8338: 0.00678298526713103
Position 5402: 0.006678518361763491
Position 6819: 0.005377401288554178
Position 3593: 0.005149753745527502
Position 3828: 0.0048270375968217285
Position 5939: 0.004620976086514611
Position 519: 0.0043824258072143445
Position 2330: 0.0043341411698626315
Position 796: 0.004070284894402378
Position 7213: 0.003347976100490829
Position 978: 0.002820651982307407
Position 5284: 0.0026664236296321943
Position 3354: 0.002616827514305923
Position 6817: 0.002588969350128994
Position 4123: 0.0024169184283125552
Position 5338: 0.0022763080114849834
Position 2898: 0.002192687699344184
Position 5044: 0.002165296763571451
Position 5934: 0.002052722746012843
Position 8326: 0.0017942916532469979
Position 778: 0.0015891258702921758
Position 2395: 0.0015056598777024044
Position 1031: 0.0013809545670061957
Position 5342: 0.001368410452141247
Position 4048: 0.001354717953366527
Position 7668: 0.00131610071463653
Position 6152: 0.001185533981247182
Position 1826: 0.0011786857185363848
Position 1757: 0.0008661524347448103
Position 1933: 0.0008629855066795434
Position 1995: 0.0008474240379142063
Position 6967: 0.0008325521307719213
Position 3309: 0.0008062636035264639
Position 4178: 0.0007890967206907349
Position 7541: 0.0007809987837597893
Position 800: 0.000752868290288785
Position 1655: 0.0007511820689145979
Position 7330: 0.0007070257607852947
Position 7255: 0.000578682888254485
Position 1614: 0.0005292039885566034
Position 440: 0.0005231845342233134
Position 191: 0.0005158469394653494
Position 5915: 0.0004682247627466496
Position 72: 0.00043663762372767116
Position 5987: 0.00042820828302369776
Position 3849: 0.0004260269267359153
Position 6911: 0.000397230745652181
Position 5926: 0.00038797130332725657
Position 5200: 0.0003839212016424148
Position 6610: 0.0003080098146964203
Position 1928: 0.00027051603261733044
Position 4706: 0.0002701373613360139
Position 5836: 0.0002537526216572595
Position 6530: 0.00022399677973007647
Position 1381: 0.0002144221472977432
Position 4954: 0.00020922370251011413
Position 2351: 0.00020296153424548087
Position 8293: 0.0001942242789141898
Position 5297: 0.00017445263256957099
Position 5911: 0.00016259584905558484
Position 6767: 0.00015523137223648288
Position 3684: 0.0001522146935977938
Position 7038: 0.00012723176144147696
Position 8273: 0.00012506117095040096
Position 7823: 0.00011791266539956998
Position 5327: 0.00011488818905644327
Position 5334: 0.00011452972645723829
Position 6597: 0.00011407944189035726
Position 5547: 0.0001078489642668735
Position 7267: 9.806235675777973e-05
Position 5370: 9.387282835179404e-05
Position 4689: 8.831183779113175e-05
Position 5406: 7.949466767573978e-05
Position 5119: 7.596458459142955e-05
Position 6189: 7.46090443387299e-05
Position 4719: 7.142712605158781e-05
Position 485: 6.981599639259825e-05
Position 4679: 6.115548928713359e-05
Position 4764: 6.0274333097948556e-05
Position 577: 5.529324991219414e-05
Position 7050: 4.257329373009846e-05
Position 2325: 4.093496190603087e-05
Position 5611: 3.702535322373997e-05
Position 8138: 3.179496401702024e-05
Position 5566: 3.0571879529216475e-05
Position 7424: 2.941094477544553e-05
Position 6938: 2.813373055526933e-05
Position 5862: 2.7059651132394486e-05
Position 6077: 2.6876398667620402e-05
Position 4841: 2.5874806544323106e-05
Position 6704: 2.45388060365358e-05
Position 4643: 2.0626501657373962e-05
Position 6832: 2.0120633701279484e-05
Position 4545: 1.325203769181159e-05
Position 6823: 1.265393020027205e-05
Position 5209: 1.2058954067481399e-05
Position 5883: 9.821429154971855e-06
Position 6591: 9.275655913474839e-06
Position 6384: 9.258847767247699e-06
Position 4604: 8.217541081613253e-06
Position 7192: 7.85648730510069e-06
Position 4962: 7.530447779990325e-06
Position 5629: 7.147520621107634e-06
Position 283: 5.630120555105051e-06
Position 363: 5.521657433831177e-06
Position 7387: 4.375101575830586e-06
Position 5671: 3.2995964047540434e-06
Position 340: 3.153118926305821e-06
Position 6294: 3.056156154477082e-06
Position 6985: 1.7119542200343868e-06
Position 7019: 1.4097610287677959e-06
Position 6943: 1.1313425960605394e-06
Position 119: 1.121406857471914e-06
Position 743: 9.446668822508577e-07
Position 262: 8.057547628320766e-07
Position 773: 6.835925532403272e-07
Position 442: 4.088152515367356e-07
Position 732: 3.77526986910445e-07
Position 251: 2.40420148990832e-07
Position 1123: 1.2825435537045e-07
Position 623: 7.245058602988786e-08
Position 548: 7.081776237667917e-08
Position 736: 5.418785724796802e-08
Position 722: 5.065432387229881e-08
Position 734: 4.024865468725974e-08
Position 180: 3.1810695887461835e-08
Position 825: 1.1485815759667403e-08
Position 233: 4.293949103264835e-09
Position 720: 3.2635945454970464e-09
Position 746: 2.7692292081030664e-09
Position 793: 1.8435145537671945e-09
Position 538: 3.666506685790072e-10
Position 5521: 2.805371852854668e-10
Position 225: 3.968051492030902e-11
Position 6577: 1.998358322985888e-12
Position 269: 6.749542730865533e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 6937: 0.9766370001709924
Position 6293: 0.9684790099829431
Position 5524: 0.9637106879680005
Position 4408: 0.9575469240323037
Position 7141: 0.9344643308007042
Position 5914: 0.7018255878721062
Position 3135: 0.2775392006016473
Position 6147: 0.1457254698512468
Position 8210: 0.14171449829282265
Position 5765: 0.08359379570638283
Position 3242: 0.054553913196403375
Position 8406: 0.04923604397707992
Position 6723: 0.04687155662173057
Position 414: 0.04005276037347628
Position 554: 0.038302770301005394
Position 704: 0.03477415274330602
Position 4386: 0.032375934134087146
Position 4603: 0.022035044194596388
Position 5697: 0.020471733050253526
Position 7394: 0.01704065673127512
Position 5500: 0.015015800254163113
Position 548: 0.014415623317047464
Position 1927: 0.013786240381561805
Position 3459: 0.011802164461237385
Position 5677: 0.011482674681999901
Position 3098: 0.011127283408665712
Position 4004: 0.009869868111736527
Position 3933: 0.00985077141454767
Position 5546: 0.008577462190188175
Position 7144: 0.00624934476857622
Position 3456: 0.0060337710093272875
Position 2412: 0.005911467674777495
Position 8435: 0.005138802594959305
Position 6096: 0.0045427878564766174
Position 5231: 0.004441677313398812
Position 4136: 0.0043776861369107896
Position 5272: 0.004231861875164829
Position 3441: 0.004219817460314945
Position 6077: 0.003908618879649679
Position 7204: 0.003877337229435245
Position 2195: 0.003703466104521704
Position 5199: 0.003238045275115626
Position 8187: 0.0031883937806466223
Position 6876: 0.0029143861930881593
Position 3960: 0.002889633866808669
Position 6112: 0.0027420144703566933
Position 1975: 0.00253332293755349
Position 843: 0.0024506719718670497
Position 427: 0.002387602109875293
Position 7398: 0.0023730113896819017
Position 8046: 0.002351076472523777
Position 709: 0.0022730292473666803
Position 8174: 0.002208013287443109
Position 3170: 0.00199184238695074
Position 2271: 0.001991440801801961
Position 1640: 0.0018489666653527428
Position 2460: 0.001788111308677042
Position 8009: 0.0017735065961228442
Position 1508: 0.0015919829264745473
Position 2755: 0.0014960525283894655
Position 3706: 0.0013943715844185103
Position 4435: 0.0013935503861798777
Position 8234: 0.001352381514803533
Position 2503: 0.0012892546126805494
Position 6050: 0.0012814915141060154
Position 5242: 0.0012619935490654312
Position 462: 0.0012183759823574003
Position 3670: 0.001205468206082338
Position 567: 0.001148126014175124
Position 8151: 0.0010824251502713634
Position 7774: 0.001060905671675384
Position 3462: 0.0010390011530975382
Position 4077: 0.0010379866823182276
Position 5733: 0.0010110778461951424
Position 588: 0.0009550707561315803
Position 5687: 0.0009431265119316783
Position 6908: 0.0009291575066183137
Position 5968: 0.0009219468644082368
Position 5771: 0.0008833327110238953
Position 6128: 0.0007982367308602395
Position 7262: 0.0007663558513054488
Position 7475: 0.0007634747580482652
Position 4102: 0.0007409743048271175
Position 3323: 0.0007186416084901217
Position 6966: 0.0007131629367318278
Position 5919: 0.0007115166224593251
Position 5331: 0.0006780044245801488
Position 3592: 0.0006465375172551705
Position 5095: 0.0005876908942247982
Position 5774: 0.0005692057824525776
Position 4351: 0.0005481680288183738
Position 439: 0.0005275349887619648
Position 8096: 0.000506591647366667
Position 3115: 0.0004783665522875393
Position 1724: 0.00047250925606623774
Position 5379: 0.0004567140169404223
Position 2719: 0.0004502925744008534
Position 2253: 0.00043042221379029836
Position 7697: 0.00040944216404347085
Position 4031: 0.00038018731769513505
Position 2004: 0.0003611961496076105
Position 7174: 0.0003433860302058538
Position 3202: 0.0003310145968401884
Position 6521: 0.00030080703355473857
Position 2066: 0.0002869011478033061
Position 2508: 0.00028575234834777934
Position 7808: 0.00027981789696388855
Position 8488: 0.0002666445491783561
Position 823: 0.00026549750780072346
Position 7002: 0.000255804000730936
Position 1568: 0.00025039979603936745
Position 3039: 0.0002472392898194291
Position 5704: 0.0002411908341407955
Position 7429: 0.00023915635599309752
Position 5891: 0.00023112256220428202
Position 3269: 0.00023017273884945675
Position 1302: 0.00021430745643810897
Position 7754: 0.00020414451151651433
Position 6881: 0.00019470284487510227
Position 4910: 0.00018950594960017486
Position 2392: 0.00018510277736609497
Position 6034: 0.0001840252926939801
Position 3150: 0.0001827457694047935
Position 8131: 0.0001809151906786028
Position 8059: 0.0001750532681537039
Position 6910: 0.00016633507776843998
Position 7606: 0.0001628340043983722
Position 5719: 0.00016049046071766696
Position 910: 0.0001579127062938775
Position 4985: 0.00015717278441215824
Position 2389: 0.0001534733309241492
Position 4105: 0.00015051214677528818
Position 4467: 0.0001477538018457183
Position 497: 0.0001462695502279757
Position 6895: 0.00014257987559100003
Position 3630: 0.00013536255712157135
Position 1821: 0.00013160244927747875
Position 6997: 0.00013149658613822356
Position 4238: 0.00013115489596139652
Position 877: 0.00012819791968467182
Position 4685: 0.0001270936279034985
Position 6679: 0.00012599728554670193
Position 6591: 0.00011903398903105021
Position 5710: 0.0001167478835154234
Position 4346: 0.00011460646547568406
Position 1683: 0.00011426247074056125
Position 5062: 0.00011299833486153229
Position 2824: 0.00010920921819448694
Position 1654: 0.00010631829416853067
Position 6313: 0.0001048104709676495
Position 6179: 9.976528543737581e-05
Position 7567: 9.680963056679819e-05
Position 8502: 9.668405784338176e-05
Position 7222: 9.475430766257537e-05
Position 7709: 9.221716055108415e-05
Position 8556: 9.179695380089245e-05
Position 3723: 8.890079700762023e-05
Position 1907: 8.777983270991651e-05
Position 5925: 8.666597538376868e-05
Position 3265: 8.358164601579447e-05
Position 4906: 8.132487277893446e-05
Position 584: 8.079765010748809e-05
Position 2219: 7.949851510912528e-05
Position 4912: 7.64821330308247e-05
Position 7241: 7.424658190833537e-05
Position 7347: 7.423623128369799e-05
Position 3061: 7.190476308954833e-05
Position 4636: 7.126803912564857e-05
Position 8411: 6.986019524238298e-05
Position 7661: 6.835496386035815e-05
Position 3016: 6.484756607392451e-05
Position 4863: 6.374489251031056e-05
Position 8553: 6.103176051933916e-05
