Gene = LEMD1
index = 780
Annotated 5SS: [   65  1600  2825  5823 37767]
Annotated 3SS: [ 1479  2701  5757 37689 40197]
SMsplice 5SS: [   65  1600  2825 24571 37767]
SMsplice 3SS: [ 1479  2701 24470 37689 40197]
top_k =  1000
Partition function (log Z): -20.7521151262622

Sorted 5' Splice Sites (High to Low Probability):
Position 65: 0.9568443962974131
Position 2825: 0.9488618515255414
Position 1600: 0.8397001260003972
Position 3128: 0.3427504328044699
Position 11682: 0.15769646912968513
Position 5823: 0.10492971144574825
Position 286: 0.09662245509460732
Position 1609: 0.09418879199386632
Position 1381: 0.0828728278900278
Position 15888: 0.05932592897477022
Position 2213: 0.028595791859029163
Position 1999: 0.027227549395456248
Position 14675: 0.02543951135574731
Position 1744: 0.02311016330569649
Position 2598: 0.012093644358677241
Position 2556: 0.011337398935277332
Position 715: 0.007964299335463772
Position 1242: 0.007639796529789341
Position 400: 0.007189003466682156
Position 2412: 0.0059804453593481684
Position 818: 0.005263933092690083
Position 1546: 0.0046771580324446544
Position 259: 0.004594513895046375
Position 471: 0.003819645257569933
Position 6274: 0.00357700007008255
Position 1604: 0.0030500470720484806
Position 2514: 0.0029569919301573187
Position 1955: 0.0025619904989022733
Position 2358: 0.0022836491155565756
Position 1862: 0.002157306078750009
Position 353: 0.0020986716144791046
Position 2096: 0.001503667853411946
Position 754: 0.001432868353991114
Position 1439: 0.0013074986279160027
Position 728: 0.0011260628854923515
Position 8885: 0.0010003424901871044
Position 178: 0.000936678809852316
Position 21: 0.0007976925736170617
Position 118: 0.0007247537309140106
Position 758: 0.000659539477762261
Position 676: 0.000528763183636997
Position 4097: 0.0005150016587919916
Position 1643: 0.00044204685518600825
Position 196: 0.0004292900352237594
Position 6169: 0.0004043570895251456
Position 2840: 0.00039889871744709296
Position 1239: 0.00038161234692140494
Position 69: 0.00036312806784201006
Position 451: 0.0003313260547185055
Position 5359: 0.00032903724929479023
Position 57: 0.00030393677931220064
Position 6472: 0.00027122849771279024
Position 1178: 0.00027083015003512897
