Gene = MMACHC
index = 852
Annotated 5SS: [ 361 7498 8312]
Annotated 3SS: [7302 8158 8742]
SMsplice 5SS: [ 361 7498 8312]
SMsplice 3SS: [ 7302  8158 10588]
top_k =  1000
Partition function (log Z): -5.783278988876658

Sorted 5' Splice Sites (High to Low Probability):
Position 361: 0.9910656760777009
Position 8312: 0.9424356401716855
Position 7498: 0.8950135857353367
Position 11877: 0.19639732443285599
Position 10629: 0.062247927454589
Position 6321: 0.044719846712282095
Position 8753: 0.04326790719625733
Position 3775: 0.03336537556491026
Position 6158: 0.03141484657878662
Position 3287: 0.0284554267000628
Position 1665: 0.02563114340067117
Position 3115: 0.024196698348555114
Position 3721: 0.021747256549078157
Position 599: 0.02019064094584401
Position 5213: 0.017842221964008368
Position 7375: 0.013237525573032202
Position 1156: 0.012395847370139572
Position 11154: 0.011831312235412395
Position 6397: 0.011399108109943148
Position 3945: 0.011187691455746307
Position 162: 0.009789101596182714
Position 2516: 0.009776632746905259
Position 8350: 0.009687448617680262
Position 7602: 0.00948898113858348
Position 6714: 0.008683380239174933
Position 1018: 0.008335404314202464
Position 6368: 0.007665936389765455
Position 42: 0.00723477790485753
Position 5379: 0.005801003870709322
Position 1386: 0.005513093824211463
Position 2783: 0.0051994328882626235
Position 11403: 0.004751913004491452
Position 7464: 0.004715710486719689
Position 10739: 0.0041790467781765974
Position 346: 0.0040276315694585015
Position 4718: 0.003982182180783606
Position 5791: 0.0031525296628080323
Position 7761: 0.003060722929834009
Position 4222: 0.002891231341466074
Position 3119: 0.002782930315153796
Position 1262: 0.002659254324239387
Position 2779: 0.0022891413718136113
Position 3788: 0.002227089360187854
Position 63: 0.0020492298062358234
Position 219: 0.0018483362410395097
Position 8030: 0.0016868372543433873
Position 3858: 0.0015765167783123141
Position 6301: 0.0013997882192619542
Position 3133: 0.00137726828792856
Position 1698: 0.0013531562387663143
Position 4149: 0.0012894238953998578
Position 7956: 0.0012213335328300032
Position 3679: 0.0012209202882343109
Position 8879: 0.0012024763312755685
Position 8824: 0.0011089488041978234
Position 11328: 0.0010304629761246783
Position 6884: 0.0009265088923806751
Position 6152: 0.0009163872590781017
Position 6372: 0.0009034088261084024
Position 519: 0.0008821498018470066
Position 1677: 0.0008134682373865291
Position 3478: 0.0007259166654414757
Position 5256: 0.0007129266709456808
Position 1511: 0.000664791098554177
Position 8326: 0.0006203006441705982
Position 7673: 0.0006181430062659302
Position 8036: 0.0005748504924584626
Position 631: 0.0005623927680899095
Position 11856: 0.0004232211200776772
Position 1713: 0.00032588949729436324
Position 8552: 0.0003098013749015312
Position 2186: 0.00030853737848225737
Position 1093: 0.0003036632892905218
Position 8249: 0.0002813006019373198
Position 7489: 0.00026394706827708803
Position 7466: 0.0002554360918835607
Position 5169: 0.00024873480425735155
Position 5048: 0.0002415058371942011
Position 3200: 0.00024140473309514359
Position 3923: 0.00021593983310435645
Position 5223: 0.00021274140850777775
Position 1224: 0.0001943847794906027
Position 2888: 0.00019078717337830508
Position 5181: 0.00019060377578497317
Position 11341: 0.00018640985090918584
Position 1039: 0.00018559989153606678
Position 6073: 0.00016271172699250334
Position 10053: 0.00015995115698801455
Position 5636: 0.0001464599811728813
Position 3995: 0.00014575925243352834
Position 2057: 0.0001383002111182338
Position 13: 0.00013545111592593582
Position 4531: 0.00013347244691570587
Position 9888: 0.00011330390169963795
Position 7311: 9.769158901328859e-05
Position 9503: 3.25618811680791e-05
Position 105: 1.9154934621607774e-05
Position 9194: 1.8297878732140588e-05
Position 273: 1.8063666681451137e-05
Position 83: 1.764130740419119e-05
Position 959: 1.5984706602343e-05
Position 99: 1.2357468667064693e-05
Position 753: 1.207806547792337e-05
