Gene = CNST
index = 387
Annotated 5SS: [  218 25496 55189 65479 67565 68142 75325 75592 81592 93889]
Annotated 3SS: [25065 54982 65447 67477 68026 75302 75494 80692 93752 99253]
SMsplice 5SS: [  218  3545 25367 28481 28685 51956 55189 67565 68142 70995 75592 81592
 87849 91057 93889 95169]
SMsplice 3SS: [ 3411 25225 28383 28605 51811 54982 67477 68026 70851 75494 81454 87658
 90873 93752 95062 99253]
top_k =  1000
Partition function (log Z): -51.34065234682245

Sorted 5' Splice Sites (High to Low Probability):
Position 3545: 0.7939254019874717
Position 218: 0.7165285170156585
Position 5221: 0.41913676321224513
Position 344: 0.27219968947955875
Position 6395: 0.19116989436645845
Position 6209: 0.18188591917938485
Position 5778: 0.17798844292282212
Position 6828: 0.14658705667638355
Position 8123: 0.14538891685916785
Position 10720: 0.10728161954640604
Position 5363: 0.10309935438260698
Position 6397: 0.09508317177625086
Position 3850: 0.07563953708631267
Position 3500: 0.06743954400088503
Position 3033: 0.03864418535017114
Position 6185: 0.031716152756497064
Position 3067: 0.02752047245947347
Position 1088: 0.020573073316531812
Position 2763: 0.01803647041664551
Position 4336: 0.014530645217928432
Position 52: 0.014425660228269648
Position 5214: 0.013224022107615602
Position 11108: 0.011206661457957214
Position 7409: 0.010693147447451031
Position 9381: 0.006951443522942149
Position 7494: 0.006027005095601551
Position 1999: 0.005566572339259991
Position 8348: 0.0044812834410778634
Position 1056: 0.0038098197339095983
Position 189: 0.003127843288202457
Position 522: 0.002628270374138244
Position 1124: 0.002204538650141889
Position 4184: 0.002189542095079234
Position 3248: 0.002141984428913975
Position 1945: 0.0020215608960492772
Position 1579: 0.0018499768697195548
Position 3310: 0.0016589358084948512
Position 349: 0.0016163254169474742
Position 5603: 0.001517649627601815
Position 86: 0.001506346291710917
Position 2403: 0.001498562740251404
Position 4081: 0.0013897432342641048
Position 721: 0.0011036103239692643
Position 647: 0.0009068336634373972
Position 3642: 0.0008006215163554691
Position 3059: 0.0007396750022856623
Position 5144: 0.0007094757856481809
Position 1357: 0.000575178684720255
Position 4134: 0.0005502843227448852
Position 2359: 0.0004904705084567875
Position 385: 0.00046048063871044546
Position 4422: 0.0004100898667493455
