Gene = SOX30
index = 1296
Annotated 5SS: [ 1309  3764  5784 14191]
Annotated 3SS: [ 3523  5603 13697 25698]
SMsplice 5SS: [  195  3133  5784 13585 14191 18646 25783]
SMsplice 3SS: [ 2953  5603 13399 13931 18471 25698 25957]
top_k =  1000
Partition function (log Z): -6.794244689186631

Sorted 5' Splice Sites (High to Low Probability):
Position 5784: 0.9576808612270954
Position 13585: 0.9018572790568953
Position 14191: 0.8760272629008582
Position 18646: 0.7048090145475199
Position 3133: 0.6688458978186818
Position 25783: 0.5084128500705184
Position 195: 0.4800623059909966
Position 17083: 0.3866743743255834
Position 13793: 0.30713979271280106
Position 96: 0.22749724735194338
Position 175: 0.21234421553041358
Position 16625: 0.1544553520819199
Position 3764: 0.15082307110045062
Position 8719: 0.1386560161701346
Position 13243: 0.12984403518531265
Position 6660: 0.09905247172410261
Position 3360: 0.07451358254075442
Position 4036: 0.06527322105214
Position 22468: 0.06203955906097573
Position 11948: 0.05314140566871767
Position 13590: 0.03598115433052505
Position 5744: 0.03533931066057668
Position 14354: 0.03323345357960997
Position 3826: 0.02605947317810147
Position 2985: 0.02596776880864296
Position 11938: 0.024830770802390347
Position 723: 0.02454682983647791
Position 1444: 0.024301819031778582
Position 230: 0.022601543759439763
Position 4333: 0.01839893011014464
Position 125: 0.01667575590411519
Position 785: 0.015180476938529232
Position 1840: 0.014980635038127472
Position 2465: 0.014243826525709677
Position 3672: 0.014177848674358836
Position 4389: 0.013241929025587962
Position 7993: 0.012300530207497455
Position 558: 0.012142106526878846
Position 22078: 0.011788575473019841
Position 1309: 0.009525436687050602
Position 18555: 0.008447516315263387
Position 7346: 0.007961950392172124
Position 7701: 0.006731557948548229
Position 970: 0.006329929296157489
Position 3385: 0.006165641829507369
Position 11807: 0.005367110827556134
Position 540: 0.005190552979861771
Position 15860: 0.00482676959583648
Position 16693: 0.004188753430744306
Position 72: 0.0037978243531296765
Position 6069: 0.0024834828956108
Position 4613: 0.0022882378314799134
Position 15739: 0.0021624812778357943
Position 28: 0.002110423655924617
Position 3449: 0.0020618474058021817
Position 181: 0.0018955529840423504
Position 242: 0.001621704801494772
Position 1508: 0.00149125434017193
Position 5127: 0.0014743318424807843
Position 16460: 0.0014110579900921808
Position 3164: 0.0013057699893454446
Position 18531: 0.0010645580302138294
Position 4833: 0.0010194004686455939
Position 8448: 0.0009594318328707665
Position 157: 0.0009102554144881338
Position 4629: 0.0008961209348927277
Position 1206: 0.0008899290304912071
Position 289: 0.0008479648897926237
Position 1065: 0.0008252932143731609
Position 13499: 0.0007656314580831915
Position 4374: 0.0007345717734265173
