Gene = BSND
index = 146
Annotated 5SS: [ 431 6184 8340]
Annotated 3SS: [6088 8063 9280]
SMsplice 5SS: [ 431 1387 6184 8340]
SMsplice 3SS: [1302 6088 8063 9299]
top_k =  1000
Partition function (log Z): 1.7186839301867232

Sorted 5' Splice Sites (High to Low Probability):
Position 6184: 0.9687056901094514
Position 8340: 0.873385752329117
Position 431: 0.8445181715467934
Position 1387: 0.7092681220866819
Position 9428: 0.43253008420314804
Position 9583: 0.3502238228666588
Position 965: 0.3462739970842719
Position 6506: 0.20167336543267533
Position 5782: 0.15106062646694485
Position 687: 0.1449511193125796
Position 318: 0.13230674591724162
Position 4176: 0.11168766596035841
Position 9: 0.09752382725380024
Position 2977: 0.09508941153062794
Position 9827: 0.09458715204085427
Position 7511: 0.045908979214489276
Position 7644: 0.045814837804035495
Position 3939: 0.042573588855618065
Position 2983: 0.03548829989474007
Position 6215: 0.02433132423064107
Position 7570: 0.023067303594230096
Position 10409: 0.022647316958839574
Position 10833: 0.021758749085485977
Position 2238: 0.019509177859013432
Position 4010: 0.017038747569919188
Position 5943: 0.015468058870591089
Position 172: 0.014219793859806071
Position 3156: 0.013757116404872592
Position 2000: 0.013671112815087072
Position 6475: 0.013642170138833412
Position 8165: 0.013595232373589816
Position 9555: 0.012291227278893884
Position 2004: 0.01215973783847735
Position 969: 0.01162072588172248
Position 2826: 0.011404163094240118
Position 2024: 0.010794210132103207
Position 2420: 0.00874830669578814
Position 82: 0.00838724127886103
Position 3029: 0.008265192703778679
Position 9539: 0.007008425553016523
Position 3910: 0.006452962278108275
Position 6425: 0.006098918710094718
Position 2844: 0.005440691486889993
Position 2922: 0.005348167237906192
Position 4019: 0.005283624587280684
Position 3110: 0.005152792256484741
Position 7964: 0.0049342930843463435
Position 461: 0.004757473767561579
Position 6188: 0.004397849260635189
Position 7274: 0.0038503851382778306
Position 3217: 0.0037386046333312477
Position 4145: 0.0035609117533622805
Position 877: 0.0034947641315645913
Position 10377: 0.0032743204842512236
Position 30: 0.0032512198110737217
Position 44: 0.003127538115631486
Position 1370: 0.002912013593695833
Position 8237: 0.002864457325486716
Position 386: 0.0027796398910688814
Position 1512: 0.0024866683406790714
Position 6011: 0.0024325793021428826
Position 8699: 0.0021555837687634734
Position 8561: 0.001954296360218924
Position 2271: 0.00194029669398545
Position 4061: 0.00193401476431434
Position 1382: 0.001910491434835394
Position 6470: 0.0018625260850130088
