Gene = LEPR
index = 782
Annotated 5SS: [    89   4727 144954 150151 151798 172214 175942 178153 181031 181309
 184586 188250 189455 189645 195573 197495 199372 200807 202330]
Annotated 3SS: [  4650 144893 149820 151673 172004 175795 178007 180739 181190 184385
 188100 189294 189561 195355 197311 199275 200700 202253 215538]
SMsplice 5SS: [    89   4252   4727   9397  18589  21434  25496  28997  65855  73318
  75784  94789  96844 101788 111776 137368 144954 167437 172214 175942
 176806 178153 178828 181031 181309 188250 189373 189645 197495 199372
 213251]
SMsplice 3SS: [  4161   4650   9209  18440  21246  25309  28887  65739  73234  75638
  94669  96742 101676 111688 137186 144878 167299 172117 175795 176696
 178007 178593 180739 181190 188100 189294 189561 197311 199275 213204
 215538]
top_k =  1000
Partition function (log Z): -97.1890206838817

Sorted 5' Splice Sites (High to Low Probability):
Position 18589: 0.9989188622391553
Position 28997: 0.9782809605365914
Position 4252: 0.9268613811025647
Position 9397: 0.8541145353755525
Position 89: 0.7831993069346848
Position 4727: 0.7558598271187031
Position 21434: 0.7104360753599803
Position 25496: 0.6401525956195772
Position 17015: 0.5108295494900652
Position 34702: 0.28416832051791213
Position 16482: 0.2463673405676915
Position 30719: 0.23654643814423984
Position 12600: 0.21364015674942727
Position 3673: 0.12082841052890766
Position 2079: 0.11205007769462808
Position 35498: 0.10313449323842985
Position 213: 0.10179050865782563
Position 808: 0.09715276669546725
Position 24677: 0.09257442874555638
Position 27866: 0.05929837202884905
Position 10144: 0.057687585340383124
Position 32818: 0.05204013630635686
Position 9799: 0.0511635963461678
Position 16532: 0.04769873988422592
Position 4053: 0.045421569434069504
Position 31218: 0.038019460648728284
Position 34262: 0.03730831619169854
Position 29273: 0.03583877745083373
Position 8474: 0.030419237334881746
Position 35209: 0.026027125926502324
Position 19766: 0.02361651673974538
Position 35312: 0.021465701987593296
Position 1888: 0.020563510268185144
Position 982: 0.0201930389685863
Position 5478: 0.019638301177625037
Position 2165: 0.01957207444139006
Position 7708: 0.019059686695263416
Position 4829: 0.017997203073427222
Position 3861: 0.017726576186004928
Position 12912: 0.017174094415501093
Position 2000: 0.01575343573768747
Position 1545: 0.014679710199406731
Position 7056: 0.013121963903818078
Position 9908: 0.012957281826356394
Position 400: 0.012179893247781157
Position 781: 0.011194289430703948
Position 31053: 0.011133480347360102
Position 3363: 0.009122442212236133
Position 629: 0.007572338747187405
Position 2150: 0.0060106294848287795
Position 12663: 0.005831670998599431
Position 2115: 0.00540574995661252
Position 122: 0.00519784663286966
Position 1340: 0.004610335663505415
Position 6691: 0.0045944311514968614
Position 1418: 0.00353247359223659
Position 251: 0.003254479805510502
Position 7342: 0.0031358045043044847
Position 253: 0.003126735854667149
Position 986: 0.0029460456886099893
Position 4275: 0.002827650256362087
Position 951: 0.0023600282870341275
Position 2016: 0.0022200277914601434
Position 9904: 0.0019107259182286366
Position 1852: 0.0018414687870467903
Position 3771: 0.0017128741398895104
Position 2096: 0.001604640977312907
Position 2910: 0.0015748100075152576
Position 2800: 0.0015465978986987522
Position 3090: 0.0014591488388727902
Position 4227: 0.0014066708677193825
Position 3768: 0.0012216328406659247
Position 1469: 0.0012187506686361477
Position 2226: 0.0011369660386037015
Position 725: 0.0010635593480992974
Position 698: 0.0010611056110402825
Position 1296: 0.0009218681184569228
Position 4569: 0.0006063575944793796
Position 4332: 0.0003446481515939895
Position 689: 0.00010539372227482972
Position 5001: 9.049847357573349e-05
Position 4350: 6.15554970607033e-05
Position 4285: 6.114644582235134e-05
Position 1127: 4.80730652264942e-05
Position 1711: 3.572145097826533e-05
Position 3254: 2.7285419198149805e-05
Position 618: 2.6786898784688453e-05
Position 596: 2.0661576262629186e-05
Position 21399: 1.80304517192401e-05
Position 2841: 1.7219259498033263e-05
Position 687: 1.580053044028295e-05
Position 3: 1.5579574619506367e-05
Position 119: 1.3313590729444749e-05
Position 257: 1.1638609485288686e-05
Position 145: 1.063621294242014e-05
Position 1732: 1.0063477548732898e-05
Position 2303: 9.98850296773733e-06
Position 485: 9.667429021016923e-06
Position 114: 9.396431742954631e-06
Position 99: 8.790489283424009e-06
Position 691: 8.209411880578994e-06
Position 62: 6.779721191196898e-06
