Gene = CH17-140K24.8
index = 366
Annotated 5SS: [169]
Annotated 3SS: [22106]
SMsplice 5SS: [  169 10764]
SMsplice 3SS: [10670 17552]
top_k =  1000
Partition function (log Z): -14.955042009705714

Sorted 5' Splice Sites (High to Low Probability):
Position 213: 0.9637137304093424
Position 10764: 0.7498280996417828
Position 2472: 0.47363208994237044
Position 11033: 0.3011867435161837
Position 2390: 0.12775496928561816
Position 1772: 0.11431898809177692
Position 4509: 0.07457514348324179
Position 8760: 0.05651872512150643
Position 3297: 0.05535990073896367
Position 2003: 0.036112328915120825
Position 567: 0.023314014055748514
Position 9084: 0.01710243244901392
Position 5043: 0.015320360752361213
Position 455: 0.013460053860031487
Position 2406: 0.012363529845881632
Position 16721: 0.010440320828041348
Position 2264: 0.007388586717354279
Position 329: 0.006723875869215353
Position 487: 0.006090705742029951
Position 1898: 0.006059186980142241
Position 1819: 0.005069532155867104
Position 1589: 0.004838649170947102
Position 1239: 0.004725013405764111
Position 1859: 0.0036814208831375175
Position 2297: 0.002818631049328998
Position 1784: 0.0021070335355148125
Position 1889: 0.0017044999084300664
Position 827: 0.001268271043569357
Position 878: 0.0011219623162235666
Position 1684: 0.001014028901470454
Position 173: 0.0007783713697152592
Position 2786: 0.0006987846058744516
Position 496: 0.0006544605966135537
Position 1226: 0.0005047832433263123
Position 1064: 0.0003070862274365316
Position 2581: 0.0003013687067585972
Position 1724: 0.0002940096163255428
Position 2348: 0.0002711144539552174
Position 687: 0.0002233126914832007
Position 3092: 0.0002151086732806036
Position 1717: 0.0001936542681475309
Position 1975: 0.00019189131172309398
Position 2254: 0.0001889906551646745
Position 4022: 0.00018782977320212056
Position 1104: 0.00018398337731800188
Position 2246: 0.00014636109806432794
Position 1507: 0.00012669174809109757
Position 318: 0.00012009885412524459
Position 352: 0.00012002009260750598
Position 2979: 0.00010346878532255813
Position 7224: 8.321991925951395e-05
Position 1435: 8.317071693837606e-05
Position 617: 7.195554797156732e-05
Position 1744: 6.88668665667024e-05
Position 2833: 5.387989082333955e-05
Position 2422: 4.665942812147934e-05
Position 1984: 4.1861397856804425e-05
Position 438: 2.929696882864953e-05
Position 1550: 2.1113047374234827e-05
Position 1034: 1.5065508270424837e-05
Position 202: 1.3705018059848147e-05
Position 2459: 1.215566037611281e-05
Position 1907: 7.828507995684284e-06
Position 52: 7.552746399733453e-06
Position 440: 7.1550842188451166e-06
Position 783: 5.57509139886719e-06
Position 630: 3.9836213777586775e-06
