Gene = TROVE2
index = 1491
Annotated 5SS: [  355 10213 16619 17226 17629 22059 22878 23287]
Annotated 3SS: [ 9611 16397 17078 17490 21941 22763 23139 25156]
SMsplice 5SS: [  355  9760 17226 17629 21858 22059 22878 23287 24311]
SMsplice 3SS: [ 9611 17078 17490 21770 21941 22763 23139 24161 25156]
top_k =  1000
Partition function (log Z): 6.596972728013042

Sorted 5' Splice Sites (High to Low Probability):
Position 22878: 0.9987823858102669
Position 22059: 0.9891455291217266
Position 23287: 0.8978522674351342
Position 17629: 0.8832692064525582
Position 9760: 0.8125075575343546
Position 21858: 0.8073378006207872
Position 24311: 0.8052554021673666
Position 17226: 0.7934322092920693
Position 355: 0.6702124803820075
Position 10247: 0.3767763380380826
Position 801: 0.362818744449982
Position 10213: 0.34167096837428124
Position 349: 0.2965638048362907
Position 6867: 0.27220515475712626
Position 16619: 0.16298635368040748
Position 24561: 0.13764971545184992
Position 18895: 0.053100707543466845
Position 22240: 0.04793362032513215
Position 841: 0.04631233273278095
Position 23859: 0.03932746959696379
Position 543: 0.03846006073654935
Position 4009: 0.031981821007053365
Position 13716: 0.028717374830009773
Position 23249: 0.028633742123152346
Position 17360: 0.023910638517899874
Position 23277: 0.023872856468252893
Position 17788: 0.023454150304660797
Position 761: 0.018734075855987707
Position 17187: 0.013932636699442714
Position 1263: 0.012217782230806514
Position 25066: 0.012195423015672155
Position 14369: 0.01131610636743222
Position 24494: 0.0106505544046195
Position 24041: 0.010169109827440867
Position 22317: 0.009749799286828807
Position 110: 0.00953807764692476
Position 24927: 0.008079278864893949
Position 3412: 0.007570702213557179
Position 11198: 0.007314934005513269
Position 21867: 0.007145269240671227
Position 5309: 0.006720862243649417
Position 5779: 0.005612091965521141
Position 17313: 0.0050550576864580084
Position 24932: 0.00456439767692622
Position 25099: 0.003678329352798589
Position 24600: 0.0034892900345916537
Position 23910: 0.0025132991084636153
Position 23991: 0.0023014504193695803
Position 17701: 0.002064364448278481
Position 17855: 0.0018922181991502612
Position 24867: 0.0017000954634923374
Position 523: 0.001555449400503239
Position 22484: 0.0014764864216172914
Position 22015: 0.0014724600470559749
Position 22656: 0.001063556441583874
Position 24767: 0.0009506919644701305
Position 18127: 0.00092380285397863
Position 23307: 0.000920945391137774
Position 22105: 0.0009149599527599347
Position 337: 0.0008973367591746296
Position 22052: 0.0008281700166576743
Position 17766: 0.0008251662836236114
Position 8476: 0.0007212390144001133
Position 23827: 0.0006814823958896886
Position 22227: 0.0006190751546438637
Position 22458: 0.0004681882359944574
Position 22857: 0.00044253758908674033
Position 22600: 0.00029770904348419265
Position 24001: 0.00027355050338791686
Position 22033: 0.00020718129796550965
Position 12171: 0.0001976831039663377
Position 21984: 0.0001648754305876044
Position 22262: 0.00014323523257023078
Position 10243: 0.00013126530512679927
Position 24904: 0.00011081911226199638
Position 24876: 0.00011046015181197352
Position 24477: 6.933553211382433e-05
Position 22018: 6.761197203546242e-05
Position 22209: 6.592457212684845e-05
Position 3619: 6.56262575083519e-05
Position 585: 6.347511859461092e-05
Position 22222: 6.292626792258894e-05
Position 1209: 3.775415991824341e-05
Position 25277: 3.769161377460021e-05
Position 22462: 3.0217259545440325e-05
Position 391: 3.0207452439242752e-05
Position 229: 2.97268356137612e-05
Position 1632: 2.6666328303204133e-05
Position 22818: 2.6439202153229837e-05
Position 2909: 2.4023677212348086e-05
Position 1877: 2.0916287962027617e-05
Position 1477: 1.8620619120214956e-05
Position 23058: 1.8517175740151715e-05
