Gene = TMA7
index = 1405
Annotated 5SS: [ 56 202 372]
Annotated 3SS: [ 145  283 3588]
SMsplice 5SS: [ 56 202 372]
SMsplice 3SS: [ 145  283 3588]
top_k =  1000
Partition function (log Z): 1.262004161065016

Sorted 5' Splice Sites (High to Low Probability):
Position 202: 0.9961430379523177
Position 372: 0.9781496931709056
Position 56: 0.9625057198881214
Position 656: 0.018554113870934554
Position 1909: 0.013194819354513262
Position 73: 0.011145650510992705
Position 1206: 0.010184030029461751
Position 535: 0.007036375134867607
Position 3620: 0.0038599362682633937
Position 1616: 0.0029049350792036163
Position 2591: 0.002733954506842048
Position 1542: 0.0025145860570424832
Position 3514: 0.002324355001366798
Position 2568: 0.002197069454185243
Position 2023: 0.0020158924660867595
Position 560: 0.0017021211345650314
Position 1576: 0.0013888280914784482
Position 1305: 0.0007857929769531107
Position 230: 0.0006592546653609737
Position 2642: 0.0006369826802210755
Position 1690: 0.0005456673061255676
Position 630: 0.0005133720237539228
Position 1620: 0.00037133628180720555
Position 2751: 0.0003694273718085001
Position 2841: 0.00034520578123021183
Position 3649: 0.0002923761225265934
Position 3543: 0.0002835374994945147
Position 472: 0.0002752984404380457
Position 3108: 0.00025942094327083504
Position 2472: 0.000256121127787696
Position 886: 0.00021482581917002598
Position 854: 0.00020002667926108383
Position 1067: 0.0001925268197307928
Position 3479: 0.0001858554003903705
Position 376: 7.722143728072183e-05
Position 504: 7.119465510304996e-05
Position 946: 6.990739023241159e-05
Position 706: 6.843851464933759e-05
Position 1402: 6.551325216821203e-05
Position 2289: 6.507880553260792e-05
Position 2539: 4.67056051667793e-05
Position 2546: 3.658885237022331e-05
Position 671: 3.600221596562732e-05
Position 681: 3.443888770286102e-05
Position 42: 3.310867689386034e-05
Position 1245: 3.27968009783724e-05
Position 1162: 3.1680480783954866e-05
Position 15: 2.6009109839465812e-05
Position 623: 2.022055007929958e-05
Position 3595: 1.7304950899605363e-05
Position 2607: 1.6443823322746458e-05
Position 1946: 1.1044519802669662e-05
Position 146: 1.0551242361624047e-05
Position 3711: 7.620073498761641e-06
Position 62: 3.909932662599387e-06
Position 96: 3.881312266135747e-06
Position 661: 3.7324956384977597e-06
Position 60: 3.248909587406028e-06
Position 7: 8.638819163864183e-07
Position 970: 2.0713145781338898e-07
Position 726: 1.8516528728056827e-07
Position 487: 1.665561946454916e-07
Position 1107: 8.937324378453246e-08
Position 1141: 6.057098920604546e-08
Position 2960: 5.1888975142357285e-08
Position 1729: 5.0358166687444575e-08
Position 2295: 4.9337833885567233e-08
Position 2183: 4.6224529402867634e-08
Position 1050: 3.551417682289303e-08
Position 1453: 2.6525277656001643e-08
Position 135: 1.366156377377238e-08
Position 1328: 1.1557789401631338e-08
Position 678: 7.457660222163134e-09
