Gene = HMMR
index = 658
Annotated 5SS: [  189  3405  4253  7199  9280 10722 10914 12704 13008 13656 15123 18251
 22239 22623 22818 23696 30003]
Annotated 3SS: [ 3305  4172  7150  9090 10634 10812 12628 12828 13506 14907 18133 22091
 22469 22717 23518 29839 30561]
SMsplice 5SS: [  189  3405 10722 10914 12704 13008 18251 22239 22623 22818 30003]
SMsplice 3SS: [ 3305 10634 10795 12628 12828 18133 22091 22469 22717 29839 30561]
top_k =  1000
Partition function (log Z): 6.2470518146856975

Sorted 5' Splice Sites (High to Low Probability):
Position 22818: 0.9896974211709437
Position 22623: 0.9845724600039437
Position 3405: 0.981960661896615
Position 30003: 0.8571019921980715
Position 10722: 0.854252325248441
Position 189: 0.7985758482632216
Position 10914: 0.7590716932713061
Position 22239: 0.7241370770364041
Position 12704: 0.6703855393973907
Position 13008: 0.6638339723657409
Position 18251: 0.6563274261717729
Position 9280: 0.6493803258261202
Position 4253: 0.5941730809829192
Position 15123: 0.4753923558550849
Position 13656: 0.36942493797673087
Position 18382: 0.3465690508430643
Position 7199: 0.3184818938974951
Position 15532: 0.29549981300048317
Position 29131: 0.2021911552665793
Position 23696: 0.1940743014581011
Position 10918: 0.18524669886895218
Position 193: 0.1652616705267747
Position 25529: 0.13404780631048982
Position 8025: 0.08794653126772772
Position 1373: 0.07044130665403242
Position 14737: 0.06466743114342016
Position 7386: 0.054630029464724415
Position 18543: 0.05262283216000844
Position 24671: 0.0484322592363022
Position 24830: 0.03747106798486191
Position 24701: 0.036814034857879575
Position 30691: 0.03469485010327412
Position 22234: 0.032702783533045614
Position 19594: 0.030526978418230644
Position 25507: 0.023579339194470486
Position 12240: 0.020449390229496853
Position 4601: 0.01971228446542542
Position 11209: 0.013919801665911044
Position 3925: 0.013787046188362934
Position 446: 0.013167880399693396
Position 9859: 0.01289143966585048
Position 11670: 0.012377093571670978
Position 9749: 0.012143161484101207
Position 10742: 0.01042141753484179
Position 6771: 0.010196922169038402
Position 12267: 0.009899518641851283
Position 6351: 0.006411485953748789
Position 8169: 0.005838023563475369
Position 1312: 0.00571287823646766
Position 17979: 0.005676223148177298
Position 18061: 0.0055024450338646905
Position 70: 0.005079395762830611
Position 12311: 0.004953237043938645
Position 23116: 0.004660684125084963
Position 32: 0.004554372233683098
Position 12085: 0.004527537993597987
Position 6799: 0.004458498491863923
Position 3835: 0.004245940174276378
Position 494: 0.0039190509884706815
Position 30611: 0.003584104616695508
Position 3641: 0.003466696268188659
Position 4311: 0.0028252080891726064
Position 287: 0.0027508653563701074
Position 29964: 0.0026596388282192894
Position 25181: 0.002415712509174701
Position 3023: 0.0023289835924621177
Position 3935: 0.002271453548809909
Position 11697: 0.0022626802437030703
Position 3431: 0.002240769825538481
Position 932: 0.002235119864808873
Position 3456: 0.0022314616973141653
Position 18014: 0.0021226541809473147
Position 13422: 0.0021089076762063927
Position 14104: 0.001932210106723389
Position 4352: 0.0018073526891317462
Position 905: 0.0017152481046513856
Position 24685: 0.0016935327853916284
Position 16682: 0.0016894900095361031
Position 11674: 0.0015974624591582295
Position 772: 0.0014000424582402999
Position 22959: 0.0013711199973016472
Position 1030: 0.001333136720551671
Position 11672: 0.0013297202070125295
Position 513: 0.0013189908102400959
Position 14214: 0.0012052913765019165
Position 4289: 0.0011952921143182514
Position 15209: 0.0011374167044300035
Position 1656: 0.0011333315183542402
Position 8035: 0.0011177559810004035
Position 6022: 0.0010339726940943581
Position 14233: 0.0009401789720902992
Position 4340: 0.0009287810394060421
Position 8041: 0.0008820839834379088
Position 4679: 0.0008780571709805379
Position 29922: 0.0008209698142013901
Position 12716: 0.0007868951259395992
Position 2064: 0.0007719558854326412
Position 18498: 0.0007137189828228604
Position 3: 0.0006872349850397795
Position 1516: 0.0006447196590580928
Position 12962: 0.0006379298248222942
Position 1303: 0.0006324581075778009
Position 2762: 0.000630736417601503
Position 22822: 0.0006295686934588679
Position 1624: 0.0005933047167001619
Position 4359: 0.0005714311438727168
Position 3107: 0.0005147040598125317
Position 18940: 0.0005127270222647692
Position 23153: 0.00040810609483545664
Position 23262: 0.0003830988101108559
Position 36: 0.0003630569170289327
Position 4232: 0.00036145606596913935
Position 13447: 0.0003536827215476872
Position 2096: 0.0003042686829866122
Position 2220: 0.00029971314211684494
Position 3885: 0.0002947718402321941
Position 11931: 0.0002829221249231911
Position 20309: 0.0002639914369099768
Position 3554: 0.0002540107397894763
Position 22826: 0.00024476677815898673
Position 3685: 0.00022632223200575564
Position 3365: 0.0002184691893999778
Position 4047: 0.00021764256859097296
Position 14134: 0.00021529507402316686
Position 1352: 0.00020990040735513986
Position 3436: 0.00020656555974725018
Position 1380: 0.00019931155783756868
Position 13600: 0.0001898921372754005
Position 12984: 0.00017635716688144947
Position 1018: 0.00017201914366721965
Position 11288: 0.00016893103465407056
Position 490: 0.00016854588623516992
Position 18200: 0.00016528880927073512
Position 21705: 0.00015082096856702148
Position 1253: 0.0001466849670225395
Position 7299: 0.0001401021659652225
Position 7454: 0.00013304058609628377
Position 19947: 0.0001316894348297636
Position 8173: 0.00013166726587824355
Position 2113: 0.00012746238210254734
Position 2995: 0.0001206270799585792
Position 1576: 0.00010514898545962891
Position 23700: 9.657891999456565e-05
Position 3045: 8.523809338804313e-05
Position 2214: 8.181927321200006e-05
Position 3930: 7.700626876157556e-05
Position 5195: 7.565116783112803e-05
Position 2415: 7.332486367189254e-05
Position 22769: 7.189065946039698e-05
Position 22833: 7.053543247315255e-05
Position 3324: 7.038438474701088e-05
Position 616: 7.027406823911575e-05
Position 1863: 6.707451201017002e-05
Position 22774: 6.4260415526439e-05
Position 546: 5.350625583194567e-05
Position 3795: 5.040948713430482e-05
Position 3713: 4.572179605676365e-05
Position 3448: 4.357367988228555e-05
Position 2521: 4.288783794148485e-05
Position 1357: 4.0948838967954226e-05
Position 3199: 3.9232353362223745e-05
Position 1471: 3.560124815050875e-05
Position 21807: 3.384280290808684e-05
Position 45: 3.344958224795594e-05
Position 679: 3.134303833821405e-05
Position 307: 2.866895842601494e-05
Position 2145: 2.8314999806657238e-05
Position 2844: 2.5321201714291196e-05
Position 3501: 2.4502563856948776e-05
Position 3824: 2.220958868820328e-05
Position 3157: 2.1393901308883112e-05
Position 3707: 2.029983290483855e-05
Position 4333: 1.7587188910091942e-05
Position 742: 1.591875327493704e-05
Position 874: 1.5675222057197684e-05
Position 1469: 1.4226370540554232e-05
Position 1060: 1.3769190015798883e-05
Position 1796: 1.2947893437858174e-05
Position 555: 1.129898066157336e-05
Position 4316: 1.0855240463637689e-05
Position 1660: 1.0806121771372016e-05
Position 957: 7.932132249989181e-06
Position 1543: 7.669692909072753e-06
Position 1064: 7.401256381669126e-06
Position 2569: 6.753006855467296e-06
Position 2706: 6.722104203059165e-06
Position 403: 6.523741057155556e-06
Position 4278: 5.852732173968327e-06
Position 392: 5.00992207342843e-06
Position 1790: 4.507259177752201e-06
Position 5034: 3.805624171168203e-06
Position 4367: 3.7553426868067636e-06
Position 121: 3.6612704029360116e-06
Position 583: 3.312164263445044e-06
Position 4650: 1.5028863355711462e-06
Position 20015: 1.1644675940656438e-06
Position 18321: 6.968775557135032e-07
Position 145: 3.4954292552844344e-07
Position 12977: 1.2331187623151426e-07
Position 94: 6.618490613984023e-08
Position 77: 4.8154715501361834e-08
Position 747: 2.2096574038877508e-08
Position 716: 8.480809926990292e-09
Position 568: 8.247912989385745e-09
Position 97: 6.921425789624495e-09
Position 111: 6.216072052832663e-09
