Gene = PIGV
index = 1028
Annotated 5SS: [ 274 2899 7240]
Annotated 3SS: [2763 6117 9567]
SMsplice 5SS: [ 681 2899]
SMsplice 3SS: [2763 6117]
top_k =  1000
Partition function (log Z): -9.263256726304657

Sorted 5' Splice Sites (High to Low Probability):
Position 2899: 0.6695972539789015
Position 6212: 0.669554151837558
Position 681: 0.42399874871398746
Position 6661: 0.3151222173994603
Position 4099: 0.29642574651622894
Position 825: 0.20867904103048182
Position 4885: 0.18653536210213445
Position 6643: 0.141415537901254
Position 274: 0.1365369285791534
Position 1332: 0.13413494342671806
Position 7240: 0.0934518202319199
Position 4005: 0.0847112006691372
Position 1036: 0.0798020195725196
Position 7012: 0.06783232591753026
Position 3114: 0.06011683287253527
Position 2876: 0.05532573752597032
Position 2859: 0.03620146717852316
Position 3068: 0.031703451261246796
Position 220: 0.028492559890660983
Position 100: 0.02802602343503799
Position 1523: 0.027301689517655638
Position 6279: 0.026671833467565343
Position 9870: 0.025725155821942798
Position 1964: 0.025085513270410684
Position 735: 0.023366104231740115
Position 15: 0.019052281112907597
Position 627: 0.018103204891847708
Position 883: 0.014413308693402821
Position 9712: 0.013255955374180027
Position 6328: 0.013179231387073286
Position 699: 0.010189317278918624
Position 632: 0.008912136830450916
Position 400: 0.008684739888931118
Position 5066: 0.007963583526897185
Position 2097: 0.006451252976969898
Position 2656: 0.006426321152740599
Position 2648: 0.00576980046565867
Position 2057: 0.004671727511628316
Position 2955: 0.00459987016460268
Position 1503: 0.00421476209545431
Position 2851: 0.004200357090546237
Position 1284: 0.003968679775143564
Position 2990: 0.0034471958938614277
Position 9101: 0.0033902944334392093
Position 1562: 0.0033452807163670065
Position 3223: 0.0033437032139985307
Position 6394: 0.0030664708044301817
Position 433: 0.0029046158738841635
Position 1144: 0.0024824884299522714
Position 840: 0.002272576942688286
Position 7220: 0.0022312224547786953
Position 878: 0.0022092813988985383
Position 1272: 0.002136136285032689
Position 3244: 0.0018218196869113552
Position 637: 0.0016938117418520025
Position 1367: 0.0014072240642162123
Position 3956: 0.0012324983041852298
Position 2653: 0.0011603109485039552
Position 2111: 0.0011322860570448453
Position 3538: 0.0011282689922371637
Position 3570: 0.0010986274152986288
Position 7182: 0.0009484521852390436
Position 6342: 0.0007142215180896907
Position 2448: 0.0006501702179631342
Position 1154: 0.0005504763879676727
Position 1045: 0.0002972676213734474
Position 1040: 0.00028715389466168464
Position 1149: 0.00018513474530112528
Position 939: 0.00012323124571397525
Position 335: 0.00011713511238621178
Position 4002: 0.00011551996658520871
Position 4020: 9.352457244482308e-05
Position 544: 9.318358238423617e-05
Position 671: 8.242970563527334e-05
Position 1741: 7.897021544219226e-05
Position 1732: 3.611619442223635e-05
Position 847: 3.1325519132429626e-05
Position 451: 2.946629329904823e-05
Position 8869: 2.7707104733758796e-05
Position 249: 2.7082144522237825e-05
Position 307: 1.5213862892483983e-05
Position 431: 1.4674527142109376e-05
Position 65: 1.3416730478365825e-05
Position 709: 1.3282169874502026e-05
Position 196: 1.2414157145749191e-05
Position 564: 1.124865261001545e-05
Position 291: 1.0956934928654694e-05
Position 1081: 9.55414575887138e-06
Position 817: 8.302883915745805e-06
Position 1022: 7.935871646015424e-06
Position 851: 7.77024974868357e-06
Position 600: 6.703906881518501e-06
Position 1109: 6.257971997612853e-06
Position 1136: 5.72389908746545e-06
Position 2903: 4.731414362530909e-06
Position 280: 4.444120991693572e-06
Position 867: 4.137461599014353e-06
Position 808: 3.853082489089195e-06
Position 1609: 3.4955843973722368e-06
Position 1670: 2.998340307259555e-06
Position 829: 2.8621037604922796e-06
Position 1696: 2.3123319594894286e-06
Position 1723: 1.7955157124387512e-06
Position 212: 1.3241097329755023e-06
Position 1507: 1.1559038111859421e-06
Position 1430: 1.152235464396153e-06
Position 309: 8.720645664404476e-07
Position 757: 1.5336477189002282e-07
Position 1206: 1.2582785603352277e-07
Position 685: 1.075118166284366e-07
Position 1232: 6.257054642840183e-08
Position 246: 8.680878915211216e-09
Position 85: 1.0583980863366809e-09
Position 573: 9.590762743520949e-10
Position 437: 1.6835204029143196e-11
Position 464: 6.148087557869778e-12
