Gene = HHLA3
index = 651
Annotated 5SS: [  303 11733]
Annotated 3SS: [11638 12811]
SMsplice 5SS: [  303 11524]
SMsplice 3SS: [11340 11638]
top_k =  1000
Partition function (log Z): -10.43301619057282

Sorted 5' Splice Sites (High to Low Probability):
Position 303: 0.6051668843905095
Position 11524: 0.48060026299957637
Position 11733: 0.3911101729335254
Position 7104: 0.3680917911125996
Position 404: 0.263639601355554
Position 9015: 0.1035329427004666
Position 11728: 0.09530821773816227
Position 307: 0.08194740293290889
Position 2711: 0.08126944366137882
Position 11069: 0.080519238677328
Position 5635: 0.07047537778533104
Position 741: 0.046172848969295674
Position 8282: 0.04228151046151371
Position 154: 0.037764281907077486
Position 2614: 0.034653291954277715
Position 11546: 0.030658249878143334
Position 11544: 0.025536490700088163
Position 9148: 0.023718010275626086
Position 12180: 0.018564716461040343
Position 11438: 0.01780728711865896
Position 4664: 0.0157431579170334
Position 5748: 0.012636834700247453
Position 121: 0.012613442554974527
Position 7165: 0.012512333642660363
Position 8993: 0.010704310884006123
Position 9683: 0.007055971842370292
Position 3799: 0.005852935853130988
Position 3179: 0.005209836382126638
Position 4004: 0.004015944057732669
Position 2917: 0.00322186429455463
Position 5892: 0.0025917977305065605
Position 12366: 0.0025447372667790733
Position 6786: 0.002542897367337986
Position 9125: 0.0024729492445099755
Position 5844: 0.002182512817514708
Position 11756: 0.0019635284645117008
Position 326: 0.0016639460202835014
Position 3942: 0.0013049167050948008
Position 12326: 0.0011410125711598179
Position 149: 0.001133070943228617
Position 10781: 0.0010995651743489778
Position 2980: 0.0010418426803550313
Position 1575: 0.0008540365303544569
Position 11883: 0.000826194645617374
Position 9791: 0.0007502557068801681
Position 9473: 0.0007473266342744409
Position 4748: 0.0006611034600584099
Position 685: 0.0005431561601874575
Position 5277: 0.0005340753492105266
Position 1866: 0.0004755722677080822
Position 2413: 0.0004596376579473823
Position 3474: 0.0003987451881735483
Position 567: 0.00037787547135024655
Position 2077: 0.00036744321243358067
Position 1908: 0.00033633401668100194
Position 337: 0.0003350182001279853
Position 4217: 0.00030223206619999215
Position 1743: 0.00030084742695825367
Position 2156: 0.0002870959901712938
Position 1711: 0.0002491299531805024
Position 3380: 0.00023750632482804715
Position 5177: 0.00022823050884897245
Position 5665: 0.0001954481411763706
Position 2409: 0.00012784102345332363
Position 2419: 0.00012602718545632474
Position 114: 0.0001189450359188456
Position 37: 0.00011454586448600094
Position 2434: 5.093757284713866e-05
Position 11933: 3.679689797331104e-05
Position 160: 3.4154519112219565e-05
Position 589: 1.6095802373361225e-05
Position 238: 1.50227015604894e-05
Position 60: 1.4869103174453484e-05
Position 476: 1.0145842554016358e-05
Position 573: 6.871126539497974e-06
Position 716: 5.5041871861566135e-06
Position 2559: 3.2148842583725333e-06
Position 2610: 2.9861903933368236e-06
Position 2700: 1.8426447311547621e-06
Position 442: 1.4930555428061605e-06
