Gene = TPK1
index = 1472
Annotated 5SS: [    87    494  70174 153145 187247 212888 244631 287563]
Annotated 3SS: [   434  70101 153074 187173 212791 244483 287450 382389]
SMsplice 5SS: [    87  11663  14979  18921  51704  70174  96781  97218  99900 113919
 133078 150695 153145 171519 184115 184373 187247 187567 197185 202994
 212888 229125 244631 287563 296794 304353 304990 320007 320222 377103]
SMsplice 3SS: [ 11559  14778  18819  51573  70101  96655  97106  99799 113774 132917
 150572 153074 171371 183950 184224 187173 187427 197091 202845 212791
 229002 244483 287450 296715 304227 304883 319951 320123 376995 382389]
top_k =  1000
Partition function (log Z): -187.31682076472262

Sorted 5' Splice Sites (High to Low Probability):
Position 87: 0.8703458563202391
Position 11663: 0.6393873843706049
Position 14979: 0.604002986142313
Position 1142: 0.5077856149266686
Position 8139: 0.24168703585286935
Position 19845: 0.1607658140812681
Position 350: 0.1038430405817234
Position 8134: 0.03256641600628915
Position 1502: 0.026776596227667704
Position 6782: 0.020230666553332756
Position 14975: 0.0190700163532746
Position 1937: 0.0072778014297503486
Position 751: 0.007190496114211187
Position 6480: 0.006943073221847079
Position 7789: 0.004709203425377915
Position 494: 0.0031805241046530975
Position 168: 0.0030533105541562036
Position 161: 0.00248336181985816
Position 150: 0.00219316011314345
Position 370: 0.0018625729582133176
Position 1547: 0.0018293502559488769
Position 556: 0.0016454014282143393
Position 91: 0.001540938625187772
Position 841: 0.0007790211656603284
Position 253: 0.0007582007679329499
Position 6043: 0.0007349586745619074
Position 6572: 0.0006340094167631271
Position 1447: 0.0005986044430346631
Position 702: 0.0004908048627947384
Position 858: 0.00044861032115752294
Position 7651: 0.00044420690246403075
Position 5195: 0.00042103566657411686
Position 374: 0.00038304154860516816
Position 290: 0.000353357241023286
Position 514: 0.0002590176073280202
Position 258: 0.0002451351492974359
Position 1167: 0.00020218934925305535
Position 3018: 0.00018751150577813103
Position 625: 0.00018295077751649954
Position 1597: 0.0001797892286655556
