Gene = OSTN
index = 988
Annotated 5SS: [ 102 6429]
Annotated 3SS: [ 6213 37503]
SMsplice 5SS: [  102  6429 10429]
SMsplice 3SS: [ 6213 10219 37503]
top_k =  1000
Partition function (log Z): -16.22108925847023

Sorted 5' Splice Sites (High to Low Probability):
Position 102: 0.9940862449565748
Position 10429: 0.8826041778123526
Position 6429: 0.7163765451339799
Position 10261: 0.39505236041228015
Position 6419: 0.24187329560372758
Position 3209: 0.05717746829788722
Position 5858: 0.05064691178429347
Position 8100: 0.044708739993996285
Position 9822: 0.04302765368973274
Position 8640: 0.04292078676569626
Position 3517: 0.04003095732149657
Position 19204: 0.029135397388900024
Position 6550: 0.026949733808571654
Position 6782: 0.026713926641822438
Position 7761: 0.026567099836624898
Position 10179: 0.02589652553052827
Position 7016: 0.025865009030850587
Position 10310: 0.0235421709546733
Position 6100: 0.020698356431831925
Position 16770: 0.01877148375998863
Position 13872: 0.017885986725359224
Position 5151: 0.016787680635003372
Position 8472: 0.013911866545917613
Position 4283: 0.013828476612094144
Position 10965: 0.013770404895683963
Position 9002: 0.012805767791869867
Position 676: 0.010855655973972443
Position 9534: 0.008620084843570052
Position 6119: 0.008001011112755566
Position 5876: 0.007930054353518628
Position 21765: 0.007165869882986119
Position 8524: 0.0061734605847935334
Position 8676: 0.00587972332971052
Position 8721: 0.005391108845677988
Position 616: 0.0051653743717138345
Position 8750: 0.004599404736644486
Position 5908: 0.0045519071468170585
Position 5583: 0.004393547183869375
Position 6032: 0.004257408377245488
Position 9053: 0.003632406989461703
Position 10087: 0.0036177385034818054
Position 7417: 0.0035341951731644498
Position 5370: 0.003439406104031364
Position 10314: 0.0033759780471585114
Position 3466: 0.0032055653183212123
Position 1615: 0.0028780449678102492
Position 205: 0.002494357562611627
Position 8966: 0.002465054939766592
Position 1188: 0.0021405256506034824
Position 10071: 0.0020317862369333226
Position 13785: 0.0019930540944143905
Position 1552: 0.0018135068522027761
Position 5255: 0.0017884132576677975
Position 1108: 0.0016392267497918694
Position 1500: 0.0015880335215894541
Position 1635: 0.001525263162729189
Position 1734: 0.0015080574543100064
Position 3664: 0.0014048855993761002
Position 2803: 0.0012909294248067014
Position 687: 0.0012807165325001168
Position 433: 0.0012259378657521348
Position 2629: 0.0011736237721924993
Position 2680: 0.0011328528177076288
Position 3032: 0.00107260813279737
Position 5477: 0.0010384035347324515
Position 11273: 0.0009449118160964054
Position 3256: 0.0009266199932318503
Position 2603: 0.0008739270522318863
Position 81: 0.0008089272766497017
Position 2512: 0.0007939087460665415
Position 3493: 0.0006974138127702772
Position 9090: 0.0006950817967206096
Position 87: 0.0006931794606203107
Position 1630: 0.0006428083507227891
Position 12469: 0.0006158297831800141
Position 754: 0.0005620990955632213
Position 3406: 0.0005346325992815096
Position 5659: 0.00045208375504530567
Position 8815: 0.00042918508043000196
Position 12437: 0.00033208127817204624
Position 5813: 0.0003011484440792308
Position 9987: 0.000279414466738486
Position 2597: 0.00027318499814799936
Position 971: 0.00026137728102550514
Position 465: 0.0002390514947097928
Position 3005: 0.00022559277597272522
Position 878: 0.00021817806175440646
Position 3614: 0.00020787987271232673
Position 5533: 0.00017268244668273638
Position 1358: 0.00016408019757307738
Position 2857: 0.0001482415072921289
Position 2249: 0.00014436212997424573
Position 3551: 0.00013683809422131808
Position 1283: 0.00012797910987848737
Position 997: 0.00012764426032455426
Position 3191: 0.0001264392067751473
Position 653: 0.00012541809031890968
Position 1524: 0.00011986473975300822
Position 976: 0.00010980492239083124
Position 4412: 0.00010915127002877417
Position 11147: 8.10021702578665e-05
Position 8828: 7.666735200394563e-05
Position 6566: 1.360946322334922e-05
Position 9944: 1.2912599891882769e-05
Position 162: 8.817227552783888e-06
Position 72: 7.573117663597532e-06
Position 2747: 4.676770660019462e-06
Position 2763: 2.9694359728887658e-06
Position 799: 2.633939591525111e-06
Position 1776: 2.4262034876130725e-06
Position 166: 2.3509169315596096e-06
Position 1369: 2.2793362973459276e-06
Position 2215: 2.232604096813047e-06
Position 1782: 1.96554616413e-06
Position 2989: 1.889126480003304e-06
Position 22: 1.1106039846113668e-06
Position 137: 8.001465514546403e-07
Position 276: 3.654500010439273e-07
Position 1090: 3.641477022715164e-07
Position 1287: 3.0112094444163543e-07
Position 3419: 2.977923276216903e-07
Position 709: 2.350288012770848e-07
Position 6968: 2.188292692309788e-07
Position 6927: 2.0169697450472488e-07
Position 1702: 1.8046079131904515e-07
Position 1032: 1.3224435612945244e-07
Position 599: 1.20820438381842e-07
Position 1278: 1.1407140127134498e-07
Position 1281: 9.068862648203732e-08
Position 1009: 7.621242513506335e-08
Position 1076: 6.25475890349524e-08
Position 1135: 4.502447915356389e-08
Position 56: 4.219410666416712e-08
Position 825: 2.7984064078175706e-08
Position 42: 2.3485163354194024e-08
Position 1059: 9.259978363638356e-09
Position 867: 9.137191812793433e-09
Position 309: 2.7566489783302896e-09
Position 519: 4.786993865522199e-10
Position 397: 2.602983011737999e-10
Position 485: 2.4507234539667717e-10
Position 315: 7.064330716732218e-11
Position 530: 5.2781782285596694e-11
Position 553: 3.5862976302641474e-11
Position 1482: 3.47753391086507e-11
Position 510: 2.3644894743344025e-11
Position 389: 2.3037587479449362e-11
Position 364: 1.1675309667273903e-11
Position 1385: 1.1499315477704871e-11
Position 374: 9.880027002412733e-12
Position 394: 9.175130256982757e-12
Position 767: 5.456661801528598e-12
Position 1222: 4.943971712344996e-12
Position 853: 3.087241952417622e-12
Position 757: 1.0681926419863825e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 6213: 0.9109692987657544
Position 10219: 0.4708681580624457
Position 10348: 0.4616371765877299
Position 23098: 0.22245500906531596
Position 10070: 0.21493036499237061
Position 10012: 0.18977201181545267
Position 21641: 0.16402402779528177
Position 20928: 0.1021583982803293
Position 5754: 0.09363640509756349
Position 25567: 0.08418219889098914
Position 22796: 0.056271576392242804
Position 23273: 0.04972373924672302
Position 13894: 0.04958198682896247
Position 6325: 0.04518070515678906
