Gene = ISG15
index = 719
Annotated 5SS: [154]
Annotated 3SS: [560]
SMsplice 5SS: [154]
SMsplice 3SS: [560]
top_k =  1000
Partition function (log Z): -6.464890904144785

Sorted 5' Splice Sites (High to Low Probability):
Position 154: 0.9095425694656988
Position 347: 0.1913922915284848
Position 172: 0.05293064491045174
Position 182: 0.01282419773782067
Position 274: 0.008209584995509727
Position 473: 0.0046555800055954975
Position 320: 0.004158274970158598
Position 849: 0.00354693725314088
Position 299: 0.002488949923160451
Position 371: 0.002197550465115584
Position 390: 0.001909077831758898
Position 709: 0.001679559154386183
Position 813: 0.001365712926727182
Position 227: 0.0004990718552857496
Position 606: 0.0003985761872216816
Position 888: 0.00023475733577420796
Position 27: 0.00020498215438623945
Position 439: 0.00015759475252171668
Position 511: 0.00014126897173399937
Position 107: 0.0001054279743302258
Position 281: 0.00010150189557694645
Position 56: 6.181413651724772e-05
Position 626: 5.834594632761276e-05
Position 576: 4.4463904296870076e-05
Position 207: 2.6047788871924737e-05
Position 504: 2.231459989951772e-05
Position 238: 1.1066644940271858e-05
Position 29: 8.812955119081513e-06
Position 422: 7.3128416241283466e-06
Position 904: 3.732171463369104e-06
Position 283: 3.5422502464105493e-06
Position 729: 3.464476358443604e-06
Position 768: 2.1220162398722118e-06
Position 119: 1.0312235203331706e-06
Position 632: 2.1290074578977456e-07
Position 630: 2.0468956593178084e-07
Position 31: 5.487296053379072e-08
Position 688: 4.751487674615372e-08
Position 506: 1.7230745126296476e-08
Position 124: 4.764373540122449e-09
Position 413: 3.6765897427268945e-09
Position 508: 1.213536240823635e-09
Position 165: 9.804636084368984e-10
Position 497: 9.226362758843065e-10
Position 404: 6.901137659099752e-10
Position 777: 3.8042530340179216e-10
Position 191: 3.2635372466865343e-10
Position 465: 2.6598734790361372e-11
Position 534: 2.0173662595833923e-13
Position 546: 6.737474575507377e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 560: 0.846155991526295
Position 221: 0.21249234177574794
Position 605: 0.07202737253977706
Position 478: 0.017308310700762115
Position 636: 0.009713977204081134
Position 534: 0.006865741432922807
Position 226: 0.006618431484193477
Position 619: 0.004963686673760015
Position 938: 0.002653388367547313
Position 884: 0.0023105451300593736
Position 235: 0.0022856112365167492
Position 763: 0.0017960695446860716
Position 581: 0.0017908819863094536
Position 722: 0.0012764058372783664
Position 683: 0.0011309081762031212
Position 243: 0.0009937625799841543
Position 298: 0.000917733052885422
Position 493: 0.0008000989173921919
Position 1035: 0.0006650898840209679
Position 1079: 0.0005493639465671987
Position 742: 0.0005043849011239572
Position 838: 0.0004768220812693216
Position 746: 0.00045372323541100374
Position 944: 0.00034827927410383615
Position 390: 0.0003360071896899831
Position 706: 0.00033053658797687783
Position 346: 0.00027964919618694
Position 318: 0.00027917730641258294
Position 442: 0.0002665438785851837
Position 686: 0.00024118133842875375
Position 911: 0.00022402559841871468
Position 959: 0.00020508407947491104
Position 835: 0.00020103345350190623
Position 881: 0.00016013258724396253
Position 827: 0.00014764024076466622
Position 404: 0.00014503623318316746
Position 863: 0.00011810896979024801
Position 644: 0.00011183476905012732
Position 378: 8.488608094283906e-05
Position 497: 7.902548141180075e-05
Position 330: 6.797627899589797e-05
Position 295: 6.29933628235749e-05
Position 481: 5.63124423501e-05
Position 1068: 5.189829634798412e-05
Position 1056: 4.822318033904687e-05
Position 444: 4.5360702763295514e-05
Position 134: 3.495221135836401e-05
Position 805: 3.197360477034618e-05
Position 817: 2.991966772410454e-05
Position 1100: 2.771093285456113e-05
Position 727: 2.624177992303771e-05
Position 616: 2.4410700114191683e-05
Position 1026: 1.6889262681599105e-05
Position 650: 1.571472210355652e-05
Position 953: 1.563240084582444e-05
Position 974: 1.554792654236298e-05
Position 352: 1.5414824201333558e-05
Position 986: 1.3991681082084352e-05
Position 397: 1.2548849403420434e-05
Position 343: 1.1758458836216792e-05
Position 273: 1.0026241463685074e-05
Position 638: 8.617535224313763e-06
Position 449: 6.1004266421608346e-06
Position 1112: 5.721351669969977e-06
Position 848: 5.558375813352785e-06
Position 112: 5.4149984602667465e-06
Position 662: 4.1721239756311815e-06
Position 659: 3.6850690414173064e-06
Position 1051: 3.1575682791217587e-06
Position 249: 2.0602867635372518e-06
Position 262: 2.003565296559925e-06
Position 1086: 1.6759552372325328e-06
Position 994: 1.526772897115867e-06
Position 247: 1.5126035416967707e-06
Position 107: 1.080443420297759e-06
Position 310: 7.181840377095459e-07
Position 141: 2.9844800065430333e-07
Position 281: 2.2589653481719616e-07
Position 197: 1.6946557015102393e-07
Position 89: 1.693251907968149e-07
Position 264: 1.610072316329216e-07
Position 332: 1.3494119895266978e-07
Position 356: 7.9596182581032e-08
Position 148: 7.402101695375356e-08
Position 254: 4.164010166384196e-08
Position 171: 3.506987937277119e-08
Position 456: 8.892971118810305e-09
Position 453: 7.723312231239948e-09
Position 115: 1.2248347866648975e-10
Position 158: 1.0906984651599493e-11
Position 162: 1.0696089807947882e-11
Position 181: 1.4566170974314324e-12
