Gene = FTSJ2
index = 568
Annotated 5SS: [  37 2781]
Annotated 3SS: [2490 6633]
SMsplice 5SS: [471]
SMsplice 3SS: [2490]
top_k =  1000
Partition function (log Z): -10.964889794713873

Sorted 5' Splice Sites (High to Low Probability):
Position 2669: 0.4703896334630667
Position 471: 0.2754333319435136
Position 3865: 0.15999978540811324
Position 283: 0.15864724820855705
Position 2781: 0.14702875754940814
Position 554: 0.1374792518504783
Position 224: 0.12234310456623051
Position 37: 0.11823899247402399
Position 4184: 0.10993885552680983
Position 2627: 0.06630878450699121
Position 903: 0.05440916876125727
Position 359: 0.03850605109155735
Position 3018: 0.02767231601118929
Position 2274: 0.023431739167879422
Position 86: 0.018071775563578998
Position 1511: 0.018005512761332703
Position 1355: 0.014748845683226623
Position 1543: 0.013639146597977103
Position 2747: 0.011619353310889206
Position 478: 0.00870514463276057
Position 4843: 0.007185881689162864
Position 721: 0.007138920946232469
Position 2491: 0.006223326440334029
Position 948: 0.005269178532933195
Position 2762: 0.004517319959196029
Position 1881: 0.003014338272028469
Position 695: 0.002944587558956331
Position 1272: 0.002789172971655864
Position 1083: 0.0024378988556145774
Position 1684: 0.002329284866073884
Position 698: 0.0022435860906627574
Position 4890: 0.0021774012998817672
Position 2504: 0.00215484211899865
Position 3747: 0.0021451147460644438
Position 5483: 0.0021385354344237895
Position 1156: 0.0020566047607754627
Position 192: 0.0019120695364905531
Position 108: 0.0018753026959334367
Position 2246: 0.0018058782731611885
Position 4011: 0.001706537652410929
Position 6759: 0.00166299898511468
Position 5805: 0.0016615783894873047
Position 5539: 0.001651584901163645
Position 4758: 0.001618359268168266
Position 5033: 0.0014837443746552777
Position 1851: 0.001425526773673846
Position 4188: 0.0013354045682843865
Position 127: 0.0011113736404366056
Position 3526: 0.0009593619101089896
Position 1516: 0.0009122087270525215
Position 393: 0.0008548198392781988
Position 496: 0.0007141181529251426
Position 998: 0.0006559260230082788
Position 1463: 0.0006379190192179265
Position 3869: 0.0006320513928207977
Position 2718: 0.0005926538166026716
Position 2283: 0.0005911797066799315
Position 2903: 0.0005507345915213812
Position 2708: 0.0005435796857834594
Position 79: 0.0005212414303893484
Position 804: 0.0005176547755607611
Position 1680: 0.0004911803470680742
Position 966: 0.00048757293734525575
Position 3903: 0.0004609957143627921
Position 908: 0.0004051848300295781
Position 3851: 0.0003901000966470904
Position 1348: 0.00036551718000037896
Position 4535: 0.0003440807953747423
Position 551: 0.00029840550345610896
Position 830: 0.0002144145137418742
Position 2641: 0.00017534098648949503
Position 2921: 0.00016113684427578116
Position 673: 0.00015144442565142164
Position 95: 0.00012682610759448738
Position 1428: 0.000114823878301086
Position 1090: 7.155093973928903e-05
Position 1823: 6.904130793398261e-05
Position 1654: 6.159798456967769e-05
Position 1804: 5.309432100193772e-05
Position 510: 4.996100848890814e-05
Position 61: 4.99572105001396e-05
Position 1162: 4.305101099363765e-05
Position 1528: 3.653537438574158e-05
Position 277: 3.2734205094462134e-05
Position 1896: 3.16383472949442e-05
Position 4609: 2.495639345895883e-05
Position 76: 2.369111365926464e-05
Position 198: 2.250190084001667e-05
Position 1040: 1.5455614673572434e-05
Position 811: 1.0566619817766218e-05
Position 1304: 7.347060465175818e-06
Position 3482: 6.974247980038565e-06
Position 1775: 5.916455461858347e-06
Position 251: 5.686484148554828e-06
Position 1522: 5.674288526591871e-06
Position 1547: 5.353260804936468e-06
Position 1363: 5.338202505840714e-06
Position 1729: 4.338096669047087e-06
Position 1209: 3.7766818681373287e-06
Position 2967: 7.144597308425807e-07
Position 2753: 7.143208698791083e-07
Position 2710: 5.06668006555755e-07
Position 2975: 2.2678474144402453e-07
Position 2829: 1.9994468396344351e-07
Position 2540: 1.7873149996552057e-07
Position 3038: 1.7532405022385878e-07
Position 482: 1.376253229583019e-07
