Gene = CHTOP
index = 371
Annotated 5SS: [ 295 2605 4400 8381 9316]
Annotated 3SS: [ 2522  4245  8196  9177 11014]
SMsplice 5SS: [ 295 2605 4400 5403 6362 9316]
SMsplice 3SS: [ 2522  4245  5318  6158  9177 11014]
top_k =  1000
Partition function (log Z): 3.570257788909317

Sorted 5' Splice Sites (High to Low Probability):
Position 2605: 0.9943452975055224
Position 9316: 0.9420284367988001
Position 295: 0.8964739787623134
Position 6362: 0.803539883837865
Position 5403: 0.7904371028366624
Position 4400: 0.6215653147763216
Position 94: 0.4697525890686432
Position 7804: 0.21828669572477016
Position 4561: 0.20422069716374344
Position 8216: 0.17270451653920485
Position 11629: 0.15023680310187865
Position 7614: 0.14767055654075828
Position 8381: 0.14137807345383038
Position 12061: 0.0873114119839465
Position 11084: 0.07492602019808263
Position 6068: 0.05947538588549084
Position 8601: 0.04328912002211713
Position 11251: 0.023352780102905098
Position 7936: 0.020184700929017668
Position 7026: 0.01942062624408068
Position 219: 0.01722254163059038
Position 3260: 0.016768068842234477
Position 2205: 0.016320138134388595
Position 10398: 0.015117293953198403
Position 328: 0.012720123341271667
Position 4975: 0.01241091152766612
Position 5668: 0.010783503051133016
Position 9842: 0.009981587506679452
Position 5415: 0.009792393026893166
Position 9256: 0.009521236222554632
Position 1554: 0.008478969840667398
Position 7769: 0.008242450973654876
Position 7568: 0.00767884338733947
Position 10542: 0.006738328615586623
Position 11015: 0.0057220427802839305
Position 8238: 0.004653165788896668
Position 305: 0.0043736587782336935
Position 1541: 0.004162462691191282
Position 11021: 0.004000861926589461
Position 9310: 0.003906725757695926
Position 2016: 0.0037947371577499722
Position 668: 0.003377273775773495
Position 11717: 0.003214639498755619
Position 5686: 0.0027065304473587
Position 5139: 0.002622211728987253
Position 1037: 0.002603263371107592
Position 3214: 0.0022275281168742723
Position 6664: 0.0021296950600735143
Position 8943: 0.0020683556193928066
Position 2984: 0.0019011652751596967
Position 3902: 0.0018756549618916972
Position 8572: 0.0017749536763298338
Position 568: 0.001738009939681643
Position 3386: 0.0017255858207989585
Position 9247: 0.0016015980552641434
Position 6403: 0.0015895569643350484
Position 3201: 0.0015128266356236588
Position 1496: 0.0014711255507499734
Position 3503: 0.001452758498351149
Position 6715: 0.0014396304247143322
Position 1081: 0.0012650754954383289
Position 2973: 0.0012253023789036007
Position 11267: 0.0010916964422971666
Position 2277: 0.001028837188242593
Position 4144: 0.000961603728581392
Position 492: 0.000912939110807566
