Gene = HMCES
index = 654
Annotated 5SS: [   66  1076 10158 11965 19696 23303]
Annotated 3SS: [  869 10013 11838 19513 23109 25748]
SMsplice 5SS: [   66 10158 11965]
SMsplice 3SS: [10013 11838 25748]
top_k =  1000
Partition function (log Z): -13.641830914620535

Sorted 5' Splice Sites (High to Low Probability):
Position 10158: 0.9077659795555172
Position 11965: 0.7478052082833563
Position 1076: 0.5984857669730111
Position 66: 0.386848862829322
Position 364: 0.26372903400725983
Position 3714: 0.249248435007086
Position 14871: 0.22640717397244295
Position 4300: 0.11680129637311773
Position 372: 0.10510341099194843
Position 43: 0.09211588214020547
Position 837: 0.0745262512311485
Position 458: 0.059319587355246804
Position 19240: 0.04660776481673536
Position 3674: 0.04151551454906345
Position 24: 0.016438979665485482
Position 18256: 0.016432460635512194
Position 8596: 0.01053708933480159
Position 14334: 0.008722147629468859
Position 204: 0.006661741530866317
Position 15970: 0.004496382285778333
Position 478: 0.0032587185355451025
Position 18758: 0.0032376663793267026
Position 11571: 0.0031551052671620824
Position 11378: 0.002731566946833973
Position 12733: 0.002688234236909383
Position 11587: 0.0025365043321978645
Position 1003: 0.0025337371453148425
Position 16103: 0.002501554978139673
Position 17432: 0.0023157008650118594
Position 1142: 0.001820360370372776
Position 16135: 0.0015312374941713303
Position 2793: 0.0014224996383810696
Position 2241: 0.0012586272795643435
Position 99: 0.0010023912501777817
Position 3997: 0.0009376161569946678
Position 4343: 0.0008934484487275915
Position 17316: 0.0008286145035857478
Position 2201: 0.0008064080476342885
Position 2670: 0.0007580937878582403
Position 14114: 0.0007530318862455924
Position 2638: 0.0004867003164120118
Position 465: 0.0004016451199167692
Position 16304: 0.0003639350066635672
Position 12182: 0.0003427112823659223
Position 482: 0.0002812020131966948
Position 756: 0.0002594240797876885
Position 3029: 0.00013530058789634202
Position 2787: 8.547938039065974e-05
Position 2710: 8.470009797299643e-05
Position 93: 7.525888161589628e-05
Position 284: 6.572082459455201e-05
Position 1137: 6.497634710128495e-05
Position 780: 5.844444593112797e-05
Position 3972: 4.3477939515801465e-05
Position 870: 4.047664601782369e-05
Position 685: 2.7558633743813357e-05
Position 337: 1.8060860747528645e-05
Position 589: 1.0978191836388494e-05
Position 521: 9.401337791320923e-06
Position 859: 7.071320720421816e-06
Position 1116: 4.94888996579658e-06
Position 1561: 4.5344798670749026e-06
Position 535: 4.264283221212653e-06
Position 33: 3.4941660859422357e-06
Position 759: 3.295498582079334e-06
Position 727: 2.8026634835868973e-06
Position 663: 1.4717746119331975e-06
Position 1999: 6.639379927714655e-07
Position 443: 4.1208064835773737e-07
Position 2324: 2.5468983350036374e-07
Position 1122: 2.3018596291632357e-07
Position 227: 2.2909382448638818e-07
Position 1475: 2.277471041444007e-07
Position 2035: 2.1201878087078792e-07
Position 1270: 1.3327302940835025e-07
Position 1985: 1.1972155219143972e-07
Position 2003: 9.948830121858725e-08
Position 2474: 9.051203255950369e-08
Position 2005: 6.054891317134988e-08
Position 1430: 4.615844819278978e-08
Position 1987: 4.5422837245499655e-08
Position 1989: 1.2597708109392543e-08
Position 1206: 2.2845739443374036e-10
Position 1046: 3.627165811196632e-11
Position 1026: 1.995851782698072e-11
Position 1054: 1.8633196896395617e-11
Position 438: 6.936191621916095e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 11838: 0.5498142536318958
Position 10013: 0.4400225308377039
Position 869: 0.2962824194260066
Position 25748: 0.2895559960590551
Position 924: 0.27211725697750916
