Gene = ABHD10
index = 3
Annotated 5SS: [ 169 2933 7341 8017]
Annotated 3SS: [ 2748  7228  7878 12341]
SMsplice 5SS: [ 169 3623 7341 8017]
SMsplice 3SS: [ 3487  7228  7878 12341]
top_k =  1000
Partition function (log Z): 2.462479097304938

Sorted 5' Splice Sites (High to Low Probability):
Position 8017: 0.9987463000920623
Position 169: 0.9879336970403877
Position 7341: 0.9187265237366699
Position 3623: 0.801482033597782
Position 2933: 0.5429947706874917
Position 5476: 0.3758245391455676
Position 11717: 0.34352001126786214
Position 5869: 0.26466699643680025
Position 1857: 0.24877647286612137
Position 3198: 0.22568982480109412
Position 5413: 0.20917047917931425
Position 3171: 0.1728460525879071
Position 7680: 0.15205544750787595
Position 8682: 0.09693740967222378
Position 7528: 0.09164713925524628
Position 10271: 0.07131155831610816
Position 4699: 0.069492706870917
Position 9437: 0.06188181192015777
Position 7043: 0.05053027699622241
Position 7068: 0.04648133407413664
Position 10149: 0.0407199869074564
Position 5863: 0.03793052192924554
Position 13540: 0.030891683409929028
Position 12704: 0.025393212601127955
Position 5520: 0.024145394919532607
Position 11739: 0.02236507374117795
Position 2262: 0.02099877734644059
Position 8972: 0.0204681417030593
Position 4431: 0.018610775719311617
Position 7357: 0.018460034160394108
Position 9089: 0.017472301808098195
Position 10344: 0.012443493746767358
Position 11607: 0.012047311786020757
Position 12367: 0.011348177659654757
Position 10457: 0.011265394775914005
Position 5404: 0.011010509021547456
Position 5668: 0.010179909461740026
Position 7261: 0.008368840435795995
Position 13570: 0.007086673443089699
Position 13511: 0.006932640229497043
Position 2875: 0.006329682663181451
Position 11723: 0.006077031246899129
Position 1521: 0.005454137797461888
Position 827: 0.005320511513240903
Position 7570: 0.004581717013240679
Position 2219: 0.004064709237229451
Position 5430: 0.0037939194733016177
Position 9897: 0.0032629807301982863
Position 7374: 0.0031924826197489787
Position 869: 0.0031252935021461826
Position 223: 0.0026392274330734144
Position 12543: 0.0025262492977469963
Position 8716: 0.0025098708145870037
Position 244: 0.0023983007545529352
Position 63: 0.0016385647683803415
Position 12419: 0.001615474585261988
Position 12043: 0.0015930409785807154
Position 12414: 0.0015026880677857083
Position 3304: 0.0014903145330694275
Position 3013: 0.0012886946616618312
Position 2038: 0.0012016281393112456
Position 3405: 0.0011814551534002162
Position 3076: 0.0011677012949786948
Position 2128: 0.0011609408996477435
Position 2917: 0.0009893464448407984
Position 4767: 0.0009624870255353885
Position 1869: 0.0009579789999148011
Position 1976: 0.0009405049419750551
Position 2392: 0.0009363691013034107
Position 7663: 0.0008035468025008438
Position 6844: 0.0008033845743649383
Position 332: 0.0007246194758558067
Position 190: 0.0006445594540457032
Position 967: 0.0005763904512116224
Position 4915: 0.0005474536031969754
Position 3669: 0.0005367400954037136
Position 5103: 0.00046953888912583527
Position 7: 0.00041033595308111816
Position 7496: 0.0003930788921449812
Position 4054: 0.0003869690418609137
Position 7078: 0.00037586598425616975
