Gene = DMAP1
index = 450
Annotated 5SS: [  73  404  987 1444 5015 5301 5787 6023 6424 6855]
Annotated 3SS: [ 293  894 1247 4855 5132 5600 5950 6350 6561 7103]
SMsplice 5SS: [  73  404 5015 5301 5787 6023 6424 6855]
SMsplice 3SS: [ 293 4855 5132 5600 5950 6350 6561 7103]
top_k =  1000
Partition function (log Z): 18.671868863308912

Sorted 5' Splice Sites (High to Low Probability):
Position 5301: 0.9973007837519947
Position 6424: 0.9964749087091974
Position 5787: 0.8958719527700402
Position 73: 0.7856954620991924
Position 6855: 0.7828259226100124
Position 1444: 0.7491990389987242
Position 5015: 0.7392576953963367
Position 6023: 0.5965797537682564
Position 404: 0.5679966434034263
Position 1865: 0.42712596594913915
Position 6027: 0.3912191016649606
Position 2044: 0.2512540114345317
Position 1851: 0.22251756031166145
Position 1162: 0.1608314459984567
Position 1015: 0.15517145257723772
Position 3974: 0.15419624135507273
Position 440: 0.14172674281533848
Position 6665: 0.11880055266761527
Position 5795: 0.07194608711355391
Position 3722: 0.06655782586391008
Position 604: 0.04844900388532715
Position 6989: 0.04304808660807792
Position 499: 0.04286018609531433
Position 991: 0.04276243062262932
Position 208: 0.03876729515846213
Position 6715: 0.037101161417083216
Position 95: 0.0326296698726499
Position 4993: 0.029535650499020787
Position 3773: 0.02589607890103198
Position 1324: 0.020388381675647525
Position 128: 0.012274262348973938
Position 317: 0.007801374485205651
Position 1167: 0.007586892039554704
Position 3931: 0.007095041223980498
Position 2687: 0.006969986595233569
Position 6102: 0.006436355858734436
Position 4865: 0.006202913421789151
Position 1869: 0.005068136964863721
Position 1434: 0.004464723177683771
Position 2069: 0.0030102756926864557
Position 6624: 0.002862601709057731
Position 802: 0.002811502640475619
Position 590: 0.002710323046056486
Position 3215: 0.0018544985408640348
Position 6898: 0.001726773223468246
Position 6180: 0.0017049628007693197
Position 6828: 0.001579952773327024
Position 81: 0.001495108308764341
Position 2671: 0.0014842764876755185
Position 3197: 0.0013842761820536532
Position 1006: 0.001352140275563162
Position 6420: 0.0012653136119144418
Position 1524: 0.0011447456779128079
Position 639: 0.0010845255925235257
Position 6418: 0.0009370218951231229
Position 6995: 0.0008910627120299894
Position 5193: 0.0007443872031477886
Position 806: 0.0007427612607958391
Position 4509: 0.0007126692447170684
Position 44: 0.0006241692702288043
Position 3532: 0.0006130411430781915
Position 1703: 0.0005333851826161092
Position 425: 0.00045406344966191344
Position 110: 0.0004375405615079279
Position 3927: 0.00038620996345253573
Position 6000: 0.00038460988032735783
Position 5162: 0.0003641767678616249
Position 641: 0.0003293681788443016
Position 6141: 0.00028984901239242515
Position 5816: 0.0002756502676450985
Position 700: 0.00022587955575364198
Position 6969: 0.00021310950329080883
Position 6048: 0.00020650389237045493
