Gene = AVL9
index = 121
Annotated 5SS: [  314 47773 49291 53430 55935 56807 58279 59108 63140 63976 74666 77930
 80584 84784 85402]
Annotated 3SS: [47651 49204 53357 55844 56739 58237 59068 63069 63439 74530 77709 80465
 84729 85312 88302]
SMsplice 5SS: [  314 29615 36259 47773 49291 53430 53643 55935 59108 63140 74666 80584
 85402]
SMsplice 3SS: [29525 36125 47651 49204 53357 53577 55844 59068 63069 74530 80465 85312
 88302]
top_k =  1000
Partition function (log Z): -48.66758784285559

Sorted 5' Splice Sites (High to Low Probability):
Position 314: 0.9758405937021066
Position 9025: 0.2785154139303852
Position 560: 0.20341241975951957
Position 841: 0.10105516328008642
Position 721: 0.06679189841410738
Position 11287: 0.036180363477545614
Position 12437: 0.03456764574777869
Position 4470: 0.026875021763702957
Position 567: 0.025759129149231376
Position 9051: 0.024834724108547982
Position 13886: 0.020922077028495276
Position 9320: 0.018194725105430288
Position 6881: 0.017674630721124858
Position 6478: 0.016630696955293314
Position 9055: 0.014888969856618615
Position 9124: 0.014152582253904216
Position 5586: 0.013455448811045066
Position 4474: 0.012802367611178356
Position 9663: 0.00813230416233539
Position 156: 0.004500498295654115
Position 11009: 0.003367861015536348
Position 11148: 0.002426662583641083
Position 564: 0.0020989866895094666
Position 924: 0.0018762960293754072
Position 6735: 0.0017934502246729057
Position 4229: 0.0015004829236990513
Position 5534: 0.0013175414315859239
Position 4812: 0.001163312937789889
Position 8337: 0.0010477092133262984
Position 7373: 0.0008001903191837952
Position 7: 0.00044422253128217193
Position 98: 0.00029447615106028646
Position 758: 0.00028553789037410234
Position 571: 0.0002555879895305933
Position 5403: 0.00010242816252289137
Position 2700: 8.127746663866806e-05
Position 6931: 7.879343629505998e-05
Position 4522: 7.007786961745754e-05
Position 550: 6.432397152533213e-05
Position 530: 6.0838905679867646e-05
Position 1150: 5.927530462479508e-05
Position 2105: 4.62983642481511e-05
Position 1654: 4.376845878551105e-05
Position 5212: 3.9133513147856136e-05
Position 135: 2.8911867349318806e-05
Position 3890: 2.834218509499497e-05
Position 5620: 2.5716407045521223e-05
Position 665: 2.5263761330114296e-05
Position 646: 2.0150984673704328e-05
Position 2049: 1.9716214001595462e-05
Position 284: 1.9259483021052585e-05
Position 111: 1.8244742318775652e-05
Position 2442: 1.8221554662231174e-05
Position 278: 1.594066863491727e-05
Position 161: 1.4697593763372242e-05
Position 198: 1.2379747712408178e-05
Position 345: 9.532542375396085e-06
Position 192: 8.665421935641593e-06
Position 1323: 8.56644133549358e-06
Position 353: 6.3501979762226715e-06
Position 281: 5.009644585883781e-06
Position 590: 3.550602446916386e-06
Position 164: 2.9295812262356634e-06
Position 667: 1.4057391877507743e-06
Position 684: 1.3353706901630925e-06
Position 558: 1.1108123479782047e-06
Position 266: 1.0283823674116185e-06
Position 595: 9.231647589144448e-07
Position 388: 7.785517989183334e-07
Position 186: 4.1498231173498213e-07
Position 2481: 1.6179211738365685e-07
Position 116: 1.090147110338721e-07
Position 251: 4.9190844446462083e-08
Position 390: 4.598269063198819e-08
Position 733: 4.406213428375979e-08
Position 1686: 3.477671707728852e-08
Position 1505: 3.4672412169221016e-08
Position 636: 3.173810493642534e-08
Position 836: 3.026444262094952e-08
Position 980: 2.023909980645143e-08
Position 783: 1.6848287721608972e-08
Position 1874: 1.6846334803951003e-08
Position 1966: 1.628913724245168e-08
Position 846: 1.2095294364967913e-08
Position 1808: 1.2070111178908425e-08
Position 1515: 1.1829438246561643e-08
Position 699: 1.0701980721624519e-08
Position 195: 1.0409074792021016e-08
Position 1137: 8.665196501985142e-09
Position 1588: 8.46433269852582e-09
Position 1876: 7.75991786211637e-09
Position 1058: 6.3724479373613614e-09
Position 51: 1.5616821560108804e-09
Position 1942: 1.0577218165479625e-09
Position 967: 9.352945548834342e-10
Position 411: 2.7031141239691795e-10
Position 1143: 2.1956000192162555e-10
Position 2099: 1.784170534771103e-10
Position 403: 1.3011591879692044e-11
Position 406: 3.78163589180101e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 13731: 0.5882084452168749
Position 8834: 0.21355134086042152
Position 464: 0.1597417317471346
Position 11096: 0.14748299770062234
