Gene = NAPEPLD
index = 911
Annotated 5SS: [  422 20750 29656 34173 45809]
Annotated 3SS: [20439 29008 34057 45677 46109]
SMsplice 5SS: [  310 20516 29656 34173]
SMsplice 3SS: [20439 29561 34057 46168]
top_k =  1000
Partition function (log Z): -29.692447408446988

Sorted 5' Splice Sites (High to Low Probability):
Position 872: 0.5485351282241987
Position 1413: 0.545214622811967
Position 310: 0.365612142066018
Position 238: 0.09149772726719889
Position 1272: 0.08453836595026436
Position 12063: 0.07052081068818225
Position 189: 0.05860511789241566
Position 534: 0.04951171836456185
Position 13664: 0.04703547426463244
Position 930: 0.031734806322031295
Position 7528: 0.029407637500732487
Position 9785: 0.028959410777412087
Position 444: 0.015645182925568085
Position 422: 0.015269426721571113
Position 113: 0.007301567889622438
Position 2691: 0.004619927076990608
Position 843: 0.004057058258016896
Position 5630: 0.0036890776871491924
Position 1249: 0.0035450157784355472
Position 395: 0.0034021237107776728
Position 448: 0.0025516458551913
Position 278: 0.0024118009376884087
Position 12095: 0.0021931789048889394
Position 153: 0.0015117530715855936
Position 876: 0.00140385796019439
Position 349: 0.0011156377617536442
Position 87: 0.0011004895726928808
Position 63: 0.0010923135358040885
Position 5162: 0.000961041985044494
Position 1278: 0.0007458301064759866
Position 689: 0.0007097176084807526
Position 2593: 0.0005525881346943094
Position 1222: 0.0004467661031467713
Position 150: 0.0004456013115566864
Position 22: 0.0004244395147605267
Position 562: 0.0003920338715588678
Position 2548: 0.000366131589917444
Position 3558: 0.0003396962111468659
Position 4952: 0.00030875141927933685
Position 3286: 0.00018086150337569076
Position 2555: 0.00015660056805028748
Position 173: 0.00015050882534921987
Position 37: 0.00014554078934663815
Position 881: 0.00013555935144893676
Position 9569: 0.0001353506915132866
Position 1779: 0.00012817484136143036
Position 797: 0.0001275223447569738
Position 193: 0.00012405408211455985
Position 460: 0.00012347314784654146
Position 847: 0.0001225025427254544
Position 426: 9.922486360953058e-05
Position 20: 9.015786861566598e-05
Position 1177: 8.697602274755144e-05
Position 901: 7.752688792498617e-05
Position 441: 6.469355690336777e-05
Position 355: 5.95210196629533e-05
Position 80: 5.950104504473953e-05
Position 2544: 5.2371098396012276e-05
Position 715: 4.809088703668324e-05
Position 2490: 4.384728117310306e-05
Position 727: 4.1328724828749065e-05
Position 626: 3.0045462110948094e-05
Position 1654: 2.9254662191652496e-05
Position 2510: 2.8119228070056516e-05
Position 43: 2.6583123975062085e-05
Position 974: 1.8545520388283994e-05
Position 1036: 1.8522455524058493e-05
Position 639: 1.8391711894693996e-05
Position 1182: 1.7646637440998308e-05
Position 697: 1.601104227705399e-05
Position 34: 1.3141545887865022e-05
Position 666: 1.2405895762318826e-05
Position 505: 9.102875022090184e-06
