Gene = MGST3
index = 842
Annotated 5SS: [  433 19104 20227 21175 23491]
Annotated 3SS: [18979 20152 21116 23417 24506]
SMsplice 5SS: [  104  4962 15872 19104 20227 21175]
SMsplice 3SS: [ 4865 15707 18979 20152 21116 24506]
top_k =  1000
Partition function (log Z): -0.24635075884126012

Sorted 5' Splice Sites (High to Low Probability):
Position 19104: 0.9899776149879713
Position 20227: 0.9710985922811008
Position 21175: 0.8677326491090834
Position 4962: 0.8484271660216176
Position 104: 0.6090294805368205
Position 433: 0.542289192290266
Position 15872: 0.45662414309629595
Position 15793: 0.37436037078796913
Position 1282: 0.3402886068333177
Position 9757: 0.3285002382819315
Position 16157: 0.30606087257473613
Position 14178: 0.2976647631367964
Position 21445: 0.28436262911139687
Position 17440: 0.25883466200515776
Position 3813: 0.16532393855025315
Position 23491: 0.14491830701176284
Position 4576: 0.12001920001325239
Position 1300: 0.10150847265797901
Position 895: 0.0877095642717781
Position 4620: 0.07460991307377919
Position 19501: 0.0717379921676975
Position 2268: 0.06282882701013363
Position 21656: 0.05992402682148315
Position 1549: 0.051722418919795066
Position 1473: 0.050300726480333534
Position 19609: 0.044086902989773795
Position 8207: 0.041311718677750325
Position 8389: 0.0295141745442082
Position 1477: 0.02886732086262634
Position 9142: 0.022092698591161187
Position 20046: 0.019012964012938866
Position 20695: 0.019012550574819473
Position 11375: 0.018052787041634547
Position 4119: 0.017931909839142814
Position 1414: 0.017564340373762605
Position 19791: 0.016968688974930934
Position 9270: 0.01591881803184502
Position 939: 0.014495866876874037
Position 7647: 0.014098649295639643
Position 20267: 0.013995901613968782
Position 21532: 0.013966853715872116
Position 20766: 0.01320374002890908
Position 916: 0.012949895092753693
Position 3565: 0.011109821867470811
Position 20771: 0.010297341847913767
Position 8365: 0.009970669212095419
Position 1195: 0.008798046856373695
Position 21867: 0.008052426248402184
Position 20084: 0.006663204796683958
Position 2046: 0.0060598585582250526
Position 424: 0.006041908458148628
Position 4957: 0.0059131961108659
Position 11157: 0.005133085246497533
Position 10759: 0.004882980762394905
Position 8405: 0.0048284288691861875
Position 20681: 0.004204455198174384
Position 21403: 0.004019554070596611
Position 20812: 0.003848247621459918
Position 9780: 0.00368729528032458
Position 22278: 0.003512103072801905
Position 5694: 0.002949720735675785
Position 15813: 0.0027271648622809713
Position 20550: 0.002321728219869808
Position 23369: 0.002225864894663714
Position 24194: 0.002138395910106065
Position 20602: 0.0020787889575627494
Position 19829: 0.0020186991550810046
Position 9935: 0.0019826095067601974
Position 21688: 0.0019258019791536598
Position 11400: 0.0017974948187168493
Position 23208: 0.0016426652005519884
Position 20372: 0.0015480807179475986
Position 1016: 0.001343635535214472
Position 21191: 0.001189688764122107
Position 21935: 0.0011225487806338973
Position 22925: 0.001082070421709568
Position 870: 0.0009646405415387562
Position 24560: 0.0007898973758957757
Position 317: 0.0006717148300266341
Position 20607: 0.0005470523047242665
Position 572: 0.0005433916382453398
Position 23151: 0.0005230903127278109
Position 3467: 0.0004976399242842751
Position 3450: 0.00046377576976890225
Position 702: 0.0004264960540212
Position 22294: 0.0004247535993879065
Position 21629: 0.00040116167231368994
Position 24258: 0.0003746199880880255
Position 1556: 0.0003379533029627306
Position 45: 0.00033394815515004747
Position 2650: 0.00027059700749042324
Position 123: 0.00023053421856874645
Position 852: 0.00022446781834255104
Position 24597: 0.00022348657451655153
Position 20631: 0.000218425419731637
Position 20976: 0.0002122206815982407
Position 1080: 0.00018430660136993415
Position 1064: 0.00016982235337807417
Position 24602: 0.0001696065147169411
Position 2238: 0.00012896839058783348
Position 186: 0.00012637861122723881
Position 20330: 0.00012221026318198975
Position 20233: 0.00010623259691004079
Position 21210: 0.00010082907056987371
Position 888: 9.406215886972924e-05
Position 6719: 9.151644689348207e-05
Position 1327: 8.433691246004222e-05
Position 5644: 7.754777781231345e-05
Position 1434: 7.668713036858082e-05
