Gene = PI4KB
index = 1025
Annotated 5SS: [  387  1486 12085 17447 20084 21522 24117 25464 25814 28850 33249 33640]
Annotated 3SS: [ 1283 11147 17401 19855 21293 24006 25358 25689 28583 33115 33518 34623]
SMsplice 5SS: [  387  2913 21522 24117 25464 25814 28850 33249 33640]
SMsplice 3SS: [ 2739 21293 24006 25358 25689 28697 33115 33518 34194]
top_k =  1000
Partition function (log Z): 13.492251330461517

Sorted 5' Splice Sites (High to Low Probability):
Position 387: 0.9953460028844533
Position 25814: 0.9888587986207775
Position 25464: 0.9787571643045612
Position 2913: 0.977230275251636
Position 33249: 0.8615466919398524
Position 24117: 0.8180477708776441
Position 33640: 0.8007031134477915
Position 28850: 0.782440564427292
Position 21522: 0.5238263394135311
Position 17447: 0.485040439229202
Position 34258: 0.44113775584548953
Position 12085: 0.36082908357629
Position 32701: 0.3222687721164661
Position 21541: 0.2510302899601796
Position 8871: 0.19845071007738804
Position 21392: 0.18532646024457589
Position 15891: 0.18036968900687908
Position 34951: 0.13202005082468046
Position 34517: 0.10705271657224974
Position 17748: 0.09306790192319758
Position 33651: 0.0927219094814739
Position 32557: 0.08301277608807267
Position 34286: 0.08181378860162797
Position 33267: 0.06818837601770951
Position 33816: 0.05788503566968501
Position 33656: 0.04291503320344805
Position 20084: 0.03765233311571038
Position 4888: 0.036344416367597325
Position 33661: 0.031528848843364064
Position 33057: 0.03022225838095911
Position 29601: 0.029948878354270056
Position 33609: 0.028249782683781987
Position 17: 0.027138745154698454
Position 21488: 0.027129267429573004
Position 28698: 0.026454661368049852
Position 29139: 0.025072961392835963
Position 22309: 0.02109905780710581
Position 50: 0.021032729693427874
Position 34741: 0.01955589376937543
Position 2233: 0.017757984649239507
Position 2114: 0.017605949558328046
Position 29229: 0.015303825579495054
Position 25459: 0.015096620276816767
Position 35412: 0.014117939965150081
Position 34828: 0.013512408927215443
Position 1650: 0.013329955992075013
Position 2816: 0.012697385494664263
Position 33042: 0.012037670155458834
Position 21616: 0.011970509643750198
Position 28854: 0.0109911678414245
Position 29035: 0.010106728683937423
Position 8534: 0.010047351125292306
Position 27502: 0.010045833150689165
Position 28811: 0.009152603189895971
Position 34251: 0.008967955499492551
Position 34144: 0.007246173763066416
Position 28451: 0.0070924227094277086
Position 22246: 0.006316273556846623
Position 1977: 0.006121276193852739
Position 27358: 0.006027178149249079
Position 35089: 0.006002200257288528
Position 34781: 0.00538909972891457
Position 33446: 0.005129321862701079
Position 1486: 0.004614723792109111
