Gene = LDLRAD1
index = 774
Annotated 5SS: [  39  755 3895 5988 7849]
Annotated 3SS: [ 702 3765 5849 7719 8999]
SMsplice 5SS: [ 158 4957 5988 7849]
SMsplice 3SS: [4798 5849 7719 8472]
top_k =  1000
Partition function (log Z): -1.304944829601411

Sorted 5' Splice Sites (High to Low Probability):
Position 5988: 0.9087816118462284
Position 7849: 0.9024497295494189
Position 3895: 0.5142365561391127
Position 4957: 0.5035236298938462
Position 158: 0.34560179605148617
Position 5785: 0.2909406313300942
Position 4444: 0.2307739995875122
Position 124: 0.22138802126730753
Position 755: 0.20590860625691834
Position 8669: 0.17689548997730245
Position 4886: 0.15091226576734673
Position 39: 0.1464940208226563
Position 7369: 0.1392578429723397
Position 8690: 0.13686547011218195
Position 56: 0.12775503256605605
Position 4924: 0.10972076691172912
Position 5696: 0.07413881450062265
Position 8581: 0.07142742195031375
Position 3298: 0.06819165445239107
Position 8227: 0.066802313919263
Position 73: 0.06316946332165306
Position 5794: 0.05947801904463771
Position 3915: 0.057774789473361655
Position 7272: 0.05399061352202206
Position 2227: 0.0510291425750395
Position 107: 0.04718367396702615
Position 8545: 0.038031806759155684
Position 2837: 0.035271884952207795
Position 2399: 0.033427523626329766
Position 4898: 0.032143123468119095
Position 141: 0.030281696030623962
Position 6186: 0.02854234350810002
Position 7315: 0.027343773346857243
Position 2245: 0.026054997254189013
Position 8585: 0.023220778107730513
Position 6533: 0.01961143007662895
Position 8104: 0.01693384752452691
Position 4018: 0.015774778519657768
Position 3502: 0.011513578758571627
Position 1068: 0.010460477289762196
Position 5215: 0.010177339104595229
Position 90: 0.009649644087152942
Position 1713: 0.008816329155230892
Position 1276: 0.008559343283748128
Position 3439: 0.00844405858166445
Position 527: 0.007735743958218081
Position 8596: 0.0072376062802457395
Position 7413: 0.006003536829565541
Position 4973: 0.005554965614566915
Position 8290: 0.005328671614273001
Position 3994: 0.005247888065009971
Position 2277: 0.004916142143559162
Position 4863: 0.004592770996529081
Position 7158: 0.004474604907530487
Position 6003: 0.00425840732628775
Position 8186: 0.004090177444717051
Position 7911: 0.0036572043578866477
Position 4277: 0.003342586077038322
Position 347: 0.0032902544903289565
Position 3919: 0.002773119878862358
Position 8433: 0.002617494317044503
Position 2731: 0.0024213539561803127
Position 9127: 0.0021665605188487024
Position 4457: 0.0021337379655143843
Position 4989: 0.001964944349438252
Position 3382: 0.0019454993814902709
Position 4920: 0.0019078585722237086
Position 835: 0.0017899439826236166
Position 8802: 0.0012066172565693767
Position 8502: 0.0011869010749803585
Position 368: 0.0011673436908908469
Position 1602: 0.0011280840456400004
Position 3328: 0.0010729366143140701
Position 27: 0.001039468272433652
Position 4315: 0.001009768631249533
Position 7828: 0.0009955249769506077
Position 4951: 0.000986225583738013
Position 410: 0.000852398153391004
Position 8223: 0.0007269059186706185
Position 4380: 0.0007048046358618762
Position 7801: 0.0005955381377985878
Position 5431: 0.0005879872396812407
Position 564: 0.0005524285130205396
Position 4928: 0.0005288758592890223
Position 4642: 0.0005027770867483732
Position 2143: 0.00044619250676708363
Position 7112: 0.00036150700552571455
Position 475: 0.00033260329338535377
