Gene = GGCT
index = 588
Annotated 5SS: [ 276 4309 6042]
Annotated 3SS: [4162 5905 7608]
SMsplice 5SS: [ 276 6042]
SMsplice 3SS: [5905 6947]
top_k =  1000
Partition function (log Z): -4.464665278422821

Sorted 5' Splice Sites (High to Low Probability):
Position 276: 0.9880339144423756
Position 6042: 0.9645977478898168
Position 4086: 0.4369254801682021
Position 2979: 0.2527690265522052
Position 4309: 0.24126903995617
Position 2732: 0.12766938631841787
Position 7104: 0.1188262460222195
Position 1511: 0.07261551222491391
Position 4458: 0.07225278522740725
Position 994: 0.07178679358915194
Position 3509: 0.042716525707275035
Position 2811: 0.034037721594709164
Position 2647: 0.024882175052421542
Position 7546: 0.02364935647608404
Position 7296: 0.022536741499498483
Position 795: 0.016665605957002977
Position 7085: 0.016034750117032127
Position 4696: 0.012281220664695659
Position 4313: 0.009444949727022827
Position 7699: 0.008325556410660668
Position 7234: 0.008305674438328674
Position 4268: 0.007664874418210166
Position 7315: 0.007170547141394586
Position 1506: 0.0071022781244179396
Position 5071: 0.005694765555434027
Position 2890: 0.005482670333303097
Position 7459: 0.004331134480817653
Position 7166: 0.003939817347983194
Position 1832: 0.0030695446743863666
Position 7776: 0.002495765398442864
Position 6349: 0.002060590191308122
Position 4361: 0.0018804597480371714
Position 2195: 0.0017775539558039335
Position 575: 0.0017128656724562758
Position 386: 0.0016673253228133146
Position 3824: 0.0016328284886891018
Position 6431: 0.0016171635152988624
Position 1229: 0.0015343632207253145
Position 710: 0.0013900738739285638
Position 7444: 0.0013249967519265368
Position 7017: 0.0012971791139562221
Position 6436: 0.0011911220675674594
Position 1603: 0.0011357114329132044
Position 3820: 0.0010855741643659694
Position 6390: 0.0010799568340114987
Position 7541: 0.0010129441643860814
Position 3731: 0.0008926370590214254
Position 2185: 0.0008691148547239796
Position 1812: 0.0008356950829452703
Position 7249: 0.0008232444117852397
Position 762: 0.0007455548918933951
Position 7097: 0.0006922249261662939
Position 7042: 0.0006908925682748023
Position 3600: 0.0006752550150696313
Position 757: 0.0006292242945912679
Position 3391: 0.0005127764729340607
Position 522: 0.0005125468125503435
Position 7140: 0.0004713404648934262
Position 6713: 0.00040862658985932495
Position 3649: 0.00038566038023945317
Position 3942: 0.0003799916508233947
Position 1660: 0.00033185574109412805
Position 3231: 0.00032544129376706676
Position 3840: 0.0002662144539289658
Position 1740: 0.0002341535400695412
Position 6337: 0.00023366942217239206
Position 6195: 0.00021522880947315924
Position 6594: 0.00020827302669483466
Position 866: 0.00020483794307135775
Position 2294: 0.000181198698748142
Position 6384: 0.00013491363797299923
Position 7981: 0.00011575217631826557
Position 6224: 0.00011040705703710357
Position 739: 0.00010939055885187125
Position 571: 0.00010609116470925304
Position 791: 9.297460964920548e-05
Position 57: 8.068536360696342e-05
Position 7268: 7.44906360693418e-05
Position 925: 7.294815373981714e-05
Position 166: 6.702878067599504e-05
Position 2862: 6.325808591310266e-05
Position 3282: 4.582550921608808e-05
Position 4474: 4.119227312346264e-05
Position 6227: 3.207362040326357e-05
Position 752: 3.109032641600636e-05
Position 2896: 2.9732055864371047e-05
Position 6064: 2.786745825533683e-05
Position 2903: 2.7206132840997056e-05
Position 465: 2.413403687797666e-05
Position 125: 2.135766354634959e-05
Position 2327: 1.4962898322068293e-05
Position 2171: 1.4851602066665127e-05
Position 1529: 1.3502360962075172e-05
Position 6032: 1.2244660978074616e-05
Position 1162: 8.171921996820042e-06
Position 1235: 8.147600969985471e-06
Position 4256: 7.982354398327195e-06
Position 418: 7.511993478889624e-06
Position 4258: 7.326211289505229e-06
Position 5401: 7.154580418244733e-06
Position 6343: 5.220980458857993e-06
Position 4265: 4.926785735334658e-06
Position 43: 4.106364141438067e-06
Position 1285: 4.056176019566807e-06
Position 2985: 3.72237616625592e-06
