Gene = MEAF6
index = 826
Annotated 5SS: [  107  1341  5309  5486 12960 18057 18879]
Annotated 3SS: [ 1224  5220  5439 12766 18026 18844 20655]
SMsplice 5SS: [  107  1341  5309  5486 12960 13838]
SMsplice 3SS: [ 1224  5220  5439 12766 13745 20655]
top_k =  1000
Partition function (log Z): 1.559335008759808

Sorted 5' Splice Sites (High to Low Probability):
Position 107: 0.9917939464235721
Position 5309: 0.9863290800818414
Position 12960: 0.9620050886358692
Position 1341: 0.9447685469000285
Position 13838: 0.7554855894462477
Position 5486: 0.5652853885702177
Position 9631: 0.5160050558819915
Position 15256: 0.2531077988025903
Position 18879: 0.1938556980581731
Position 2716: 0.14548384881191032
Position 13540: 0.10821908571620056
Position 7389: 0.10248651685497023
Position 9649: 0.08436063836046813
Position 18057: 0.08036166916366638
Position 13905: 0.061501014056090354
Position 6750: 0.05432041379465288
Position 5443: 0.04034797229333058
Position 13660: 0.029299106004929014
Position 4828: 0.028316595130509443
Position 13346: 0.027224551541996628
Position 13620: 0.025693184907260705
Position 19191: 0.02436421197074233
Position 1323: 0.023253499267683768
Position 18217: 0.020753984891305415
Position 15522: 0.02000042448044285
Position 20839: 0.019638615000780717
Position 14137: 0.016972481240050116
Position 15342: 0.016589561478959312
Position 13303: 0.016324824746128657
Position 7828: 0.012450965784644795
Position 2136: 0.012194805288867147
Position 14250: 0.012175508019011985
Position 15260: 0.011266244462916306
Position 19321: 0.008102839813999849
Position 18938: 0.0075621905793374885
Position 11453: 0.00697339082047179
Position 5100: 0.0064998204234964375
Position 14006: 0.006031772753205437
Position 417: 0.005624112783039629
Position 3613: 0.005471078146194117
Position 988: 0.005068835076143074
Position 9729: 0.004957623240909987
Position 1293: 0.00476768352629966
Position 7253: 0.004377617550336353
Position 7569: 0.004136702653083475
Position 970: 0.0038671680957463026
Position 879: 0.003860690179020634
Position 5634: 0.0037996799899279576
Position 13599: 0.0034634275539489005
Position 15361: 0.0032126467651578394
Position 2697: 0.003211239405714042
Position 4051: 0.003030846745377312
Position 16767: 0.0029263260745361406
Position 990: 0.002915898107072174
Position 1380: 0.002728663092969554
Position 10545: 0.0025594535560617606
Position 1833: 0.002439387212834969
Position 16721: 0.0023826662101638996
Position 3112: 0.0023684259962080015
Position 12641: 0.0023158096911338223
Position 6790: 0.0023151875542282824
Position 14675: 0.0023054272572418815
Position 16973: 0.0021881381341028183
Position 10758: 0.0019742257989663285
Position 956: 0.0018687569225901838
Position 1048: 0.0016926565108486185
Position 11628: 0.0015932655032061737
Position 20800: 0.0015647279153441181
Position 894: 0.0015451443722772963
Position 4133: 0.0014398199399885568
Position 247: 0.0012529839549663033
Position 2981: 0.001186284590292527
Position 1192: 0.00114472069648426
Position 14048: 0.0010333383250398067
Position 5322: 0.0010156046157477807
Position 10640: 0.0009973981136495935
Position 430: 0.0009963291086371039
Position 413: 0.000994331563489498
Position 13747: 0.0009463979857560767
Position 3245: 0.000863584822155389
Position 15654: 0.0008634677775693704
Position 5563: 0.0008386684313584809
Position 992: 0.0008240162142036876
Position 2905: 0.0007136277411111596
Position 6724: 0.0007082162559863069
Position 2705: 0.0006944718101377154
Position 17096: 0.0006780674056356447
Position 7177: 0.0006281852021163063
Position 14325: 0.0006205452968222652
Position 8355: 0.0005776661692954359
Position 10306: 0.0005403032816401903
Position 1792: 0.0005304836580327819
Position 1086: 0.0004992691644264952
Position 1699: 0.0004990200114801504
