Gene = GLYCTK
index = 600
Annotated 5SS: [  21 2864 3256 4067]
Annotated 3SS: [2447 3103 3890 4403]
SMsplice 5SS: [  21 3256]
SMsplice 3SS: [3103 4403]
top_k =  1000
Partition function (log Z): -7.081098127939931

Sorted 5' Splice Sites (High to Low Probability):
Position 21: 0.951751408892887
Position 3256: 0.8297270392279804
Position 2694: 0.20499176525342433
Position 5337: 0.19296759743126873
Position 4286: 0.1772888376206636
Position 5319: 0.12782334192238376
Position 4067: 0.07057243635156396
Position 2279: 0.04179156320993273
Position 4714: 0.03629787214541298
Position 2864: 0.03435873801069045
Position 2761: 0.03431233247478778
Position 3353: 0.019434952734621345
Position 2736: 0.01875538306985624
Position 253: 0.017595741500511485
Position 3138: 0.01617856045376774
Position 2622: 0.015332115203685262
Position 3330: 0.01483821238771244
Position 4266: 0.014424178907515423
Position 214: 0.012437064765124845
Position 1372: 0.010378402320673162
Position 4449: 0.009189205839224026
Position 4407: 0.008720400114473541
Position 3261: 0.008265237782042741
Position 4233: 0.0065005369919297175
Position 4726: 0.005772985303957826
Position 4249: 0.005490806058769452
Position 3377: 0.005358366488639609
Position 1110: 0.005182880371027598
Position 5224: 0.005127173220510918
Position 2056: 0.004791391784505132
Position 3314: 0.004122267464195615
Position 1134: 0.0035602919366544542
Position 2011: 0.0033175819035749813
Position 2626: 0.0032749627806182655
Position 634: 0.003117031019266736
Position 4314: 0.003107909652086603
Position 2505: 0.003081182623093128
Position 590: 0.0030653129093578717
Position 3282: 0.0024609270381960435
Position 3148: 0.0019779791168996136
Position 1968: 0.001859754165663936
Position 3286: 0.0017705397068297857
Position 5267: 0.0017326151586331215
Position 672: 0.0017077509463890388
Position 1579: 0.0016020488013170407
Position 712: 0.0013077861805443518
Position 2309: 0.0011191299611351356
Position 296: 0.0010512541591069509
Position 4548: 0.0010204850734684273
Position 3728: 0.0009031964656489978
Position 4557: 0.0008758711706366548
Position 4032: 0.0008284141656888295
Position 85: 0.0006044270663952755
Position 3477: 0.0005261255317878047
Position 5006: 0.0004918870869570929
Position 4617: 0.0004795084102148627
Position 3891: 0.00047557423899132617
Position 3037: 0.0004386587688768697
Position 1187: 0.0004025139548749327
Position 1041: 0.0004013849040286814
Position 3742: 0.00038408436772513987
Position 695: 0.0003610748490882254
Position 5279: 0.0003409087803578691
Position 2357: 0.0003372744210067637
Position 3358: 0.0002943333842753826
Position 3393: 0.0002819593717873532
Position 661: 0.0002654333337387376
Position 4719: 0.0002584745601969797
Position 1127: 0.0002468347231633347
Position 1249: 0.00024617204044512746
Position 2008: 0.00024029155386964476
Position 4528: 0.0001645673126756774
Position 1859: 0.00015459289676897613
Position 1745: 0.00015044149323114784
Position 4488: 0.0001459657014327286
Position 4562: 0.00014528183220274837
Position 1586: 0.0001363416452761499
Position 91: 0.0001312086529266545
Position 1264: 0.0001300710689677352
Position 1662: 9.46364321547697e-05
Position 3293: 8.249075664119968e-05
Position 3374: 8.131169635114394e-05
Position 656: 8.07364076594434e-05
Position 1666: 7.981901231435486e-05
Position 4170: 7.936096839229146e-05
Position 2352: 7.543230228231595e-05
Position 3032: 7.524454336680179e-05
Position 377: 7.099752144409809e-05
Position 1170: 6.49357291258886e-05
Position 2340: 5.9800256431479136e-05
Position 62: 5.2557281173758916e-05
Position 1953: 5.146006119969606e-05
Position 3050: 5.1368049161157486e-05
Position 3813: 4.953069700030298e-05
Position 1529: 4.604096068379162e-05
Position 1142: 4.197167518108647e-05
Position 700: 3.5393863733649665e-05
Position 617: 3.398132562568178e-05
Position 356: 2.932410133955046e-05
Position 4431: 2.4875707580953314e-05
Position 1352: 2.3935956364659392e-05
Position 1648: 2.3419232547021133e-05
Position 2677: 2.2019478428045767e-05
Position 1643: 2.142076140333576e-05
Position 310: 2.0278358487774874e-05
Position 1388: 1.9640832967167567e-05
Position 2090: 1.8043937570297573e-05
Position 2617: 1.6678114907358668e-05
Position 1291: 1.6339824943154112e-05
Position 1096: 1.5505222735556403e-05
Position 944: 1.5392081261921736e-05
Position 13: 1.4584950762424488e-05
