Gene = GRHPR
index = 620
Annotated 5SS: [ 168 2310 3329 3989 5907 7171 7981 9473]
Annotated 3SS: [ 2178  3255  3871  5817  7065  7844  9341 13994]
SMsplice 5SS: [  140  2310  3329  3989  5907  7171  7981  9473 13291]
SMsplice 3SS: [ 2178  3255  3871  5817  7065  7804  9341 13182 13994]
top_k =  1000
Partition function (log Z): 6.381426218475129

Sorted 5' Splice Sites (High to Low Probability):
Position 9473: 0.9784201726055146
Position 7171: 0.9171521409015649
Position 5907: 0.8747518364497084
Position 3989: 0.8164428747742609
Position 2310: 0.7895356365503818
Position 7981: 0.7562033332011926
Position 3329: 0.6832222822187969
Position 13291: 0.6650483120294601
Position 140: 0.5585020363741235
Position 2998: 0.511387696660457
Position 12252: 0.4537586771391687
Position 168: 0.3135785447980179
Position 5716: 0.2639860195683689
Position 11826: 0.23431784846223375
Position 3825: 0.17188906063226458
Position 7714: 0.15536289967548444
Position 3479: 0.1498764291361628
Position 4008: 0.1433263702107237
Position 7642: 0.13177357276741253
Position 2321: 0.11198993398684337
Position 6616: 0.10945068234826676
Position 7578: 0.10722616382840544
Position 9246: 0.10277783555908812
Position 9204: 0.0910181419412543
Position 9871: 0.07894409780227114
Position 94: 0.07123535715066766
Position 11064: 0.06804629975159969
Position 12452: 0.05704284571383072
Position 6267: 0.05566967560569986
Position 1346: 0.044633546107945433
Position 5746: 0.0434362637344225
Position 6461: 0.042237367843609874
Position 3032: 0.038664438578777736
Position 9018: 0.037490526740836985
Position 6850: 0.033793409724207565
Position 2811: 0.031078149762198883
Position 3637: 0.02734048273572287
Position 3790: 0.027035616586226125
Position 8899: 0.023640463079812123
Position 1510: 0.022640092218884557
Position 11837: 0.02027820660493259
Position 3516: 0.01932758889074518
Position 9389: 0.01701819370066511
Position 2238: 0.015290043360269484
Position 12256: 0.014759220480653678
Position 8608: 0.014386622408517371
Position 2638: 0.013969924470072103
Position 4845: 0.013539856356814664
Position 378: 0.012663801095987514
Position 7453: 0.012531472014243712
Position 3527: 0.011989036919277801
Position 6627: 0.011978573812059364
Position 60: 0.011646007495870228
Position 1704: 0.008798125736573258
Position 109: 0.00845381401756097
Position 10957: 0.0081372214000088
Position 1561: 0.00787515461889459
Position 5640: 0.007344883097219337
Position 3694: 0.007218707387641113
Position 417: 0.006931062374327543
Position 2743: 0.0066151032730349555
Position 8069: 0.006090479963370879
Position 1152: 0.0060424040464191805
Position 5591: 0.005974525601694149
Position 5700: 0.005334679887832822
Position 2135: 0.00503599336174286
Position 3512: 0.004822241056422686
Position 2773: 0.004707851220023488
Position 2994: 0.004213450872717152
Position 4053: 0.0041575356815784625
Position 9702: 0.0036169455182132287
Position 4792: 0.0031535940162886415
Position 12040: 0.0031247614455575255
Position 9235: 0.00287771510937589
Position 2542: 0.0026445601773185698
Position 66: 0.002574225441134916
Position 145: 0.002425999379957557
Position 1558: 0.0022847825398599284
Position 111: 0.0021765850607542254
Position 6455: 0.002141410763082654
Position 8574: 0.0020370763039862867
Position 3439: 0.0019126758131408766
Position 9696: 0.0018022282764095835
Position 4512: 0.001798189216608786
Position 4069: 0.0017273080894167378
Position 1910: 0.0015626385512415653
Position 4508: 0.0015521583482513135
Position 6766: 0.0014537788022204855
Position 6114: 0.0013880828094615953
Position 629: 0.0013609522647163373
Position 4393: 0.0012870864118226565
Position 412: 0.0012126668293292637
Position 3834: 0.0011261769859030161
Position 9267: 0.0010659612596621074
Position 5555: 0.0009879681282357877
Position 13412: 0.0009426339110030595
Position 8643: 0.0008132822950699819
Position 2546: 0.0007946141299139459
Position 7360: 0.000782309629095243
Position 3737: 0.0007297954961688352
Position 2282: 0.0007186985820487941
Position 13234: 0.0007072294642424251
Position 13570: 0.0006770109821241039
Position 3598: 0.0006296017149195471
Position 1547: 0.0006052458547687439
Position 2531: 0.0006019229074827302
Position 4262: 0.0005882082051445427
Position 3444: 0.0005778109746710798
Position 13418: 0.0005308230992327683
Position 1485: 0.0005116893138639824
Position 785: 0.0005038233547228645
Position 1904: 0.0004704842555838463
Position 13586: 0.0004161531476021878
Position 7674: 0.0004135069601555274
Position 7457: 0.0003620744695366747
Position 1587: 0.00035480344875085245
Position 2885: 0.00032012937183086416
Position 1037: 0.00031929812033638477
Position 1282: 0.0003130448993176171
Position 2815: 0.000269930442378952
Position 2340: 0.0002633260985034299
Position 13238: 0.0002529216494491749
Position 1195: 0.00024357985584358253
Position 4997: 0.00024131608541995525
Position 5076: 0.00023846912589961232
Position 1528: 0.00020978151971293342
Position 4880: 0.00020648807919939084
Position 2929: 0.00019131288285335063
Position 13276: 0.00017831708491587
Position 4468: 0.00016492538025418912
Position 4900: 0.00015674513992765854
Position 933: 0.00013264901517086888
Position 3531: 0.00012253367362936415
Position 5271: 0.00011274139654155791
Position 280: 9.088023708271736e-05
Position 787: 8.939372763824399e-05
Position 4869: 7.69707420026958e-05
Position 3370: 7.565875944754515e-05
Position 1182: 7.202196799173307e-05
Position 339: 5.2649634806791135e-05
Position 2186: 4.9399842256009544e-05
Position 432: 4.82185065095969e-05
Position 1516: 4.8167298463197626e-05
Position 2642: 4.784416145844721e-05
Position 2181: 4.235334193757667e-05
Position 1698: 3.40695942704549e-05
Position 1593: 3.389617543911993e-05
Position 7213: 3.0229009324950468e-05
Position 50: 3.0116901022528246e-05
Position 1727: 2.3513845717670984e-05
Position 1928: 2.3100989188543125e-05
Position 687: 2.3026589136189763e-05
Position 1361: 1.915511981570538e-05
Position 206: 1.6461151553514544e-05
Position 699: 1.6084011595931206e-05
Position 10920: 1.3440141024815852e-05
Position 11119: 1.2185161814324011e-05
Position 9783: 3.952436578106328e-06
Position 4568: 3.3998243205700085e-06
Position 3993: 1.6876407388594474e-06
Position 3981: 1.6047444096126036e-06
Position 3288: 5.070054305009175e-07
Position 606: 1.4657736974652155e-07
Position 1874: 9.369299544510264e-08
Position 115: 7.56306174580944e-08
Position 246: 6.122777283856761e-08
Position 292: 4.253017750600535e-08
Position 454: 1.2166420700744538e-08
Position 235: 1.2062616783985107e-08
Position 270: 6.5736522066182884e-09
Position 307: 4.904868177481789e-10
Position 186: 4.388417178302531e-10
Position 722: 1.6554412974470357e-10
Position 772: 1.772158690900333e-12
Position 524: 7.265461415079098e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 9341: 0.950944444778889
Position 2178: 0.8990209225156199
Position 5817: 0.8763189476619432
Position 13994: 0.8601246760893327
Position 7065: 0.8554088150825039
Position 3255: 0.7205965483997727
Position 13182: 0.5847894775286726
Position 12171: 0.48397724637787837
Position 7804: 0.42585643772929976
Position 3909: 0.4072672207280033
Position 2878: 0.3916596140342674
Position 7540: 0.3813394663192708
Position 3618: 0.3203004724876771
Position 3871: 0.3152801988526912
Position 11734: 0.2512380281833597
Position 7844: 0.24715401968481623
Position 9080: 0.19060707323036033
Position 5579: 0.17163235054111634
Position 2926: 0.13318079582993664
Position 3431: 0.12275603836208547
Position 6519: 0.10490052155780448
Position 13158: 0.08050171752146651
Position 3897: 0.07690533537662099
Position 5639: 0.07673601531043042
Position 7915: 0.049848690977477995
Position 6362: 0.04751261192162009
Position 13467: 0.045185559939268254
Position 2704: 0.044139698536758774
Position 12337: 0.04170767513109157
Position 3930: 0.040620421135032954
Position 9686: 0.039150213583569474
