Gene = NREP
index = 961
Annotated 5SS: [   141 241695 262035]
Annotated 3SS: [241633 261956 266417]
SMsplice 5SS: [   141  35182  98605 104438 129958 146179 175333 250008 258925 262035
 262795]
SMsplice 3SS: [ 35074  98516 104212 129860 146112 175230 249957 258808 261956 262653
 266417]
top_k =  1000
Partition function (log Z): -129.16070311766086

Sorted 5' Splice Sites (High to Low Probability):
Position 141: 0.7287767431985946
Position 13330: 0.3059995408374593
Position 5445: 0.2884563128254928
Position 173: 0.26681555536810814
Position 13272: 0.12368021084839616
Position 6041: 0.10908061580694312
Position 10084: 0.027827919678255895
Position 687: 0.025425262404076127
Position 19255: 0.012871654723892489
Position 4479: 0.012826876765366995
Position 1662: 0.012077459996814446
Position 5421: 0.011551399188832082
Position 1297: 0.010189974922518514
Position 9390: 0.0101184931465956
Position 7395: 0.005095295949071257
Position 6735: 0.004635949710960192
Position 8245: 0.004418809776715477
Position 4797: 0.004229474252769332
Position 3986: 0.004054273452549753
Position 1387: 0.003688949555476028
Position 2293: 0.0032313281139915093
Position 227: 0.003105201233128148
Position 4813: 0.0026123062448272488
Position 9304: 0.002478187219345181
Position 5045: 0.00217409122215338
Position 2653: 0.0019235366429640743
Position 8891: 0.001875124390793795
Position 3991: 0.001717286422745773
Position 2951: 0.0016582427579719587
Position 5180: 0.0015110048167414594
Position 886: 0.0012644780400641936
Position 3948: 0.001117693958181717
Position 9839: 0.0010610677633572387
Position 4758: 0.0009434268739139994
Position 847: 0.0007748325434123862
Position 4151: 0.0007077273870730079
Position 4514: 0.0005424548865843226
Position 3579: 0.0004706948996976562
Position 9881: 0.00038890830636288535
Position 5528: 0.00018173761571373356
Position 5509: 0.0001244608102334595
Position 231: 0.00010716236019381847
Position 6124: 0.00010050087067826902
Position 177: 5.853809075044637e-05
Position 654: 5.141365299927432e-05
Position 180: 4.9017193918482267e-05
Position 939: 4.010867910201282e-05
Position 235: 3.685515850878787e-05
Position 3952: 3.586159357739157e-05
Position 650: 2.3669644015352647e-05
Position 248: 2.2932594389227938e-05
Position 1195: 2.2345158618371605e-05
Position 2287: 1.6770088785144737e-05
Position 4059: 1.3729038422221268e-05
