Gene = FAM205C
index = 531
Annotated 5SS: [ 144  684 1282 3064]
Annotated 3SS: [ 637 1220 2569 6086]
SMsplice 5SS: [ 454 1282 2677]
SMsplice 3SS: [1220 2569 3539]
top_k =  1000
Partition function (log Z): -6.013319497561357

Sorted 5' Splice Sites (High to Low Probability):
Position 1282: 0.8952292754901036
Position 2677: 0.825244359886241
Position 454: 0.6353222803905274
Position 144: 0.44169207329734367
Position 720: 0.4277862327792828
Position 684: 0.21019294523212276
Position 4775: 0.12849390096552937
Position 3064: 0.11672005758633225
Position 3938: 0.10357300496932326
Position 1079: 0.08522100279835129
Position 1322: 0.050512737200021675
Position 775: 0.03372059385275318
Position 4308: 0.02322132780575073
Position 5280: 0.020088480814505878
Position 1055: 0.0185964316095177
Position 120: 0.01284568470032433
Position 724: 0.010054632471113148
Position 5791: 0.008667873038761254
Position 1829: 0.004377259785171366
Position 3199: 0.0034230744786428405
Position 4866: 0.0032271038765659967
Position 1965: 0.0031036670669122505
Position 1907: 0.00294738143288268
Position 2964: 0.0025237308865124555
Position 3205: 0.0021192970277866263
Position 729: 0.001954297912428838
Position 1034: 0.0014836771896663097
Position 280: 0.0013957346508625677
Position 2879: 0.0013283058102185104
Position 2199: 0.0011974572680434848
Position 2340: 0.0011911712184736235
Position 490: 0.0011645026205240072
Position 422: 0.001130317100162574
Position 1097: 0.0008569895538234298
Position 90: 0.0007769721456766
Position 1352: 0.0005570618610468946
Position 1128: 0.0004475023308853069
Position 1609: 0.0004418920105987713
Position 1084: 0.00041832661419560383
Position 523: 0.0003316994957749669
Position 436: 0.00032363524855608984
Position 3662: 0.0002462466911563653
Position 2440: 0.0002437315753456858
Position 799: 0.00023857939750281215
Position 292: 0.00021067869304178225
Position 177: 0.0001402131935942582
Position 1072: 0.00010758638463331232
Position 448: 9.367016896801409e-05
Position 2057: 7.215708681833074e-05
Position 1897: 7.20090482509982e-05
Position 2231: 6.91766636145079e-05
Position 392: 2.734258076180061e-05
Position 458: 2.602895759797767e-05
Position 1107: 2.366978485654811e-05
Position 243: 1.8116405514502146e-05
Position 1121: 1.774013894036565e-05
Position 30: 1.248146880201338e-05
Position 1028: 1.2246158727329856e-05
Position 568: 1.0911528552139203e-05
Position 1003: 1.0446317348364861e-05
Position 839: 7.299599575080435e-06
Position 920: 5.387225202916199e-06
Position 560: 4.484939408741238e-06
Position 600: 4.379796891353205e-06
Position 23: 4.2601971980886976e-06
Position 136: 2.7456919659956582e-06
Position 661: 2.5556921433354957e-06
Position 962: 2.5315133201576005e-06
Position 3266: 2.2338231014141304e-06
Position 1252: 1.816803922291983e-06
Position 214: 1.7054725983200295e-06
Position 1415: 1.647254412930513e-06
Position 379: 6.041008727891569e-07
Position 3181: 4.1056950430879317e-07
Position 362: 3.6191840394556493e-07
Position 1302: 2.8213823166685517e-07
Position 1788: 2.1922826698617187e-07
Position 1617: 1.8506850337404448e-07
Position 18: 6.154510913754453e-08
Position 1867: 6.111938311138583e-08
Position 573: 1.4898315219792268e-08
Position 695: 1.719615186502668e-09
Position 689: 8.878168041405132e-10
Position 602: 2.365643444014847e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1220: 0.7134170658163596
Position 2569: 0.687510786882023
Position 584: 0.35840304022690206
Position 637: 0.22844797314036697
Position 4685: 0.21842186617035797
Position 3539: 0.2079394647895897
Position 1185: 0.18631720688753262
Position 2573: 0.11736975805340735
Position 3805: 0.10960033269733295
Position 5113: 0.09503329556497878
Position 6190: 0.09311202208103211
Position 224: 0.08473912050630045
Position 5678: 0.08277542631234514
Position 240: 0.07636422239503642
Position 3829: 0.06427333849243815
Position 3110: 0.052693930357852484
