Gene = TIGIT
index = 1401
Annotated 5SS: [ 195 3021 4773 8602]
Annotated 3SS: [ 2897  4442  8494 16792]
SMsplice 5SS: [ 195 3021 5538 8602]
SMsplice 3SS: [ 2897  5400  8494 12058]
top_k =  1000
Partition function (log Z): -8.495320734480945

Sorted 5' Splice Sites (High to Low Probability):
Position 8602: 0.977602667380161
Position 3021: 0.822757946106612
Position 5538: 0.7580952625272147
Position 195: 0.7256750654794523
Position 4773: 0.4196978545640532
Position 1947: 0.2961485939527862
Position 4550: 0.18083432040537067
Position 2018: 0.13324091080269246
Position 4968: 0.12898117201873535
Position 531: 0.08226098336673207
Position 2497: 0.0780855528672147
Position 1658: 0.07769949476160386
Position 132: 0.07601055605074189
Position 1099: 0.06883630994109427
Position 8282: 0.05967721391835233
Position 2444: 0.05829117362777249
Position 282: 0.05682309903900831
Position 16998: 0.05488559549032067
Position 3441: 0.04230608751012612
Position 9647: 0.034780123738129644
Position 4644: 0.03191985455951755
Position 241: 0.03167348549555403
Position 10334: 0.03117907914321608
Position 4541: 0.026849728698858676
Position 6828: 0.024689056309025813
Position 2067: 0.021821827130386846
Position 4757: 0.019449887627817276
Position 1640: 0.017350593340051568
Position 7810: 0.014889216517132958
Position 4494: 0.014255332523736938
Position 7777: 0.012588797023702213
Position 6656: 0.00911555601662198
Position 478: 0.008981225371873658
Position 6241: 0.00897950860495547
Position 6169: 0.00892757760207835
Position 7658: 0.008130827065232096
Position 17239: 0.007481617463069504
Position 697: 0.005972454982110092
Position 6268: 0.005926769985807423
Position 156: 0.005547276955801253
Position 1791: 0.004248528846450924
Position 1552: 0.0040432680172065374
Position 10597: 0.003909536427646616
Position 8983: 0.0037674658575831
Position 11833: 0.003619672421135683
Position 6502: 0.0035202667517035655
Position 1612: 0.003041605832653849
Position 678: 0.002956555220276446
Position 875: 0.002901263985411843
Position 15903: 0.0028882119013783217
Position 14608: 0.0028616526651208136
Position 2430: 0.0019210006482830591
Position 9812: 0.001633263979101001
Position 3837: 0.0015944545304397218
Position 682: 0.001578113703001676
Position 4991: 0.0015426660280540956
Position 3981: 0.0014253917587068185
Position 170: 0.001360631142629661
Position 3834: 0.0013222757347122489
Position 7673: 0.0012943165473937892
Position 10895: 0.0012857855705944946
Position 3618: 0.0011868657005693244
Position 1492: 0.001160016855316975
Position 10925: 0.0009818249771980912
Position 8667: 0.0009719953537855411
Position 9630: 0.0008674765679610102
Position 1688: 0.0008451320581706834
Position 2200: 0.0007858137031524513
Position 3866: 0.0007760673056972993
Position 3749: 0.0007496717665926757
Position 1164: 0.0006842764127976593
Position 9292: 0.0006655137760122219
Position 739: 0.0006620774648233159
Position 1630: 0.0006569148360407877
Position 6748: 0.0006510563043278177
Position 10866: 0.0006068294593771639
Position 9604: 0.000590586606239612
Position 11837: 0.0005276975755604989
Position 606: 0.0005214426026873577
