Gene = PLGRKT
index = 1037
Annotated 5SS: [   90  1310  5982 76121 76801]
Annotated 3SS: [ 1183  5894 75989 76690 79517]
SMsplice 5SS: [   90  1310  5982 14327 24569 45405 46001 53397 55722 56016 66788 76121
 76801]
SMsplice 3SS: [ 1183  5894 14253 24392 45228 45919 53268 55641 55846 66606 75989 76690
 78037]
top_k =  1000
Partition function (log Z): -36.87218088069367

Sorted 5' Splice Sites (High to Low Probability):
Position 5982: 0.9964992626675045
Position 1310: 0.8867040107665071
Position 90: 0.8866256083636495
Position 14327: 0.5413672405922413
Position 1445: 0.2509023987959527
Position 11028: 0.15263745537201973
Position 5687: 0.10553443575638896
Position 5514: 0.10173121464061499
Position 24569: 0.09582666822166563
Position 1864: 0.08895236654288331
Position 11259: 0.0777554897903624
Position 3073: 0.06798637271733388
Position 247: 0.046337917288858346
Position 1756: 0.032963335367616725
Position 5324: 0.032152789052225544
Position 7144: 0.031226466611625307
Position 2111: 0.030336272434800984
Position 4578: 0.02131597544450559
Position 953: 0.020150587466826585
Position 6605: 0.01940192569948094
Position 525: 0.018406228219789194
Position 586: 0.014142388182459638
Position 115: 0.012321381693652218
Position 11010: 0.01196838380198388
Position 4539: 0.010184329933888115
Position 5601: 0.010051565742249668
Position 19121: 0.010025352997448628
Position 48: 0.009010839927098443
Position 10644: 0.008654047896683871
Position 10659: 0.007599435814185
Position 5529: 0.006960564616446691
Position 4500: 0.006483123885333687
Position 127: 0.004480432194402436
Position 2861: 0.004321713838205724
Position 5727: 0.0037415988618045124
Position 202: 0.003578932382578178
Position 7267: 0.0031954822274589856
Position 7004: 0.0024375035328162275
Position 1932: 0.0024017245905060478
Position 651: 0.002350371717655651
Position 3368: 0.0015000026626815566
Position 676: 0.0014520041699530087
Position 8674: 0.00142943271566617
Position 6317: 0.0010803036201468546
Position 237: 0.0010582556804256983
Position 327: 0.0007362947997657194
Position 6840: 0.0007026307358890456
Position 141: 0.0006762456903714172
Position 1930: 0.0006698891235326878
Position 635: 0.0006461441984288651
Position 1672: 0.0006406512102470829
Position 3943: 0.0006370285341299432
Position 985: 0.0006184889382786209
Position 7619: 0.0005579059297343961
Position 1184: 0.0005299735252092041
Position 1159: 0.0004952254449950112
Position 1105: 0.00042723846251716186
