Gene = ATPIF1
index = 117
Annotated 5SS: [138 320]
Annotated 3SS: [ 227 1703]
SMsplice 5SS: [138 320]
SMsplice 3SS: [ 227 1703]
top_k =  1000
Partition function (log Z): -4.12950240628433

Sorted 5' Splice Sites (High to Low Probability):
Position 138: 0.991646943348999
Position 320: 0.9546186058313272
Position 1115: 0.050447554140322544
Position 626: 0.016324910197003595
Position 1637: 0.004685684762505923
Position 1437: 0.0036351052066810495
Position 796: 0.0027148381643946743
Position 824: 0.0021459928915158236
Position 271: 0.0019963056984365307
Position 99: 0.0006213490220514005
Position 862: 0.0006212960329681361
Position 1855: 0.0004613038872471435
Position 341: 0.0003509253993361161
Position 939: 0.0002600903977273681
Position 1013: 0.0002580855026140562
Position 1548: 0.000251942699006333
Position 410: 0.00021443154485650736
Position 1240: 0.00018336446884529637
Position 34: 0.00018219131443657476
Position 1846: 0.00017428719907967461
Position 334: 0.00011632533489648009
Position 1562: 0.0001151191837944953
Position 681: 0.00010899618505321414
Position 914: 9.164347745598809e-05
Position 153: 6.434747741090348e-05
Position 1277: 3.649682802184498e-05
Position 629: 3.6057414859072196e-05
Position 557: 3.544781764404173e-05
Position 1661: 3.0361967168919025e-05
Position 92: 2.6784447035764288e-05
Position 843: 2.6208598633399504e-05
Position 1159: 2.3624075422684926e-05
Position 1123: 1.6080258119552996e-05
Position 1857: 9.099877069163712e-06
Position 494: 6.573621952050935e-06
Position 458: 5.75974046906113e-06
Position 57: 5.368825030399467e-06
Position 1784: 5.283928869011229e-06
Position 946: 4.747185202627396e-06
Position 1067: 4.205419706368258e-06
Position 151: 2.449236345520183e-06
Position 658: 4.109773632043736e-07
Position 610: 3.673472735726347e-07
Position 90: 3.4113713099706267e-07
Position 660: 3.0910076502117683e-07
Position 615: 2.046100889775531e-07
Position 65: 9.287782184848634e-08
Position 543: 8.60119469983168e-08
Position 525: 8.4739374910034e-08
Position 510: 6.98293252971904e-08
Position 80: 5.224931783515455e-08
Position 196: 8.141358242290361e-09
Position 1100: 4.164114863626334e-09
Position 237: 3.4269119489128464e-09
Position 477: 1.8650969412678935e-09
Position 208: 1.745485699204623e-09
Position 227: 4.11112715647046e-10
Position 798: 1.1975920150043828e-10
Position 399: 7.120113735802433e-11
Position 210: 4.843331879383063e-11
Position 216: 4.768252129110247e-11
Position 486: 8.292904729765722e-16

Sorted 3' Splice Sites (High to Low Probability):
