Gene = TIPRL
index = 1403
Annotated 5SS: [  249  5149  5946 12568 17710 20049]
Annotated 3SS: [ 4968  5845 12435 17613 19985 20969]
SMsplice 5SS: [  249 12568 17710]
SMsplice 3SS: [12435 17613 19985]
top_k =  1000
Partition function (log Z): -9.163199695835768

Sorted 5' Splice Sites (High to Low Probability):
Position 12568: 0.9974374375079096
Position 249: 0.9227593992589196
Position 17710: 0.8814479385725295
Position 5946: 0.18559523646893303
Position 870: 0.16177211841858294
Position 5149: 0.16168356149338337
Position 5697: 0.1613442927148648
Position 860: 0.13091907059362762
Position 8230: 0.12954102697617764
Position 5183: 0.1043807200190712
Position 19521: 0.08770064477356426
Position 16130: 0.07954402262219042
Position 14769: 0.06153041051284532
Position 20053: 0.05968910738454271
Position 19499: 0.036401342193275434
Position 8446: 0.0356179874301595
Position 758: 0.03021134098622524
Position 16435: 0.028151463624686388
Position 22018: 0.027361503130310293
Position 10930: 0.02565170573113533
Position 1045: 0.024697567552858235
Position 32: 0.02469572485850331
Position 4882: 0.020668104471113582
Position 846: 0.018391213412472955
Position 5717: 0.016822884319984365
Position 13355: 0.016800870540333794
Position 269: 0.01662040737131547
Position 16049: 0.0160128682715913
Position 1210: 0.013245358459976882
Position 6239: 0.013142573147940076
Position 5384: 0.0130915606899218
Position 1014: 0.011353056030322854
Position 19509: 0.010102938578419766
Position 15581: 0.010029116750947312
Position 763: 0.007891596194387542
Position 6338: 0.006923511260046783
Position 3116: 0.005951695179466647
Position 13471: 0.005434378031658103
Position 19598: 0.005172409540208879
Position 8476: 0.004896511715575959
Position 16578: 0.004563204234014116
Position 11670: 0.004185783430856697
Position 18150: 0.0034020521098673496
Position 1648: 0.0033454875144378893
Position 9416: 0.003135664172426056
Position 20077: 0.0031282304765731764
Position 731: 0.0026377283336374373
Position 1239: 0.0023447769769586227
Position 14658: 0.002125305689675766
Position 352: 0.002115657162109967
Position 8436: 0.002057068162200889
Position 19426: 0.0020264101576862635
Position 20249: 0.0019973734684266284
Position 692: 0.00183500876735942
Position 4551: 0.00180541119382036
Position 9581: 0.0015509212338514105
Position 285: 0.001492568576704685
Position 231: 0.0010341491223071464
Position 19594: 0.0009449018850117451
Position 472: 0.0008628060296423103
Position 519: 0.0004411547136956413
Position 1458: 0.0002720541524101992
Position 241: 0.00024299314750479394
Position 4636: 0.00022521138585996712
Position 425: 0.0001944731974832593
Position 478: 9.764434945341773e-05
