Gene = CASR
index = 282
Annotated 5SS: [  130 70692 73705 78730 92360 98554]
Annotated 3SS: [ 70264  73397  77844  92128  98429 100003]
SMsplice 5SS: [  847 48425 55061 64668 70692 76494 79636 80900 83604 92360 98554]
SMsplice 3SS: [ 48290  54952  64507  70420  76371  79508  80617  83449  92246  98429
 100262]
top_k =  1000
Partition function (log Z): -51.58275532371427

Sorted 5' Splice Sites (High to Low Probability):
Position 847: 0.9202321577373059
Position 5891: 0.6633132135791019
Position 130: 0.22229362521000012
Position 5594: 0.1672657446666418
Position 2356: 0.1392305161622298
Position 14599: 0.12089781345353942
Position 2775: 0.09967584496557404
Position 5500: 0.09029507647434877
Position 500: 0.06599923757563086
Position 1729: 0.061204424330480005
Position 476: 0.05927530115410994
Position 2786: 0.03617569863418201
Position 3429: 0.030162784432422686
Position 4496: 0.02786439405560476
Position 238: 0.023108615291239733
Position 4533: 0.019711027234215573
Position 2879: 0.01932271271225649
Position 3527: 0.018126378119259053
Position 2779: 0.016906879319543704
Position 8946: 0.016606812622205994
Position 6370: 0.014710124757545975
Position 1717: 0.014416746155560321
Position 3890: 0.013119042854433705
Position 5964: 0.010354488667403992
Position 4747: 0.009866019819656182
Position 3966: 0.008579806711644532
Position 4815: 0.007879270348249614
Position 3853: 0.007590258928940196
Position 4026: 0.007026258886932008
Position 9139: 0.0066040693695190895
Position 278: 0.006003947598286752
Position 86: 0.0059041515111474185
Position 506: 0.005171060508737627
Position 4155: 0.004098604891138123
Position 2734: 0.00398160093689457
Position 4009: 0.0031670815792697615
Position 9022: 0.003042189155024039
Position 4649: 0.0027043739511361277
Position 1208: 0.0014893585566380092
Position 3738: 0.001454836293988098
Position 5945: 0.0012950323212597623
Position 2655: 0.000875181490171611
Position 272: 0.0008646442595206496
Position 5667: 0.0008559775175430743
Position 5993: 0.0006981934272941126
Position 4428: 0.0003826016369215639
Position 4675: 0.0003381499966834564
Position 2099: 0.00032655269340256315
Position 525: 0.00026514174411302384
Position 7517: 0.0002578256620817278
Position 3294: 0.0002503418040126607
Position 4610: 0.00024363548010650834
Position 6356: 0.00022565143324735571
Position 6347: 0.00022411833937168617
Position 444: 0.00020870922289582532
Position 2180: 0.00019850627961820266
Position 1878: 0.00016040197248168246
Position 1352: 0.00015695451841241602
Position 1001: 0.00015455573605731654
Position 819: 0.00010073757803397336
Position 136: 7.545302228228338e-05
Position 4290: 7.038520947617019e-05
Position 167: 5.924220484681247e-05
Position 1126: 2.752760667765414e-05
Position 891: 2.3963748481616212e-05
Position 644: 1.9542732233495856e-05
Position 1544: 1.603702513237913e-05
Position 3263: 1.5802119740498508e-05
Position 226: 1.5728534136849936e-05
Position 153: 1.413095549751436e-05
Position 3729: 1.3789028041487643e-05
Position 1824: 1.3255749197321488e-05
Position 554: 1.2699468352508431e-05
Position 116: 1.2402627004775425e-05
Position 3092: 1.0067946682380076e-05
Position 3129: 7.5785258579065095e-06
Position 1867: 5.597132299757155e-06
Position 1387: 4.403221331027452e-06
Position 230: 4.17614708974433e-06
Position 1122: 3.35446616407001e-06
Position 1224: 2.1518162387280216e-06
Position 991: 1.6572103057004556e-06
Position 70: 1.6156539109838099e-06
Position 1385: 1.1992698101323037e-06
Position 374: 1.1632225863569479e-06
Position 1274: 5.271230599557154e-07
Position 399: 2.0476534046163567e-07
Position 54: 7.933160939750582e-08
Position 721: 7.884508858586714e-08
Position 203: 6.789314108957317e-08
Position 1872: 1.4911379781357793e-08
Position 2687: 1.0701815138813476e-08
Position 1720: 2.1685126558595572e-09
Position 235: 1.291695994347764e-09
Position 1159: 2.844059498062658e-10
Position 913: 1.8345520950087864e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 5859: 0.38750131452047687
Position 5830: 0.34200849425687624
Position 18869: 0.3183030448590601
Position 2685: 0.16305962084164646
Position 629: 0.15409409556317175
Position 14370: 0.13225206587913751
Position 11639: 0.1211550114459686
Position 13946: 0.10735704482397121
Position 5314: 0.10085185449680083
Position 16244: 0.09449406735338431
Position 5525: 0.08487402535061565
Position 675: 0.08365261449577371
Position 4384: 0.07141932024261198
Position 14053: 0.05975128838619333
Position 1578: 0.05297447898670153
Position 7649: 0.04796700918901166
Position 2098: 0.04600036561235181
Position 6077: 0.03938553793950915
