Gene = JAZF1
index = 725
Annotated 5SS: [   281 188835 285524 340046]
Annotated 3SS: [188761 285326 339875 347766]
SMsplice 5SS: [   281   9352   9898  10101  17528  23834  24130  30722  43445  43677
  68142  85125 188835 199621 212453 216576 230726 266491 267352 268285
 285524 316684 316899 317221 335995 340046 340490 342388 344560 344794]
SMsplice 3SS: [  9238   9766   9975  17355  23704  23965  30665  43309  43528  68059
  85003 188761 199449 212290 216498 230583 266410 267289 268207 285326
 316574 316761 317105 335893 339875 340207 342280 344480 344676 347766]
top_k =  1000
Partition function (log Z): -153.49355787194105

Sorted 5' Splice Sites (High to Low Probability):
Position 281: 0.9885282362223207
Position 24130: 0.9829970483623269
Position 17528: 0.9763795215289359
Position 9898: 0.7589715533529097
Position 9352: 0.7174328218304759
Position 10101: 0.5534092411855133
Position 30722: 0.45687771757735296
Position 23834: 0.4343919597556213
Position 6624: 0.40295914005773525
Position 15700: 0.38505600007888546
Position 6619: 0.3048027903593521
Position 18940: 0.285639823408129
Position 4973: 0.2758517605528528
Position 10148: 0.21708274891812263
Position 32987: 0.21639081496938894
Position 9296: 0.20745984763811656
Position 30001: 0.12583005723684293
Position 4662: 0.12138484062572849
Position 18067: 0.11463913642445993
Position 30764: 0.08996884959199751
Position 10668: 0.0844656381086111
Position 18325: 0.07682012397341254
Position 8972: 0.07020593336682404
Position 1535: 0.0678641710736999
Position 33656: 0.06685530113615891
Position 5246: 0.06312249702591048
Position 33550: 0.05803467597147248
Position 18089: 0.04749772647805374
Position 7710: 0.046663531422564374
Position 18866: 0.04410696315580524
Position 26017: 0.04127019097393912
Position 8422: 0.03925878654381356
Position 6307: 0.0379300925230485
Position 26926: 0.032907358678742345
Position 10055: 0.030736851211993398
Position 7148: 0.02657879447727
Position 1950: 0.025706863990134502
Position 30265: 0.023558944458935003
Position 14224: 0.020779944907111984
Position 9599: 0.019558046019008797
Position 8339: 0.017300168642671983
Position 31194: 0.016912071109749613
Position 5009: 0.016091118081667726
Position 30936: 0.016066474262034953
Position 32971: 0.014624408665720979
Position 12664: 0.013399419695088139
Position 4906: 0.01315267809057124
Position 3046: 0.011429159638187058
Position 23791: 0.010473015743188593
Position 2114: 0.00823979472423545
Position 296: 0.007820938495961893
Position 9393: 0.007627303195763011
Position 4621: 0.007131471326917529
Position 13732: 0.007014245503821588
Position 3739: 0.006651375641942152
Position 13573: 0.006179994961728486
Position 4892: 0.006096125858017888
Position 919: 0.00539066790173068
Position 8066: 0.005158398381130336
Position 9872: 0.004290511238143192
Position 2957: 0.003997704096891514
Position 7500: 0.003919073581265357
Position 18188: 0.0037630791651842915
Position 6317: 0.003504880777026553
Position 28121: 0.002987622290997959
Position 1658: 0.002983673093740823
Position 9318: 0.002931190717458997
Position 9397: 0.0027749893616931744
Position 1542: 0.002769246497792369
Position 5261: 0.0026311841291447135
Position 5097: 0.0024815712501651305
Position 3792: 0.0024654579972530153
