Gene = MGLL
index = 841
Annotated 5SS: [   167   1557  41462 100821 102198 112675 128276]
Annotated 3SS: [  1411  41354 100683 102086 112584 128059 130926]
SMsplice 5SS: [   167   1557   8143  10401  14046  14368  22873  24460  30202  41462
  56112  57560  68767  87546 100821 102198 112675 128108 128276]
SMsplice 3SS: [  1411   7920  10320  13954  14311  22777  24319  29992  41354  55987
  57442  68688  87356 100683 102086 112584 128059 128194 130926]
top_k =  1000
Partition function (log Z): -38.078909717977346

Sorted 5' Splice Sites (High to Low Probability):
Position 41462: 0.9994297853782932
Position 167: 0.9636525772040188
Position 10401: 0.8945161283735543
Position 14368: 0.8733990181097523
Position 8143: 0.8472053074151539
Position 24460: 0.7796336861508829
Position 1557: 0.7605433213195596
Position 14046: 0.7426843747021586
Position 22873: 0.7360535194419126
Position 6005: 0.7242047020825287
Position 30202: 0.7008605906027257
Position 4617: 0.35157169039451397
Position 25334: 0.27122206206399246
Position 942: 0.2433540660596772
Position 1530: 0.2292130941623056
Position 12880: 0.22764762259161125
Position 18385: 0.22550578459317563
Position 24524: 0.163108866233222
Position 14685: 0.16005905300149634
Position 3907: 0.1570813018125751
Position 9136: 0.14930847880437426
Position 4303: 0.14031068808323338
Position 46612: 0.12343309790018324
Position 8576: 0.12343075650111272
Position 583: 0.11767476241910588
Position 2541: 0.11158964635460313
Position 2568: 0.08737976170469722
Position 4656: 0.0859654094539353
Position 42595: 0.08025442573609425
Position 14782: 0.07878342414790239
Position 26473: 0.0691949278763594
Position 6777: 0.062136602451705845
Position 9767: 0.0620242924410158
Position 6848: 0.061584494948837214
Position 42257: 0.05515927579344415
Position 10498: 0.054413051056226416
Position 43361: 0.050033741506226664
Position 4363: 0.04944821579850161
Position 22911: 0.04906303286183712
Position 2207: 0.047823536239313166
Position 18416: 0.04216224373047687
Position 527: 0.04079659558052441
Position 591: 0.03744276285244491
Position 570: 0.037092686419642
Position 523: 0.028045750259986107
Position 25284: 0.025895559541023985
Position 24509: 0.025689234621546764
Position 3155: 0.023652961859554414
Position 2380: 0.022648292810971023
Position 7129: 0.019410438313085192
Position 15931: 0.017059846337308938
Position 46124: 0.01700349175217248
